id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
131999,incollection,poama:2019,,,2019,,Application or Construction? Two Types of Public Policy Ethics,Application or Construction? Two Types of Public Policy Ethics,,,,,,,37--50,37,,,,,,,,,,,,,,,,,,,english,false,,,poama,,,1:political_philosophy
132000,incollection,pocai_r:2001,,,2001,,"Die Weltlichkeit der Welt und ihre abgedr{\""a}ngte Faktizit{\""a}t (\S\S 14-18)",Die Weltlichkeit der Welt und ihre abgedrängte Faktizität (14-18),,,,,,,51--68,51,,,,,,,,,,,,,,,,,,,ngerman,false,,,pocai_r,,,1:metaphysics;2:perspectivalism
132001,book,poche:2004,,,2004,,"Une politique de la fragilit{\'e} : {\'e}thique, dignit{\'e} et luttes sociales","Une politique de la fragilité : éthique, dignité et luttes sociales",,,,,,,,,,,Paris,,,editions-du-cerf,,,,,,,,,,,,,french,false,,,poche,,,1:ethics
132002,incollection,pocheville-danchin:2017,,,2017,,Genetic Assimilation and the Paradox of Blind Variation,Genetic Assimilation and the Paradox of Blind Variation,,,,,,,111--136,111,,,,,,,,,,,,,,,,,,,english,false,,,pocheville;danchin_e,,,1:biology;2:evolution
132003,book,pochonwesolek:2018,,,2018,,"Descartes, penseur pr{\'e}-critique ou platonicien?","Descartes, penseur pré-critique ou platonicien?",,,,,,,,,,ouverture_philosophique,Paris,,,l-harmattan,,,,,,,,,,,,,french,false,,,pochonwesolek,,,1:history_of_philosophy
132004,book,pochonwesolek:2018a,,,2018,,Descartes {\`a} la lumi{\`e}re de l'{\'e}vidence.~Exercice spirituel et controverses,Descartes à la lumière de l'évidence. Exercice spirituel et controverses,,,,,,,,,,ouverture_philosophique,Paris,,,l-harmattan,,,,,,,,,,,,,french,false,,,pochonwesolek,,,1:history_of_philosophy
132005,book,pockett-etal:2006,,,2006,,Does Consciousness Cause Behavior? An Investigation of the Nature of Volition,Does Consciousness Cause Behavior? An Investigation of the Nature of Volition,Does Consciousness Cause Behavior? An Investigation of the Nature of Volition,Does Consciousness Cause Behavior? An Investigation of the Nature of Volition,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,english,false,,,,pockett;banks_wp;gallagher_s,,1:determinism;2:free_will
132006,incollection,pockett-etal:2006a,,,2006,,Introduction,Introduction,,,,,,,1--7,1,,,,,,,,,,,,,,,,,,,english,false,,,pockett;banks_wp;gallagher_s,,,1:determinism;2:free_will
132007,article,pockett:2002,,,2002,,On Subjective Back-Referral and How Long It Takes to Become Conscious of a Stimulus: A Reinterpretation of Libet's Data,On Subjective Back-Referral and How Long It Takes to Become Conscious of a Stimulus: A Reinterpretation of Libet's Data,,,,consciousness-and-cognition,11,,144--161,144,,,,,,,,,,,,,,,,,,,english,false,,,pockett,,,2:consciousness
132008,incollection,pockett:2006,,,2006,,The Neuroscience of Movement,The Neuroscience of Movement,,,,,,,9--24,9,,,,,,,,,,,,,,,,,,,english,false,,,pockett,,,1:determinism;2:free_will
132009,incollection,pocock:1962,,,1962,,The History of Political Thought: A Methodological Enquiry,The History of Political Thought: A Methodological Enquiry,,,,,,,183--202,183,,,,,,,,,,,,,,,,,,,english,false,,,pocock,,,1:political_philosophy
132010,incollection,pocock:2006a,,,2006,,Theory in History: Problems of Context and Narrative,Theory in History: Problems of Context and Narrative,,,,,,,163--174,163,,,,,,,,,,,,,,,,,,,english,false,,,pocock,,,1:history
132011,article,poczobut:2008,,,2008,,Interdisciplinarity and Mind.~ An Onto-Methodological Perspective,Interdisciplinarity and Mind. An Onto-Methodological Perspective,,,,polish-journal-of-philosophy,2,1,79--97,79,,,,,,,,,,,,,,,,,,,english,false,,,poczobut,,,2:metaphysics_of_mind
132012,article,podet:1985,,,1985,,La Croix's Paradox: An Analysis,La Croix's Paradox: An Analysis,,,,international-journal-for-philosophy-of-religion,18,1,69--72,69,,,,,,,,,,,,,,,,,,,english,false,,,podet,,,1:religion;2:arguments_for_the_existence_of_god;3:pascal_s_wager
132013,article,podgorski:2016,,,2016,,Dynamic Permissivism,Dynamic Permissivism,,,,philosophical-studies,173,7,1923--1939,1923,,,,,,,,,,,,,,,,,10.1007/s11098-015-0585-z,,english,false,,,podgorski,,,1:epistemology;2:justification;3:epistemic_permissivism
132014,article,podgorski:2016a,,,2016,,Dynamic Conservatism,Dynamic Conservatism,,,,ergo,3,13,349--376,349,,,,,,,,,,,,,,,,,,,english,false,,,podgorski,,,1:rationality;2:disagreement
132015,article,podgorski:2016b,,,2016,,A Reply to the Synchronist [to \citet{hedden:2016a}],A Reply to the Synchronist [to Hedden (2016)],,,,mind,125,499,859--871,859,,,,,,,,,,,,,,,,,,,english,false,,,podgorski,,,1:epistemology
132016,article,podgorski:2017,,,2017,,Rational Delay,Rational Delay,,,,philosophers-imprint,17,5,,,,,,,,,,,,,,,,,,http://hdl.handle.net/2027/spo.3521354.0017.005,,http://hdl.handle.net/2027/spo.3521354.0017.005,english,false,,,podgorski,,,1:decision_theory
132017,article,podgorski:2020,,,2020,,"The Diner's Defence: Producers, Consumers, and the Benefits of Existence","The Diner's Defence: Producers, Consumers, and the Benefits of Existence",,,,australasian-journal-of-philosophy,98,1,64--77,64,,,,,,,,,,,,,,,,,,,english,false,,,podgorski,,,1:time;2:death;3:non_natalism
132018,article,podlaskowski-jones:2012,,,2012,,"Idealizing, Abstracting, and Semantic Dispositionalism","Idealizing, Abstracting, and Semantic Dispositionalism",,,,european-journal-of-philosophy,20,1,145--165,145,,,,,,,,,,,,,,,,,,,english,false,,,podlaskowski;jones_n,,,1:representation
132019,article,podlaskowski-smith:2011,,,2011,,Infinitism and Epistemic Normativity,Infinitism and Epistemic Normativity,,,,synthese,178,3,515--527,515,,,,,,,,,,,,,,,,,,,english,false,,,podlaskowski;smith_joa,,,1:epistemology;2:epistemic_foundationalism;3:infinitism_about_justification
132020,article,podlaskowski-smith:2014,,,2014,,Probabilistic Regresses and the Availability Problem for Infinitism,Probabilistic Regresses and the Availability Problem for Infinitism,,,,metaphilosophy,45,2,211--220,211,,,,,,,,,,,,,,,,,,,english,false,,,podlaskowski;smith_joa,,,1:method;2:infinite_regress
132021,article,podlaskowski:2010,,,2010,,Unbelievable Thoughts and Doxastic Oughts,Unbelievable Thoughts and Doxastic Oughts,,,,theoria,76,2,112--118,112,,,,,,,,,,,,,,,,,,,english,false,,,podlaskowski,,,2:ought
132022,article,podlaskowski:2010a,,,2010,,Reconciling Semantic Dispositionalism with Semantic Holism,Reconciling Semantic Dispositionalism with Semantic Holism,,,,philosophia,38,1,169--178,169,,,,,,,,,,,,,,,,,,,english,false,,,podlaskowski,,,1:representation;2:content_determination;3:meaning_holism
132023,article,podlaskowski:2012,,,2012,,"Simple Tasks, Abstractions, and Semantic Dispositionalism","Simple Tasks, Abstractions, and Semantic Dispositionalism",,,,dialectica,66,4,453--470,453,,,,,,,,,,,,,,,,,10.1111/1746-8361.12001,,english,false,,,podlaskowski,,,1:representation;2:meaning
132024,article,podlaskowski:2014,,,2014,,Review of \citet{macfarlane_j:2014},Review of MacFarlane (2014),,,,polish-journal-of-philosophy,8,1,95--98,95,,,,,,,,,,,,,,,,,,,english,false,,,podlaskowski,,,1:truth;2:relative_truth
132025,article,podlaskowski:2015,,,2015,,Giving up on ''the Rest of the Language'',Giving up on ”the Rest of the Language”,,,,acta-analytica,30,3,293--304,293,,,,,,,,,,,,,,,,,,,english,false,,,podlaskowski,,,1:representation
132026,article,podlaskowski:2019,,,2019,,Compositionality and the Prospect of a Pluralistic Semantic Theory,Compositionality and the Prospect of a Pluralistic Semantic Theory,,,,australasian-journal-of-philosophy,97,2,325--339,325,,,,,,,,,,,,,,,,,,,english,false,,,podlaskowski,,,1:language;2:compositionality
132027,book,podoksik:2012,,,2012,,The Cambridge Companion to Oakeshott,The Cambridge Companion to Oakeshott,The Cambridge Companion to Oakeshott,The Cambridge Companion to Oakeshott,,,,,,,,cambridge_companions_to_philosophy,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,english,false,,,,podoksik,,1:history_of_philosophy
132028,book,podoksik:2021,,,2021,,"Georg Simmel and German Culture: Unity, Variety and Modern Discontents","Georg Simmel and German Culture: Unity, Variety and Modern Discontents",,,,,,,,,,ideas_in_context,Cambridge,,,cambridge-university-press,,,,,,,,,,,10.1017/9781108990783,,english,false,,,podoksik,,,
132029,incollection,podolny-lynn:2009,,,2009,,Status,Status,,,,,,,544--565,544,,,,,,,,,,,,,,,,,,,english,false,,,podolny;lynn_f,,,1:social_sciences;2:sociology
132030,article,podosky_pmc:2019,,,2019,,What Defines a Conceptual Resource?,What Defines a Conceptual Resource?,,,,ergo,6,6,143--167,143,,,,,,,,,,,,,,,,,,,english,false,,,podosky_pmc,,,1:representation;2:concepts
132031,incollection,podrazaucinska:2000,,,2000,,Medicine and Art,Medicine and Art,,,,,,,103--114,103,,,,,,,,,,,,,,,,,,,english,false,,,podrazaucinska,,,1:medicine
132032,book,podro:1998,,,1998,,Depiction,Depiction,,,,,,,,,,,"Cambridge, Massachusetts",,,harvard-university-press,,,,,,,,,,,,,french,false,,,podro,,,1:aesthetics;2:film
132033,book,podschwadek:2022,,,2022,,Educating the Reasonable: Political Liberalism and Public Education,Educating the Reasonable: Political Liberalism and Public Education,,,,,,,,,,philosophy_and_politics_critical_explorations,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-030-84021-1,,english,false,,,podschwadek,,,
132034,incollection,poe_d:2018,,,2018,,Feminism and Nonviolent Activism,Feminism and Nonviolent Activism,,,,,,,268--280,268,,,,,,,,,,,,,,,,,,,english,false,,,poe_d,,,1:social_philosophy;2:war;3:pacificism
132035,article,poeggeler:1969,,,1969,,Oskar Becker als Philosoph,Oskar Becker als Philosoph,,,,kant-studien,60,3,298--311,298,,,,,,,,,,,,,,,,,,,ngerman,false,,,poeggeler,,,1:history_of_philosophy
132036,incollection,poeggeler:1974,,,1974,,Dialektik und Topik,Dialektik und Topik,,,,,,,291--333,291,,,,,,,,,,,,,,,,,,,ngerman,false,,,poeggeler,,,1:method;2:dialectic
132037,article,poeggeler:1975,,,1975,,``Nihilist'' und ``Nihilismus'',“Nihilist” und “Nihilismus”,,,,archiv-fur-begriffsgeschichte,19,,197--210,197,,,,,,,,,,,,,,,,,,,ngerman,false,,,poeggeler,,,1:metaphysics;2:metaphysical_nihilism
132038,incollection,poeggeler:1977,,,1977,,"Vorbemerkungen zum Kolloquium {\""u}ber Schellings and Hegels Systemkonzeptionen",Vorbemerkungen zum Kolloquium über Schellings and Hegels Systemkonzeptionen,,,,,,,73--76,73,,,,,,,,,,,,,,,,,,,ngerman,false,,,poeggeler,,,1:metaphilosophy
