id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
134727,incollection,psarro:2007,,,2007,,The Constitution of Social Objects by Common Actions,The Constitution of Social Objects by Common Actions,,,,,,,,,23--32,23,,,,,,,,,,,,,,,,,,,english,false,,,psarros,,,1:social_philosophy
134728,incollection,psarro:2008,,,2008,,"Mental Non Self-Sufficiency, Sociality and Common Agency","Mental Non Self-Sufficiency, Sociality and Common Agency",,,,,,,,,273--284,273,,,,,,,,,,,,,,,,,,,english,false,,,psarros,,,1:social_philosophy
134729,book,psarros-etal:1996,,,1996,,Philosophie der Chemie -- Bestandesaufnahme und Ausblick,Philosophie der Chemie – Bestandesaufnahme und Ausblick,,,,,,,,,,,,,"W{\""u}rzburg",,,konigshausen-neumann,,,,,,,,,,,,,ngerman,false,,,psarros;ruthenberg;schummer,,,1:chemistry
134730,book,psarros-schulteostermann:2007,,,2007,,Facets of Sociality,Facets of Sociality,Facets of Sociality,Facets of Sociality,,,,,15,15,,,,philosophische_analyse_philosophical_analysis,Heusenstamm b.~Frankfurt,,,ontos-verlag,,,,,,,,,,,,,english,false,,,,psarros;schulteostermann,,1:social_philosophy
134731,incollection,psarros-schulteostermann:2007a,,,2007,,Introduction,Introduction,,,,,,,,,vii,7,,,,,,,,,,,,,,,,,,,english,false,,,psarros;schulteostermann,,,1:social_philosophy
134732,incollection,psarros:2017,,,2017,,What is the Thing whose Measure is Money?,What is the Thing whose Measure is Money?,,,,,,,,,293--298,293,,,,,,,,,,,,,,,,,,,english,false,,,psarros,,,1:economics;2:money
134733,incollection,psathas:1977,,,1977,,Ethnomethodology as a Phenomenological Approach in the Social Sciences,Ethnomethodology as a Phenomenological Approach in the Social Sciences,,,,,,,,,73--98,73,,,,,,,,,,,,,,,,,,,english,false,,,psathas,,,1:social_philosophy
134734,book,psathas:1979,,,1979,,Everyday Language: Studies in Ethnomethodology,Everyday Language: Studies in Ethnomethodology,Everyday Language: Studies in Ethnomethodology,Everyday Language: Studies in Ethnomethodology,,,,,,,,,,,New York,,,irvington-publishers,,,,,,,,,,,,,english,false,,,,psathas,,1:linguistics;2:ethnolinguistics
134735,book,psathas:1995,,,1995,,Conversation Analysis: The Study of Talk-in-Interaction,Conversation Analysis: The Study of Talk-in-Interaction,Conversation Analysis: The Study of Talk-in-Interaction,Conversation Analysis: The Study of Talk-in-Interaction,,,,,,,,,,,"Thousand Oaks, California",,,sage-publications,,,,,,,,,,,,,english,false,,,,psathas,,1:linguistics;2:ethnolinguistics
134736,book,psillos-curd:2008,,,2008,,The Routledge Companion to Philosophy of Science,The Routledge Companion to Philosophy of Science,The Routledge Companion to Philosophy of Science,The Routledge Companion to Philosophy of Science,,,,,,,,,,routledge_philosophy_companions,London,,,routledge,,,,,,,,,,,,,english,false,,,,psillos;curd_m,,1:science
134737,article,psillos-ruttkampbloem:2017,,,2017,,Scientific Realism: Quo Vadis? Introduction: New Thinking about Scientific Realism,Scientific Realism: Quo Vadis? Introduction: New Thinking about Scientific Realism,,,,synthese,194,194,9,9,3187--3201,3187,,,,,,,,,,,,,,,,,,,english,false,,,psillos;ruttkampbloem,,,1:science;2:scientific_realism
134738,incollection,psillos-shaw:2020,,,2020,,Relativism and Scientific Realism,Relativism and Scientific Realism,,,,,,,,,407--415,407,,,,,,,,,,,,,,,,,,,english,false,,,psillos;shaw_ja,,,1:metaphysics;2:relativism
134739,article,psillos:1995,,,1995,,Is Structural Realism the Best of Both Worlds?,Is Structural Realism the Best of Both Worlds?,,,,dialectica,49,49,1,1,15--46,15,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1995.tb00113.x,,english,false,,,psillos,,,1:structuralism
134740,article,psillos:1996,,,1996,,Scientific Realism and the `Pessimistic Induction',Scientific Realism and the ‘Pessimistic Induction',,,,philosophy-of-science,63,63,,,S306--S314,,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:structuralism;2:structuralism_in_the_sciences;3:structuralism_in_physics
134741,article,psillos:1997,,,1997,,Naturalism without Truth?,Naturalism without Truth?,,,,studies-in-history-and-philosophy-of-science,28,28,4,4,699--713,699,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:truth
134742,book,psillos:1999,,,1999,,Scientific Realism: How Science Tracks the Truth,Scientific Realism: How Science Tracks the Truth,,,,,,,,,,,,,London,,,routledge,,,,,,,,,,,10.4324/9780203979648,,english,false,,,psillos,,,1:metaphysics;2:realism
134743,article,psillos:2000,,,2000,,The Present State of the Scientific Realism Debate,The Present State of the Scientific Realism Debate,,,,the-british-journal-for-the-philosophy-of-science,51,51,,,705--728,705,,,,,,,,,Reprinted in \citet[59--82]{clark_p-hawley:2003} and in \citet[3--33]{psillos:2009},Reprinted in Clark and Hawley (2003) and in Psillos (2009),,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134744,article,psillos:2000a,,,2000,,Rudolf Carnap's `Theoretical Concepts in Science',Rudolf Carnap's ‘Theoretical Concepts in Science',,,,studies-in-history-and-philosophy-of-science,31,31,1,1,151--172,151,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:structuralism;2:informational_structuralism;3:theoretical_terms
134745,article,psillos:2001,,,2001,,Predictive Similarity and the Success of Science: A Reply to Stanford,Predictive Similarity and the Success of Science: A Reply to Stanford,,,,philosophy-of-science,68,68,3,3,346--355,346,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science
134746,article,psillos:2001a,,,2001,,Is Structural Realism Possible?,Is Structural Realism Possible?,,,,philosophy-of-science,68,68,3,3,S13--S24,,,,,,,,,,Reprinted in \citet[125--135]{psillos:2009},Reprinted in Psillos (2009),,,,,,,,,english,false,,,psillos,,,1:structuralism;2:structuralism_in_the_sciences;3:structuralism_in_physics
134747,incollection,psillos:2002,,,2002,,Simply the Best: A Case for Abduction,Simply the Best: A Case for Abduction,,,,,,,,,605--625,605,,,,,,,,,Reprinted in \citet[173--194]{psillos:2009},Reprinted in Psillos (2009),,,,,,,,,english,false,,,psillos,,,1:explanation;2:abduction
134748,book,psillos:2003,,,2003,,Causation and Explanation,Causation and Explanation,,,,,,,8,8,,,,central_problems_of_philosophy,Montr{\'e}al,,,mc-gill-queens-university-press,,,,,,,,,,,,,english,false,,,psillos,,,1:causation;2:causal_explanation
134749,article,psillos:2004,,,2004,,Tracking the Real: Through Thick and Thin,Tracking the Real: Through Thick and Thin,,,,the-british-journal-for-the-philosophy-of-science,55,55,3,3,393--409,393,,,,,,,,,Reprinted in \citet[84--98]{psillos:2009},Reprinted in Psillos (2009),,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134750,incollection,psillos:2004a,,,2004,,Inference to the Best Explanation and Bayesianism,Inference to the Best Explanation and Bayesianism,,,,,,,,,83--91,83,,,,,,,,,Reprinted in \citet[195--201]{psillos:2009},Reprinted in Psillos (2009),,,,,,,,,english,false,,,psillos,,,1:explanation;2:abduction
134751,article,psillos:2005,,,2005,,Scientific Realism and Metaphysics,Scientific Realism and Metaphysics,,,,ratio,18,18,4,4,385--404,385,,,,,,,,,Reprinted in \citet[34--47]{psillos:2009},Reprinted in Psillos (2009),,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134752,article,psillos:2006,,,2006,,What do Powers do When They Are Not Manifested?,What do Powers do When They Are Not Manifested?,,,,philosophy-and-phenomenological-research,72,72,1,1,137--156,137,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:properties;2:powers
134753,incollection,psillos:2006a,,,2006,,Thinking about the Ultimate Argument for Realism,Thinking about the Ultimate Argument for Realism,,,,,,,,,133--156,133,,,,,,,,,Reprinted in \citet[48--68]{psillos:2009},Reprinted in Psillos (2009),,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134754,incollection,psillos:2006b,,,2006,,Ramsey's Ramsey-Sentences,Ramsey's Ramsey-Sentences,,,,,,,,,67--90,67,,,,,,,,,Reprinted in \citet[147--171]{psillos:2009},Reprinted in Psillos (2009),,,,,,,,,english,false,,,psillos,,,1:structuralism;2:structuralism_in_the_sciences;3:structuralism_in_physics
134755,article,psillos:2007,,,2007,,"The Structure, the Whole Structure and nothing but the Structure","The Structure, the Whole Structure and nothing but the Structure",,,,philosophy-of-science,73,73,suppl.,,560--570,560,,,,,,,,,Reprinted in \citet[136--146]{psillos:2009},Reprinted in Psillos (2009),,,,,,,,,english,false,,,psillos,,,1:structuralism;2:structuralism_in_the_sciences;3:structuralism_in_physics
134756,incollection,psillos:2007a,,,2007,,Past and Contemporary Perspectives on Explanation,Past and Contemporary Perspectives on Explanation,,,,,,,,,97--174,97,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:explanation;2:explanation_in_science
134757,article,psillos:2007b,,,2007,,The Fine Structure of Inference to the Best Explanation [on \citet{lipton_p:2004}],The Fine Structure of Inference to the Best Explanation [on Lipton (2004)],,,,philosophy-and-phenomenological-research,74,74,2,2,441--448,441,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:explanation;2:abduction
134758,incollection,psillos:2007c,,,2007,,Causal Explanation and Manipulation,Causal Explanation and Manipulation,,,,,,,,,93--108,93,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:causation;2:causal_explanation
134759,incollection,psillos:2007d,,,2007,,Putting a Bridle on Irrationality: An Appraisal of van Fraassen's New Epistemology,Putting a Bridle on Irrationality: An Appraisal of van Fraassen's New Epistemology,,,,,,,,,134--164,134,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science;2:constructive_empiricism
134760,incollection,psillos:2008,,,2008,,Philosophy of Science,Philosophy of Science,,,,,,,,,618--658,618,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science
134761,incollection,psillos:2008a,,,2008,,Cartwright's Realist Toil: From Entities to Capacities,Cartwright's Realist Toil: From Entities to Capacities,,,,,,,,,167--194,167,,,,,,,,,Reprinted in \citet[99--123]{psillos:2009},Reprinted in Psillos (2009),,,,,,,,,english,false,,,psillos,,,1:properties;2:dispositions
134762,book,psillos:2009,,,2009,,Knowing the Structure of Nature: Essays on Realism and Explanation,Knowing the Structure of Nature: Essays on Realism and Explanation,Knowing the Structure of Nature: Essays on Realism and Explanation,Knowing the Structure of Nature: Essays on Realism and Explanation,,,,,,,,,,,"Basingstoke, Hampshire",,,palgrave-macmillan,,,,,,,,,,,,,english,false,,,psillos,,,1:explanation;2:explanation_in_science
134763,incollection,psillos:2009a,,,2009,,Regularity Theories,Regularity Theories,,,,,,,,,131--157,131,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:causation;2:regularity_theories_of_causation;3:humeanism_about_causation
134764,incollection,psillos:2009b,,,2009,,Causal Pluralism,Causal Pluralism,,,,,,,,,131--151,131,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,
134765,incollection,psillos:2009c,,,2009,,Against Neo-Instrumentalism,Against Neo-Instrumentalism,,,,,,,,,69--83,69,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:method;2:scientific_method;3:scientific_instrumentalism
134766,incollection,psillos:2011,,,2011,,Scientific Realism with a Humean Face,Scientific Realism with a Humean Face,,,,,,,,,75--96,75,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134767,incollection,psillos:2011a,,,2011,,The Idea of Mechanism,The Idea of Mechanism,,,,,,,,,771--788,771,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:causation;2:process_theories_of_causation
134768,incollection,psillos:2011b,,,2011,,The Scope and Limits of the No MIracles Argument,The Scope and Limits of the No MIracles Argument,,,,,,,,,23--36,23,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism;3:no_miracles_argument
134769,article,psillos:2011c,,,2011,,Moving Molecules above the Scientific Horizon: On Perrin's Case for Realism,Moving Molecules above the Scientific Horizon: On Perrin's Case for Realism,,,,journal-for-general-philosophy-of-science-zeitschrift-fur-allgemeine-wissenschaftstheorie,42,42,2,2,339--363,339,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134770,article,psillos:2011d,,,2011,,Choosing the Realist Framework,Choosing the Realist Framework,,,,synthese,180,180,2,2,301--316,301,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134771,article,psillos:2011e,,,2011,,Living with the Abstract: Realism and Models,Living with the Abstract: Realism and Models,,,,synthese,180,180,1,1,3--17,3,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:explanation
134772,article,psillos:2011f,,,2011,,On Reichenbach's Argument for Scientific Realism,On Reichenbach's Argument for Scientific Realism,,,,synthese,181,181,1,1,23--40,23,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134773,incollection,psillos:2011g,,,2011,,Regularities All the Way Down: Thomas Brown's Philosophy of Causation,Regularities All the Way Down: Thomas Brown's Philosophy of Causation,,,,,,,,,220--241,220,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:causation;2:regularity_theories_of_causation
134774,incollection,psillos:2011h,,,2011,,An Explorer upon Untrodden Ground: Peirce on Abduction,An Explorer upon Untrodden Ground: Peirce on Abduction,,,,,,,,,117--152,117,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:method;2:induction
134775,incollection,psillos:2012,,,2012,,Anti-Nominalistic Scientific Realism: A Defence,Anti-Nominalistic Scientific Realism: A Defence,,,,,,,,,63--80,63,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:structuralism;2:mathematical_structuralism
134776,incollection,psillos:2012a,,,2012,,Adding Modality to Ontic Structuralism: An Exploration and Critique,Adding Modality to Ontic Structuralism: An Exploration and Critique,,,,,,,,,169--186,169,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:structuralism;2:structuralism_in_the_sciences;3:structuralism_in_physics
134777,incollection,psillos:2012b,,,2012,,Causal Descriptivism and the Reference of Theoretical Terms,Causal Descriptivism and the Reference of Theoretical Terms,,,,,,,,,212--238,212,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:structuralism;2:structuralism_in_the_sciences;3:structuralism_in_physics
134778,article,psillos:2013,,,2013,,Semirealism or Neo-Aristotelianism?,Semirealism or Neo-Aristotelianism?,,,,erkenntnis,78,78,1,1,29--38,29,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134779,incollection,psillos:2013a,,,2013,,Reason and Science,Reason and Science,,,,,,,,,33--52,33,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science
134780,incollection,psillos:2014,,,2014,,The View \emph{from Within} and the View \emph{from Above}: Looking at van Fraassen's Perrin,The View from Within and the View from Above: Looking at van Fraassen's Perrin,,,,,,,,,143--168,143,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:explanation;3:semantic_view_of_models
134781,article,psillos:2015,,,2015,,"Evidence: Wanted, Alive or Dead","Evidence: Wanted, Alive or Dead",,,,canadian-journal-of-philosophy,45,45,3,3,357--381,357,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:epistemology;2:justification
134782,incollection,psillos:2017,,,2017,,Scientific Realism and the Mind-Independence of the World,Scientific Realism and the Mind-Independence of the World,,,,,,,,,209--226,209,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134783,incollection,psillos:2017a,,,2017,,The Realist Turn in the Philosophy of Science,The Realist Turn in the Philosophy of Science,,,,,,,,,20--34,20,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134784,article,psillos:2018,,,2018,,Tolstoy's Argument: Realism and the History of Science,Tolstoy's Argument: Realism and the History of Science,,,,spontaneous-generations-a-journal-for-the-history-and-philosophy-of-science,9,9,1,1,68--77,68,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:science;2:scientific_realism
134785,incollection,psillos:2018a,,,2018,,Laws and Powers in the \emph{Frame of Nature},Laws and Powers in the Frame of Nature,,,,,,,,,80--107,80,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:causation;2:laws_of_nature
134786,incollection,psillos:2018b,,,2018,,Knowing the Unobservable: Confirmation and Theoretical Virtues,Knowing the Unobservable: Confirmation and Theoretical Virtues,,,,,,,,,89--110,89,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:knowledge
134787,article,psillos:2019,,,2019,,Review of \citet{glennan:2017},Review of Glennan (2017),,,,australasian-journal-of-philosophy,97,97,3,3,621--624,621,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:history_of_philosophy
134788,incollection,psillos:2020,,,2020,,The Scope and Power of Abstraction in Science,The Scope and Power of Abstraction in Science,,,,,,,,,173--196,173,,,,,,,,,,,,,,,,,,,english,false,,,psillos,,,1:ontology;2:abstract_objects
134789,UNKNOWN,psilojannopoulos:2013,,,2013,,"Von Thomasius zu Tetens -- eine Untersuchung der philosophiegeschichtlichen Voraussetzungen der theoretischen Philosophie Kants in repr{\""a}sentativen Texten der Deutschen Aufkl{\""a}rung",Von Thomasius zu Tetens – eine Untersuchung der philosophiegeschichtlichen Voraussetzungen der theoretischen Philosophie Kants in repräsentativen Texten der Deutschen Aufklärung,,,,,,,,,,,,,Berlin,,institut_f_u_r_philosophie_humboldt_universit_a_t_zu_berlin,,Doktorarbeit,,,,,,,,,,,,ngerman,false,,,psilojannopoulos,,,1:history_of_philosophy
134790,book,psotka-etal:1988,,,1988,,Intelligent Tutoring Systems: Lessons Learned,Intelligent Tutoring Systems: Lessons Learned,,,,,,,,,,,,,"Mahwah, New Jersey",,,lawrence-erlbaum-associates-inc,,,,,,,,,,,,,english,false,,,psotka;massey_ld;mutter_sa,,,1:ai;2:human_computer_interaction;3:intelligent_tutoring
134791,incollection,psychopedis:2006,,,2006,,On the Logic of the Realization of Reason in Society and History,On the Logic of the Realization of Reason in Society and History,,,,,,,,,97--112,97,,,,,,,,,,,,,,,,,,,english,false,,,psychopedis,,,1:history
134792,incollection,pszczolowski:1990,,,1990,,Philosophical and Methodological Fondations of Kotarbi{\'n}ski's Praxiology,Philosophical and Methodological Fondations of Kotarbiński's Praxiology,,,,,,,,,97--106,97,,,,,,,,,,,,,,,,,,,english,false,,,pszczolowski,,,1:exemplification;2:reism
