id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
134794,article,pu_p-chen:2008,,,2008,,User-Involved Preference Elicitation for Product Search and Recommender Systems,User-Involved Preference Elicitation for Product Search and Recommender Systems,,,,the-ai-magazine,29,4,93--103,93,,,,,,,,,,,,,,,,,,,english,false,,,pu_p;chen_li,,,1:decision_theory;2:preference;3:reasoning_about_preferences
134795,article,puccetti:1963,,,1963,,Is Omniscience Possible?,Is Omniscience Possible?,,,,australasian-journal-of-philosophy,41,1,92--93,92,,,,,,,,,,,,,,,,,,,english,false,,,puccetti,,,1:religion;2:divine_attributes;3:divine_omniscience
134796,article,puccetti:1966,,,1966,,Can humans think?,Can humans think?,,,,analysis,26,,,,,,,,,,,,,,,,,,,,,,english,false,,,puccetti,,,2:cognition;3:thinking
134797,article,puccetti:1967,,,1967,,On Thinking Machines and Feeling Machines,On Thinking Machines and Feeling Machines,,,,the-british-journal-for-the-philosophy-of-science,18,,39--51,39,,,,,,,,,,,,,,,,,,,english,false,,,puccetti,,,1:ai;2:foundations_of_ai
134798,article,puccetti:1973,,,1973,,Brain Bisection and Personal Identity,Brain Bisection and Personal Identity,,,,the-british-journal-for-the-philosophy-of-science,24,,339--355,339,,,,,,,,,,,,,,,,,,,english,false,,,puccetti,,,1:persons;2:personal_identity
134799,article,puccetti:1973a,,,1973,,Multiple Identity,Multiple Identity,,,,the-personalist,54,,203--213,203,,,,,,,,,,,,,,,,,,,english,false,,,puccetti,,,1:persons;2:personal_identity
134800,article,puccetti:1975,,,1975,,Is Pain Necessary?,Is Pain Necessary?,,,,the-british-journal-for-the-philosophy-of-science,27,,65--73,65,,,,,,,,,,,,,,,,,,,english,false,,,puccetti,,,1:feeling;2:pain
134801,article,puccetti:1975a,,,1975,,The Mute Self: A Reaction to DeWitt's Alternative Account of the Split-Brain Data,The Mute Self: A Reaction to DeWitt's Alternative Account of the Split-Brain Data,,,,philosophy,50,,259--269,259,,,,,,,,,,,,,,,,,,,english,false,,,puccetti,,,1:persons;2:personal_identity
134802,article,puccetti:1975b,,,1975,,Physicalism and the Evolution of Consciousness,Physicalism and the Evolution of Consciousness,,,,canadian-journal-of-philosophy,5,suppl.~2,171--183,171,,,,,,,,,,,,,,,,,10.1080/00455091.1975.10716137,,english,false,,,puccetti,,,1:mind_body;2:physicalism
134803,article,puccetti:1977,,,1977,,Bilateral Organization of Consciousness in Man,Bilateral Organization of Consciousness in Man,,,,annals-of-the-new-york-academy-of-sciences,299,,448--458,448,,,,,,,,,,,,,,,,,,,english,false,,,puccetti,,,2:consciousness
134804,article,puccetti:1978,,,1978,,The Refutation of Materialism,The Refutation of Materialism,,,,canadian-journal-of-philosophy,8,1,157--162,157,,,,,,,,,,,,,,,,,10.1080/00455091.1978.10716215,,english,false,,,puccetti,,,1:mind_body;2:physicalism
