id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
135274,book,py_g:2004,,,2004,,L'id{\'e}e d'Europe au si{\'e}cle des Lumi{\'e}res,L'idée d'Europe au siécle des Lumiéres,,,,,,,,,,Paris,,,vuibert,,,,,,,,,,,,,french,false,,py_g,,,1:political_philosophy
135275,incollection,pye:2006,,,2006,,The Behavioral Revolution and the Remaking of Comparative Politics,The Behavioral Revolution and the Remaking of Comparative Politics,,,,,,,797--805,,,,,,,,,,,,,,,,,,,,false,,pye,,,1:political_philosophy
135276,book,pyenson:1989,,,1989,,Empire of Reason,Empire of Reason,,,,,,13,,,brill_s_studies_in_intellectual_history,Leiden,,,ej-brill,,,,,,,,,,,,,,false,,pyenson,,,1:history_of_philosophy
135277,incollection,pyenson:1990,,,1990,,Science and Imperialism,Science and Imperialism,,,,,,,920--933,,,,,,,,,,,,,,,,,,,,false,,pyenson,,,1:science;2:sociology_of_science
135278,article,pyenson:2008,,,2008,,Forward into the Past,Forward into the Past,,,,studies-in-history-and-philosophy-of-science,39,2,211--219,,,,,,,,,,,,,,,,,,,,false,,pyenson,,,1:time;2:the_past
135279,incollection,pyka:2000,,,2000,,On Emotion and Self-Determination in Max Scheler and Antoni Kepinski,On Emotion and Self-Determination in Max Scheler and Antoni Kepinski,,,,,,,143--152,,,,,,,,,,,,,,,,,,,,false,,pyka,,,1:feeling;2:emotions
135280,incollection,pyka:2002,,,2002,,"Business and Ethics, a General Approach","Business and Ethics, a General Approach",,,,,,,347--354,,,,,,,,,,,,,,,,,,,,false,,pyka,,,
135281,incollection,pykacz:1999,,,1999,,Attempt at the Logical Explanation of the Wave-Particle Duality,Attempt at the Logical Explanation of the Wave-Particle Duality,,,,,,,269--282,,,,,,,,,,,,,,,,,,,,false,,pykacz,,,1:quantum_mechanics
135282,book,pyle_a:1996,,,1996,,The Origins of Modern Philosophy of Science 1830--1914,The Origins of Modern Philosophy of Science 1830–1914,The Origins of Modern Philosophy of Science 1830--1914,The Origins of Modern Philosophy of Science 1830–1914,,,,,,,,London,,,routledge,,,,,,,,,,,,,,false,,,pyle_a,,1:science
135283,incollection,pyle_a:2000,,,2000,,The Rationality of the Chemical Revolution,The Rationality of the Chemical Revolution,,,,,,,99--124,,,,,,,,,,,,,,,,,,,,false,,pyle_a,,,1:method;2:scientific_method
135284,book,pyle_a:2003,,,2003,,Malebranche,Malebranche,,,,,,,,,the_arguments_of_the_philosophers,London,,,routledge,,,,,,,,,,,,,,false,,pyle_a,,,1:history_of_philosophy
135285,incollection,pyle_a:2008,,,2008,,"Malebranche {\""u}ber Wahrnehmung.~Augustinische L{\""o}sungen f{\""u}r cartesische Probleme",Malebranche über Wahrnehmung. Augustinische Lösungen für cartesische Probleme,,,,,,,145--176,,,,,,,,,,,,,,,,,,,ngerman,false,,pyle_a,,,1:representation;2:ideas
135286,incollection,pyle_a:2010,,,2010,,Nicholas Malebranche: Insider or Outsider?,Nicholas Malebranche: Insider or Outsider?,,,,,,,122--152,,,,,,,,,,,,,,,,,,,,false,,pyle_a,,,1:history_of_philosophy
135287,incollection,pyle_a:2012,,,2012,,David Hume and the Argument to Design,David Hume and the Argument to Design,,,,,,,245--264,,,,,,,,,,,,,,,,,,,,false,,pyle_a,,,1:religion;2:arguments_for_the_existence_of_god;3:argument_from_design
135288,incollection,pyle_a:2013,,,2013,,Faculties of the Soul: Response to \citet{perler:2013},Faculties of the Soul: Response to Perler (2013),,,,,,,,,,,,,,,,,,,,,,,,,,,false,,pyle_a,,,
135289,incollection,pyle_a:2017,,,2017,,The Theory of Matter,The Theory of Matter,,,,,,,410--446,,,,,,,,,,,,,,,,,,,,false,,pyle_a,,,1:ontology;2:matter
135290,incollection,pyle_a:2018,,,2018,,Malebranche,Malebranche,,,,,,,79--96,,,,,,,,,,,,,,,,,,,,false,,pyle_a,,,1:epistemology
135291,book,pyle_f:2013,,,2013,,Art's Undoing: In the Wake of Radical Aestheticism,Art's Undoing: In the Wake of Radical Aestheticism,,,,,,,,,,New York,,,fordham-university-press,,,,,,,,,,,,,,false,,pyle_f,,,1:aesthetics
135292,unpublished,pylkkaenen_l:1997,,,1997,,The Semantics of Finnish Causatives,The Semantics of Finnish Causatives,,,,,,,,,,,,,,,,"Unpublished manuscript, Linguistics Department, University of Pittsburgh","Unpublished manuscript, Linguistics Department, University of Pittsburgh",,,,,,,,,,false,,pylkkaenen_l,,,1:causation;2:causatives
135293,UNKNOWN,pylkkaenen_l:2002,,,2002,,Introducing Arguments,Introducing Arguments,,,,,,,,,,"Cambridge, Massachusetts",,department_of_linguistics_and_philosopy_massachusetts_institute_of_technology,,PhD dissertation,,,,,,,,,,,,,false,,pylkkaenen_l,,,1:argumentation;2:argumentation_theory
135294,incollection,pylkkaenen_p-etal:2016,,,2016,,Bohm's Approach and Individuality,Bohm's Approach and Individuality,,,,,,,226--249,,,,,,,,,,,,,,,,,,,,false,,pylkkaenen_p;hiley_b;paettiniemi,,,1:metaphysics;2:generalism;3:no_individuals
135295,incollection,pylkkaenen_p:2018,,,2018,,Quantum Theories of Consciousness,Quantum Theories of Consciousness,,,,,,,216--232,,,,,,,,,,,,,,,,,,,,false,,pylkkaenen_p,,,2:consciousness
135296,incollection,pylkkaenen_p:2020,,,2020,,A Quantum Cure for Panphobia,A Quantum Cure for Panphobia,,,,,,,285--302,,,,,,,,,,,,,,,,,,,,false,,pylkkaenen_p,,,1:mind_body;2:panpsychism
135297,incollection,pylkkoe:1996,,,1996,,\emph{Dasein} Naturalized,Dasein Naturalized,,,,,,,203--220,,,,,,,,,,,,,,,,,,,,false,,pylkkoe,,,1:ontology;2:being;3:dasein
135298,book,pylyshyn-demopoulos:1986,,,1986,,Meaning and Cognitive Structure: Issues in the Computational Theory of Mind,Meaning and Cognitive Structure: Issues in the Computational Theory of Mind,Meaning and Cognitive Structure: Issues in the Computational Theory of Mind,Meaning and Cognitive Structure: Issues in the Computational Theory of Mind,,,,,,,,"Norwood, New Jersey",,,ablex-publishing-co,,,,,,,,,,,,,,false,,,pylyshyn;demopoulos_w,,2:cognition
135299,book,pylyshyn:1970,,,1970,,Perspectives on the Computer Revolution,Perspectives on the Computer Revolution,Perspectives on the Computer Revolution,Perspectives on the Computer Revolution,,,,,,,,"Englewood Cliffs, New Jersey",,,prentice-hall-inc,,,,,,,,,,,,,,false,,,pylyshyn,,1:social_sciences
135300,article,pylyshyn:1972,,,1972,,Competence and Psychological Reality,Competence and Psychological Reality,,,,american-psychologist,27,,546--552,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:linguistics;2:psycholinguistics;3:linguistic_competence
135301,article,pylyshyn:1973,,,1973,,The Role of Competence Theories in Cognitive Psychology,The Role of Competence Theories in Cognitive Psychology,,,,journal-of-psycholinguistic-research,2,,21--50,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:linguistics;2:psycholinguistics;3:linguistic_competence
135302,article,pylyshyn:1973a,,,1973,,What the Mind's Eye Tells the Mind's Brain: A Critique of Mental Imagery,What the Mind's Eye Tells the Mind's Brain: A Critique of Mental Imagery,,,,psychological-bulletin,80,,1--24,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,
135303,article,pylyshyn:1978,,,1978,,Computational Models and Empirical Constraints,Computational Models and Empirical Constraints,,,,behavioral-and-brain-sciences,1,,98--128,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:linguistics;2:linguistics_as_a_science;3:mathematical_linguistics
135304,incollection,pylyshyn:1978a,,,1978,,Imagery and Artificial Intelligence,Imagery and Artificial Intelligence,,,,,,,19--56,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,2:imagery
135305,incollection,pylyshyn:1979,,,1979,,Complexity and the Study of Artificial and Human Intelligence,Complexity and the Study of Artificial and Human Intelligence,,,,,,,,,,,,,,,,Republished in \citet[67--94]{haugeland:1981},Republished in Haugeland (1981),,,,,,,,,,false,,pylyshyn,,,1:ai;2:foundations_of_ai
135306,incollection,pylyshyn:1979a,,,1979,,Metaphorical Imprecision and the ``Top-Down'' Research Strategy,Metaphorical Imprecision and the “Top-Down” Research Strategy,,,,,,,543--558,,,,,,,,,Page references are to the second edition,Page references are to the second edition,,,,,,,,,,false,,pylyshyn,,,1:science;2:theory_change
135307,article,pylyshyn:1980,,,1980,,Computation and Cognition: Issues in the Foundations of Cognitive Science,Computation and Cognition: Issues in the Foundations of Cognitive Science,,,,behavioral-and-brain-sciences,3,,111--150,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:linguistics;2:psycholinguistics;3:linguistic_competence
135308,article,pylyshyn:1981,,,1981,,The Nativists are Restless!,The Nativists are Restless!,,,,psychology-today,26,7,501--504,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:language;2:knowledge_of_language;3:l1_acquisition
135309,article,pylyshyn:1981a,,,1981,,The Imagery Debate: Analog Media vs.~tacit Knowledge,The Imagery Debate: Analog Media vs. tacit Knowledge,,,,psychological-review,88,,16--45,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,2:imagery
135310,book,pylyshyn:1984,,,1984,,Computation and Cognition: Toward a Foundation for Cognitive Science,Computation and Cognition: Toward a Foundation for Cognitive Science,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,,false,,pylyshyn,,,1:linguistics;2:psycholinguistics;3:linguistic_competence
135311,book,pylyshyn:1987,,,1987,,The Robot's Dilemma: The Frame Problem in Artificial Intelligence,The Robot's Dilemma: The Frame Problem in Artificial Intelligence,The Robot's Dilemma: The Frame Problem in Artificial Intelligence,The Robot's Dilemma: The Frame Problem in Artificial Intelligence,,,,,,,,"Norwood, New Jersey",,,ablex-publishing-co,,,,,,,,,,,,,,false,,,pylyshyn,,1:causation;2:causal_reasoning;3:frame_problem
135312,incollection,pylyshyn:1987a,,,1987,,Preface,Preface,,,,,,,vii--xi,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:causation;2:causal_reasoning;3:frame_problem
135313,article,pylyshyn:1987b,,,1987,,What's in a Mind?,What's in a Mind?,,,,synthese,70,,97--122,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,
135314,book,pylyshyn:1988,,,1988,,Computational Processes in Human Vision: An Interdisciplinary Perspective,Computational Processes in Human Vision: An Interdisciplinary Perspective,Computational Processes in Human Vision: An Interdisciplinary Perspective,Computational Processes in Human Vision: An Interdisciplinary Perspective,,,,,,,,"Norwood, New Jersey",,,ablex-publishing-co,,,,,,,,,,,,,,false,,,pylyshyn,,1:perception;2:vision
135315,incollection,pylyshyn:1989,,,1989,,Computing in Cognitive Science,Computing in Cognitive Science,,,,,,,51--91,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:psychology;2:cognitive_science
135316,article,pylyshyn:1989a,,,1989,,On ``Computation and Cognition: Toward a Foundation of Cognitive Science''.~A Response to the Reviews by A.K.~Mackworth and M.J.~Stefik,On “Computation and Cognition: Toward a Foundation of Cognitive Science”. A Response to the Reviews by A.K. Mackworth and M.J. Stefik,,,,artificial-intelligence,38,2,248--251,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:linguistics;2:psycholinguistics;3:linguistic_competence
135317,incollection,pylyshyn:1996,,,1996,,"The Frame Problem Blues: Once More, with Feeling","The Frame Problem Blues: Once More, with Feeling",,,,,,,xi--xviii,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:causation;2:causal_reasoning;3:frame_problem
135318,incollection,pylyshyn:1996a,,,1996,,The Study of Cognitive Architecture,The Study of Cognitive Architecture,,,,,,,51--74,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:psychology;2:cognitive_psychology;3:cognitive_architecture
135319,book,pylyshyn:1998,,,1998,,Constraining Cognitive Theories: Issues and Options,Constraining Cognitive Theories: Issues and Options,Constraining Cognitive Theories: Issues and Options,Constraining Cognitive Theories: Issues and Options,,,,,,,,"Norwood, New Jersey",,,ablex-publishing-co,,,,,,,,,,,,,,false,,,pylyshyn,,1:psychology;2:cognitive_science
135320,article,pylyshyn:1998a,,,1998,,Situation Vision in the World,Situation Vision in the World,,,,trends-in-cognitive-sciences,2,,10--18,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:perception
135321,article,pylyshyn:1999,,,1999,,Is Vision Continuous with Cognition? The Case for Cognitive Impenetrability of Visual Perception,Is Vision Continuous with Cognition? The Case for Cognitive Impenetrability of Visual Perception,,,,behavioral-and-brain-sciences,22,3,341--365,,,,,,,,,,,,,,,,,10.1017/s0140525x99002022,,,false,,pylyshyn,,,1:perception;2:perceptual_content;3:cognitive_penetration
135322,article,pylyshyn:2001,,,2001,,"Visual Indexes, Preconceptual Objects, and Situated Vision","Visual Indexes, Preconceptual Objects, and Situated Vision",,,,cognition,80,,127--158,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:perception;2:object_of_perception
135323,incollection,pylyshyn:2001a,,,2001,,Connecting Vision with the World: Tracking the Missing Link,Connecting Vision with the World: Tracking the Missing Link,,,,,,,183--196,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,
135324,article,pylyshyn:2002,,,2002,,Mental Imagery: In Search of a Theory,Mental Imagery: In Search of a Theory,,,,behavioral-and-brain-sciences,25,,157--238,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,2:imagery
135325,book,pylyshyn:2003,,,2003,,Seeing and Visualizing: It's Not What You Think,Seeing and Visualizing: It's Not What You Think,,,,,,,,,life_and_mind_philosophical_issues_in_biology_and_psychology,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,10.7551/mitpress/6137.001.0001,,,false,,pylyshyn,,,
135326,book,pylyshyn:2007,,,2007,,Things and Places: How the Mind Connects with the World,Things and Places: How the Mind Connects with the World,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,,false,,pylyshyn,,,1:reference
135327,incollection,pylyshyn:2009,,,2009,,"Perception, Representation, and the World: The FINST That Binds","Perception, Representation, and the World: The FINST That Binds",,,,,,,3--48,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:perception;2:vision;3:object_tracking_in_computer_vision
135328,incollection,pylyshyn:2009a,,,2009,,The Empirical Case for Bare Demonstratives in Vision,The Empirical Case for Bare Demonstratives in Vision,,,,,,,255--274,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:reference;2:demonstratives
135329,incollection,pylyshyn:2018,,,2018,,Scientific Theories and Fodorian Exceptionalism,Scientific Theories and Fodorian Exceptionalism,,,,,,,191--210,,,,,,,,,,,,,,,,,,,,false,,pylyshyn,,,1:explanation;2:explanation_in_linguistics
135330,incollection,pym_a:2016,,,2016,,Translating between Languages,Translating between Languages,,,,,,,417--430,,,,,,,,,,,,,,,,,,,,false,,pym_a,,,1:linguistics
135331,book,pym_dj-ritter:2004,,,2004,,"Reductive Logic and Proof-Search.~Proof Theory, Semantics, and Control","Reductive Logic and Proof-Search. Proof Theory, Semantics, and Control",,,,,,45,,,oxford_logic_guides,Oxford,,,oxford-university-press,,,,,,,,,,,,,,false,,pym_dj;ritter_ei,,,1:mathematics;2:set_theory
135332,incollection,pynaadth-wellman:1995,,,1995,,Accounting for Context in Plan Recognition,Accounting for Context in Plan Recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,pynadath;wellman_mp,,,1:action;2:planning
135333,article,pynes:2013,,,2013,,If Monty Hall Falls or Crawls,If Monty Hall Falls or Crawls,,,,european-journal-of-analytic-philosophy,9,2,33--47,,,,,,,,,,,,,,,,,,,,false,,pynes,,,1:decision_theory;2:monty_hall
135334,article,pynko:1995,,,1995,,Algebraic Study of Sette's Maximal Paraconsistent Logic,Algebraic Study of Sette's Maximal Paraconsistent Logic,,,,studia-logica-an-international-journal-for-symbolic-logic,54,1,89--128,,,,,,,,,,,,,,,,,,,,false,,pynko,,,1:logic;2:paraconsistent_logic
135335,article,pynko:1999,,,1999,,Implication Systems fro Many-Dimensional Logics,Implication Systems fro Many-Dimensional Logics,,,,reports-on-mathematical-logic,33,,11--27,,,,,,,,,,,,,,,,,,,,false,,pynko,,,1:logic
135336,article,pynn:2013,,,2013,,The Bayesian Explanation of Transmission Failure,The Bayesian Explanation of Transmission Failure,,,,synthese,190,9,1519--1531,,,,,,,,,,,,,,,,,,,,false,,pynn,,,1:epistemology;2:justification;3:transmission_of_warrant
135337,article,pynn:2014,,,2014,,Assertibility and Sensitivity,Assertibility and Sensitivity,,,,acta-analytica,29,1,99--117,,,,,,,,,,,,,,,,,,,,false,,pynn,,,1:pragmatics;2:assertion;3:norm_of_assertion
135338,article,pynn:2014a,,,2014,,Unassertability and the Appearance of Ignorance,Unassertability and the Appearance of Ignorance,,,,episteme,11,2,125--143,,,,,,,,,,,,,,,,,,,,false,,pynn,,,1:epistemology;2:ignorance
135339,article,pynn:2015,,,2015,,Pragmatic Contextualism,Pragmatic Contextualism,,,,metaphilosophy,46,1,26--51,,,,,,,,,,,,,,,,,,,,false,,pynn,,,1:epistemology;2:epistemic_contextualism
