id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
135356,incollection,qin-simon:1995,,,1995,,Imagery and Mental Models in Problem Solving,Imagery and Mental Models in Problem Solving,,,,,,,403--434,,,,,,,,,,,,,,,,,,,,false,,qin;simon_ha,,,1:information;2:knowledge_representation;3:reasoning_with_diagrams
135357,incollection,qingping:1998,,,1998,,Life as Logos and Tao: On Husserl's Ideas and the Comparative Study of Western and Chinese Philosophies,Life as Logos and Tao: On Husserl's Ideas and the Comparative Study of Western and Chinese Philosophies,,,,,,,33--56,,,,,,,,,,,,,,,,,,,,false,,qingping,,,1:biology;2:life
135358,incollection,qingxiong:1995,,,1995,,Phenomenology as a Critique of Cognition -- A Dialogue on Husserl's \emph{The Idea of Phenomenology},Phenomenology as a Critique of Cognition – A Dialogue on Husserl's The Idea of Phenomenology,,,,,,,135--144,,,,,,,,,,,,,,,,,,,,false,,qingxiong,,,2:cognition
135359,incollection,qinian:2018,,,2018,,A Few Questions Concerning Lenin's Conception of the Dictatorship of the Proletariat,A Few Questions Concerning Lenin's Conception of the Dictatorship of the Proletariat,,,,,,,381--400,,,,,,,,,,,,,,,,,,,,false,,qinian,,,1:history;2:dialectical_materialism
135360,incollection,qionbing:1996,,,1996,,Is Natural Science Free from Morality?,Is Natural Science Free from Morality?,,,,,,,245--264,,,,,,,,,,,,,,,,,,,,false,,qionbing,,,1:science;2:scientific_realism
135361,article,qizilbash:2005,,,2005,,Transitivity and Vagueness,Transitivity and Vagueness,,,,economics-and-philosophy,21,1,109--131,,,,,,,,,,,,,,,,,,,,false,,qizilbash,,,1:vagueness
135362,incollection,qizilbash:2006,,,2006,,"Well-Being, Adaptation and Human Limitations","Well-Being, Adaptation and Human Limitations",,,,,,,83--110,,,,,,,,,,,,,,,,,,,,false,,qizilbash,,,1:social_philosophy;2:well_being
135363,article,qizilbash:2007,,,2007,,The Parity View and Intuitions of Neutrality,The Parity View and Intuitions of Neutrality,,,,economics-and-philosophy,23,1,107--114,,,,,,,,,,,,,,,,,,,,false,,qizilbash,,,1:economics
135364,article,qizilbash:2007a,,,2007,,"The Mere Addition Paradox, Parity and Vagueness","The Mere Addition Paradox, Parity and Vagueness",,,,philosophy-and-phenomenological-research,75,1,129--151,,,,,,,,,,,,,,,,,,,,false,,qizilbash,,,1:ethics;2:population_ethics
135365,article,qizilbash:2012,,,2012,,Incommensurability or Vagueness? A Comment on Rabinowicz and Sugden,Incommensurability or Vagueness? A Comment on Rabinowicz and Sugden,,,,proceedings-of-the-aristotelian-society,112,3,333--338,,,,,,,,,,,,,,,,,,,,false,,qizilbash,,,1:vagueness
135366,article,qizilbash:2014,,,2014,,"Identity, Reason and Choice","Identity, Reason and Choice",,,,economics-and-philosophy,30,1,11--33,,,,,,,,,,,,,,,,,,,,false,,qizilbash,,,1:economics
