id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
144987,incollection,ryall_e:2013,,,2013,,Conceptual Problems with Performance Enhancing Technology in Sport,Conceptual Problems with Performance Enhancing Technology in Sport,,,,,,,129--143,,,,,,,,,,,,,,,,,,,,false,,ryall_e,,,1:social_philosophy;2:sport
144988,article,ryan_al:1967,,,1967,,Faire des choses avec des mots,Faire des choses avec des mots,,,,archives-de-philosophie,30,,20--35,,,,,,,,,,,,,,,,,,,french,false,,ryan_al,,,1:pragmatics;2:speech_acts
144989,book,ryan_al:1970,,,1970,,The Philosophy of John Stuart Mill,The Philosophy of John Stuart Mill,,,,,,,,,,London,,,mac-millan-publishing-co,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy
144990,incollection,ryan_al:1978,,,1978,,"Maximising, Moralising and Dramatising","Maximising, Moralising and Dramatising",,,,,,,65--82,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:social_philosophy
144991,book,ryan_al:1979,,,1979,,The Idea of Freedom.~Essays in Honour of Isaiah Berlin,The Idea of Freedom. Essays in Honour of Isaiah Berlin,The Idea of Freedom.~Essays in Honour of Isaiah Berlin,The Idea of Freedom. Essays in Honour of Isaiah Berlin,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,,,,false,,,ryan_al,,1:political_philosophy
144992,incollection,ryan_al:1979a,,,1979,,Introduction,Introduction,,,,,,,1--8,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy;2:liberty
144993,incollection,ryan_al:1983,,,1983,,"Property, Liberty, and \emph{On Liberty}","Property, Liberty, and On Liberty",,,,,,,217--232,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy;2:liberty
144994,incollection,ryan_al:1984,,,1984,,Utility and Ownership,Utility and Ownership,,,,,,,175--195,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:economics;2:property
144995,incollection,ryan_al:1986,,,1986,,John Stuart Mill,John Stuart Mill,,,,,,,169--169,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:history_of_philosophy
144996,incollection,ryan_al:1986a,,,1986,,Mill's Essay on Liberty,Mill's Essay on Liberty,,,,,,,171--194,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy;2:liberty
144997,incollection,ryan_al:1987,,,1987,,"Justice, Exploitation and the End of Morality","Justice, Exploitation and the End of Morality",,,,,,,117--134,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:ethics;2:metaethics;3:nature_of_morality
144998,incollection,ryan_al:1991,,,1991,,John Stuart Mill's Art of Living,John Stuart Mill's Art of Living,,,,,,,162--168,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:ethics;2:meaning_of_life
144999,book,ryan_al:1993,,,1993,,Justice,Justice,Justice,Justice,,,,,,,oxford_readings_in_politics_and_government,Oxford,,,oxford-university-press,,,,,,,,,,,,,,false,,,ryan_al,,1:political_philosophy;2:justice
145000,incollection,ryan_al:1993a,,,1993,,The Liberal Community,The Liberal Community,,,,,,,91--114,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy;2:democracy
145001,incollection,ryan_al:1998,,,1998,,Mill in a Liberal Landscape,Mill in a Liberal Landscape,,,,,,,497--540,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy;2:liberalism
145002,incollection,ryan_al:1998a,,,1998,,Political Philosophy,Political Philosophy,,,,,,,351--419,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy
145003,incollection,ryan_al:2000,,,2000,,What did John Dewey Want?,What did John Dewey Want?,,,,,,,157--174,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy
145004,incollection,ryan_al:2007,,,2007,,Liberalism,Liberalism,,,,,,,360--382,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy;2:liberalism
145005,incollection,ryan_al:2010,,,2010,,Jonathan Glover,Jonathan Glover,,,,,,,229--235,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:ethics
145006,incollection,ryan_al:2010a,,,2010,,Pragmatist Moral Philosophy,Pragmatist Moral Philosophy,,,,,,,217--229,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:ethics
145007,book,ryan_al:2012,,,2012,,The Making of Modern Liberalism,The Making of Modern Liberalism,,,,,,,,,,"Princeton, New Jersey",,,princeton-university-press,,,,,,,,,,,10.23943/princeton/9780691148403.001.0001,,,false,,ryan_al,,,1:political_philosophy;2:liberalism
145008,incollection,ryan_al:2013,,,2013,,The Philosopher in the Agora,The Philosopher in the Agora,,,,,,,154--175,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy
145009,incollection,ryan_al:2014,,,2014,,A \emph{System of Logic} and the ``Art of Life'',A System of Logic and the “Art of Life”,,,,,,,246--262,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:logic;2:history_of_logic
145010,incollection,ryan_al:2015,,,2015,,Liberalism 1900 -- 1940,Liberalism 1900 – 1940,,,,,,,59--84,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:political_philosophy;2:liberalism
145011,incollection,ryan_al:2016,,,2016,,"Isaiah Berlin, J.S.~Mill, and Progress","Isaiah Berlin, J.S. Mill, and Progress",,,,,,,121--136,,,,,,,,,,,,,,,,,,,,false,,ryan_al,,,1:history_of_philosophy
145012,book,ryan_b-etal:2023,,,2023,,Fernando Pessoa and Philosophy: Countless Lives Inhabit Us,Fernando Pessoa and Philosophy: Countless Lives Inhabit Us,Fernando Pessoa and Philosophy: Countless Lives Inhabit Us,Fernando Pessoa and Philosophy: Countless Lives Inhabit Us,,,,,,,,"Lanham, Maryland",,,rowman-littlefield,,,,,,,,,,,,,,false,,,ryan_b;tusa_g;cardiello_a,,
145013,incollection,ryan_c:1994,,,1994,,The Bread of Faithful Speech,The Bread of Faithful Speech,,,,,,,483--500,,,,,,,,,,,,,,,,,,,,false,,ryan_c,,,1:ethics
145014,incollection,ryan_c:2018,,,2018,,The Pacifist Critique of the Just War Tradition,The Pacifist Critique of the Just War Tradition,,,,,,,125--141,,,,,,,,,,,,,,,,,,,,false,,ryan_c,,,1:social_philosophy;2:war;3:pacificism
145015,incollection,ryan_c:2019,,,2019,,"The Morning Stars Will Sing Together: Compassion, Nonviolence, and the Revolution of the Heart","The Morning Stars Will Sing Together: Compassion, Nonviolence, and the Revolution of the Heart",,,,,,,180--190,,,,,,,,,,,,,,,,,,,,false,,ryan_c,,,1:feeling;2:friendship;3:love
145016,incollection,ryan_cr:2012,,,2012,,Burke's Classical Heritage: Playing Games with Longinus,Burke's Classical Heritage: Playing Games with Longinus,,,,,,,225--246,,,,,,,,,,,,,,,,,,,,false,,ryan_cr,,,1:history_of_philosophy
145017,article,ryan_d:2002,,,2002,,Judgment in Fiction,Judgment in Fiction,,,,south-african-journal-of-philosophy-suid-afrikaanse-tydskrif-vir-wysbegeerte,21,1,63--82,,,,,,,,,,,,,,,,,,,,false,,ryan_d,,,1:aesthetics;2:fiction
145018,article,ryan_d:2003,,,2003,,Discourse Structure and Cartesian Scepticism,Discourse Structure and Cartesian Scepticism,,,,south-african-journal-of-philosophy-suid-afrikaanse-tydskrif-vir-wysbegeerte,22,1,40--50,,,,,,,,,,,,,,,,,,,,false,,ryan_d,,,1:skepticism
145019,UNKNOWN,ryan_do:1949,,,1949,,Comparison of the Notion and Theory of Substance in the Philosophy of Descartes and Saint Thomas Aquinas,Comparison of the Notion and Theory of Substance in the Philosophy of Descartes and Saint Thomas Aquinas,,,,,,,,,,Fribourg,,d_e_partement_de_philosophie_universit_e_de_fribourg,,Travail de licence,,,,,,,,,,,,,false,,ryan_do,,,
145020,article,ryan_ee:1981,,,1981,,Aristotle on Proper Names,Aristotle on Proper Names,,,,apeiron,15,1,38--47,,,,,,,,,,,,,,,,,,,,false,,ryan_ee,,,1:reference;2:names
145021,article,ryan_ge:1989,,,1989,,Commentary on \citet{mcpherran:1989},Commentary on McPherran (1989),,,,proceedings-of-the-boston-area-colloquium-in-ancient-philosophy,5,,172--180,,,,,,,,,,,,,,,,,,,,false,,ryan_ge,,,1:skepticism;2:ancient_skepticism
145022,incollection,ryan_m-etal:1996,,,1996,,Counterfactuals and Updates as Inverse Modalities (Preliminary Version),Counterfactuals and Updates as Inverse Modalities (Preliminary Version),,,,,,,163--174,,,,,,,,,,,,,,,,,,,,false,,ryan_m;schobbens_py;rodrigues_o,,,1:rationality;2:belief_revision
145023,incollection,ryan_m-sadler:1992,,,1992,,Valuation Systems and Consequence Relations,Valuation Systems and Consequence Relations,,,,,,,1--78,,,,,,,,,,,,,,,,,,,,false,,ryan_m;sadler_m,,,1:logic;2:entailment;3:logical_consequence
145024,article,ryan_m-schobbens:1997,,,1997,,Counterfactuals and Updates as Inverse Modalities,Counterfactuals and Updates as Inverse Modalities,,,,journal-of-logic-language-and-information,6,2,123--146,,,,,,,,,,,,,,,,,,,,false,,ryan_m;schobbens_py,,,1:rationality;2:belief_revision
145025,incollection,ryan_m:1992,,,1992,,Representing Defaults as Sentences with Reduced Priority,Representing Defaults as Sentences with Reduced Priority,,,,,,,649--660,,,,,,,,,,,,,,,,,,,,false,,ryan_m,,,1:logic;2:nonmonotonic_logic
145026,incollection,ryan_m:1996,,,1996,,Belief Revision and Ordered Theory Presentations,Belief Revision and Ordered Theory Presentations,,,,,,,129--151,,,,,,,,,,,,,,,,,,,,false,,ryan_m,,,1:rationality;2:belief_revision
145027,book,ryan_ma:2016,,,2016,,A Companion to the Premodern Apocalypse,A Companion to the Premodern Apocalypse,A Companion to the Premodern Apocalypse,A Companion to the Premodern Apocalypse,,,,64,,,brill_s_companions_to_the_christian_tradition,Leiden,,,ej-brill,,,,,,,,,,,,,,false,,,ryan_ma,,1:religion
145028,incollection,ryan_r-lynch:2003,,,2003,,Motivation and Classroom Management,Motivation and Classroom Management,,,,,,,260--271,,,,,,,,,,,,,,,,,,,,false,,ryan_r;lynch_ma,,,1:pedagogy
145029,incollection,ryan_s:1996,,,1996,,Wisdom,Wisdom,,,,,,,233--242,,,,,,,,,,,,,,,,,,,,false,,ryan_s,,,2:epistemic_value;3:wisdom
145030,article,ryan_s:2003,,,2003,,Doxastic Compatibilism and the Ethics of Belief,Doxastic Compatibilism and the Ethics of Belief,,,,philosophical-studies,114,1/2,47--79,,,,,,,,,,,,,,,,,10.1023/a:1024409201289,,,false,,ryan_s,,,2:epistemic_norms;3:norms_of_belief
145031,article,ryan_s:2012,,,2012,,"Wisdom, Knowledge and Rationality","Wisdom, Knowledge and Rationality",,,,acta-analytica,27,2,99--112,,,,,,,,,,,,,,,,,,,,false,,ryan_s,,,1:epistemology
