id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
157936,article,soames:1974,,,1974,,"Rule Orderings, Obligatory transformations, and Derivational Constraints","Rule Orderings, Obligatory transformations, and Derivational Constraints",,,,theoretical-linguistics,1,1,1/2,1,116--138,116,,,,,,,,,,,,,,,,,,,english,false,,,soames,,,1:linguistics;2:syntax
157937,unpublished,soames:1974a,,,1974,,On the Nature of Grammars and Linguistic Theories,On the Nature of Grammars and Linguistic Theories,,,,,,,,,,,,,,,,,,,"Unpublished manuscript, Philosophy Department, Massachusetts Institute of Technology","Unpublished manuscript, Philosophy Department, Massachusetts Institute of Technology",,,,,,,,,english,false,,,soames,,,1:linguistics
157938,article,soames:1979,,,1979,,A Projection Problem for Speaker Presuppositions,A Projection Problem for Speaker Presuppositions,,,,linguistic-inquiry,10,10,,,623--666,623,,,,,,,,,,,,,,,,,,,english,false,,,soames,,,1:pragmatics;2:presupposition
157939,article,soames:1982,,,1982,,How Presuppositions Are Inherited: A Solution to the Projection Problem,How Presuppositions Are Inherited: A Solution to the Projection Problem,,,,linguistic-inquiry,13,13,,,483--545,483,,,,,,,,,,,,,,,,,,,english,false,,,soames,,,1:pragmatics;2:presupposition
157940,article,soames:1984,,,1984,,Linguistics and Psychology,Linguistics and Psychology,,,,linguistics-and-philosophy,7,7,2,2,155--179,155,,,,,,,,,,,,,,,,,,,english,false,,,soames,,,1:linguistics
157941,incollection,soames:1984a,,,1984,,Semantics and Psychology,Semantics and Psychology,,,,,,,,,204--226,204,,,,,,,,,,,,,,,,,,,english,false,,,soames,,,1:psychology
157942,article,soames:1984b,,,1984,,What is a Theory of Truth?,What is a Theory of Truth?,,,,the-journal-of-philosophy,81,81,,,411--429,411,,,,,,,,,,,,,,,,,,,english,false,,,soames,,,1:truth
157943,article,soames:1985,,,1985,,Lost Innocence,Lost Innocence,,,,linguistics-and-philosophy,8,8,1,1,59--71,59,,,,,,,,,,,,,,,,,,,english,false,,,soames,,,1:representation;2:hyperintensionality
157944,article,soames:1986,,,1986,,Incomplete Definite Descriptions,Incomplete Definite Descriptions,,,,notre-dame-journal-of-formal-logic,27,27,,,349--375,349,,,,,,,,,,,,,,,,,,,english,false,,,soames,,,1:reference;2:definite_descriptions
157945,incollection,soames:1987,,,1987,,Substitutivity,Substitutivity,,,,,,,,,99--132,99,,,,,,,,,,,,,,,,,,,english,false,,,soames,,,1:representation;2:hyperintensionality
