id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
159979,article,squadrito:1983,,,1983,,The Ontological Status of Ideas in Locke's Essay,The Ontological Status of Ideas in Locke's Essay,,,,indian-philosophical-quarterly,10,10,2,2,173--182,173,,,,,,,,,,,,,,,,,,,english,false,,,squadrito,,,1:representation;2:ideas
159980,article,squadrito:1987,,,1987,,Mary Astell's Critique of Locke's View of Thinking Matter,Mary Astell's Critique of Locke's View of Thinking Matter,,,,journal-of-the-history-of-philosophy,25,25,3,3,433--439,433,,,,,,,,,,,,,,,,,,,english,false,,,squadrito,,,1:mind_body
159981,article,squadrito:1993,,,1993,,Re-interpretation of Locke's Theory of Ideas,Re-interpretation of Locke's Theory of Ideas,,,,indian-philosophical-quarterly,20,20,2,2,161--172,161,,,,,,,,,,,,,,,,,,,english,false,,,squadrito,,,1:representation;2:ideas
159982,book,squire_lr-butters:1984,,,1984,,Neuropsychology of Memory,Neuropsychology of Memory,Neuropsychology of Memory,Neuropsychology of Memory,,,,,,,,,,,New York,,,guilford-press,,,,,,,,,,,,,english,false,,,,squire_lr;butters_n,,2:memory
159983,book,squire_lr-butters:1992,,,1992,,Neuropsychology of Memory,Neuropsychology of Memory,Neuropsychology of Memory,Neuropsychology of Memory,,,,,,,,,,,New York,,,guilford-press,,2,First edition: \citet{squire_lr-butters:1984},First edition: Squire and Butters (1984),,,,,,,,,english,false,,,,squire_lr;butters_n,,2:memory
159984,book,squire_lr-butters:2002,,,2002,,Neuropsychology of Memory,Neuropsychology of Memory,Neuropsychology of Memory,Neuropsychology of Memory,,,,,,,,,,,New York,,,guilford-press,,3,First edition: \citet{squire_lr-butters:1984},First edition: Squire and Butters (1984),,,,,,,,,english,false,,,,squire_lr;butters_n,,2:memory
159985,book,squire_m:2016,,,2016,,Sight and the Ancient Senses,Sight and the Ancient Senses,Sight and the Ancient Senses,Sight and the Ancient Senses,,,,,,,,,,the_senses_in_antiquity,London,,,routledge,,,,,,,,,,,,,english,false,,,,squire_m,,1:perception
159986,book,squires_ej:1990,,,1990,,Conscious Mind in the Physical World,Conscious Mind in the Physical World,,,,,,,,,,,,,Bristol,,,adam-hilger,,,,,,,,,,,,,english,false,,,squires_ej,,,2:consciousness
159987,article,squires_ej:1991,,,1991,,One Mind or Many? A Note on the Everett Interpretation of Quantum Theory,One Mind or Many? A Note on the Everett Interpretation of Quantum Theory,,,,synthese,89,89,,,283--286,283,,,,,,,,,,,,,,,,,,,english,false,,,squires_ej,,,
159988,article,squires_ej:1993,,,1993,,Quantum Theory and the Relation between the Conscious Mind and the Physical World,Quantum Theory and the Relation between the Conscious Mind and the Physical World,,,,synthese,97,97,,,109--123,109,,,,,,,,,,,,,,,,,,,english,false,,,squires_ej,,,
159989,article,squires_ej:1994,,,1994,,Quantum Theory and the Need for Consciousness,Quantum Theory and the Need for Consciousness,,,,journal-of-consciousness-studies,1,1,,,201--204,201,,,,,,,,,,,,,,,,,,,english,false,,,squires_ej,,,2:consciousness
159990,incollection,squires_ej:1998,,,1998,,Why are Quantum Theorists Interested in Consciousness?,Why are Quantum Theorists Interested in Consciousness?,,,,,,,,,609--618,609,,,,,,,,,,,,,,,,,,,english,false,,,squires_ej,,,2:consciousness
159991,incollection,squires_j:2006,,,2006,,Equality and Difference,Equality and Difference,,,,,,,,,470--487,470,,,,,,,,,,,,,,,,,,,english,false,,,squires_j,,,1:political_philosophy;2:equality
159992,incollection,squires_jt:2006,,,2006,,The Gospel according to Luke,The Gospel according to Luke,,,,,,,,,158--181,158,,,,,,,,,,,,,,,,,,,english,false,,,squires_jt,,,1:religion
159993,incollection,squires_p:2017,,,2017,,Antisocial Behavior,Antisocial Behavior,,,,,,,,,427--430,427,,,,,,,,,,,,,,,,,,,english,false,,,squires_p,,,1:law;3:criminology
159994,article,squires_r:1969,,,1969,,Are Dispositions Causes?,Are Dispositions Causes?,,,,analysis,29,29,,,45--47,45,,,,,,,,,,,,,,,,,,,english,false,,,squires_r,,,1:properties;2:dispositions
159995,article,squires_r:1970,,,1970,,Are Dispositions Lost Causes? [reply to \citet{stevenson_l:1969}],Are Dispositions Lost Causes? [reply to Stevenson (1969)],,,,analysis,29,29,,,15--18,15,,,,,,,,,,,,,,,,,,,english,false,,,squires_r,,,1:properties;2:dispositions
159996,article,squires_r:1974,,,1974,,Zombies vs Materialists,Zombies vs Materialists,,,,proceedings-of-the-aristotelian-society-supplementary-volume,48,48,,,153--163,153,,,,,,,,,,,,,,,,,,,english,false,,,squires_r,,,2:consciousness;3:zombies
159997,article,squires_r:1995,,,1995,,Dream Time,Dream Time,,,,proceedings-of-the-aristotelian-society,95,95,,,83--91,83,,,,,,,,,,,,,,,,,,,english,false,,,squires_r,,,2:dreaming
159998,article,squires_s:2016,,,2016,,Jerome on Sinlessness: A \emph{Via Media} between Augustine and Pelagius,Jerome on Sinlessness: A Via Media between Augustine and Pelagius,,,,the-heythrop-journal,57,57,,,697--709,697,,,,,,,,,,,,,,,,,,,english,false,,,squires_s,,,1:religion;2:heaven_and_hell;3:sin
