id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
166382,article,teahan-etal:2000,,,2000,,A Compression-Based Algorithm for Chinese Word Segmentation,A Compression-Based Algorithm for Chinese Word Segmentation,,,,computational-linguistics,26,26,3,3,375--393,375,,,,,,,,,,,,,,,,,,,english,false,,,teahan;wen_y;mcnab_r;witten_ih,,,1:linguistics;2:syntax;3:word_segmentation
166383,incollection,teasdale_jd:1999,,,1999,,Multi-Level Theories of Cognition-Emotion Relations,Multi-Level Theories of Cognition-Emotion Relations,,,,,,,,,665--682,665,,,,,,,,,,,,,,,,,,,english,false,,,teasdale_jd,,,1:feeling;2:emotions
166384,book,teays_w:2019,,,2019,,Analyzing Violence Against Women,Analyzing Violence Against Women,Analyzing Violence Against Women,Analyzing Violence Against Women,,,,,,,,,,library_of_public_policy_and_public_administration,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-030-05989-7,,english,false,,,,teays_w,,1:social_philosophy;2:violence
166385,book,teays_w:2022,,,2022,,Reshaping Philosophy: Michael Boylan's Narrative Fiction,Reshaping Philosophy: Michael Boylan's Narrative Fiction,,,,,,,,,,,,,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-030-99265-1,,english,false,,,teays_w,,,1:http_rd_springer_com_book_10_1007_978_3_030_99265_1
166386,book,tebbe_n:2017,,,2017,,Religious Freedom in an Egalitarian Age,Religious Freedom in an Egalitarian Age,,,,,,,,,,,,,"Cambridge, Massachusetts",,,harvard-university-press,,,,,,,,,,,,,english,false,,,tebbe_n,,,1:religion;2:religious_pluralism
166387,article,tebben-waterman:2016,,,2016,,"Counterfeit Testimony: Lies, Trust, and the Exchange of Information","Counterfeit Testimony: Lies, Trust, and the Exchange of Information",,,,philosophical-studies,173,173,11,11,3101--3117,3101,,,,,,,,,,,,,,,,,10.1007/s11098-016-0652-0,,english,false,,,tebben;waterman_jp,,,1:epistemology;2:testimony
166388,article,tebben:2014,,,2014,,Deontology and Doxastic Control,Deontology and Doxastic Control,,,,synthese,191,191,12,12,2835--2847,2835,,,,,,,,,,,,,,,,,,,english,false,,,tebben,,,1:belief;2:believing_at_will
166389,incollection,tebben:2015,,,2015,,Anti-Representational Semantics: Four Themes,Anti-Representational Semantics: Four Themes,,,,,,,,,3--23,3,,,,,,,,,,,,,,,,,,,english,false,,,tebben,,,1:representation
166390,book,tebbit:2005,,,2005,,Philosophy of Law: An Introduction,Philosophy of Law: An Introduction,,,,,,,,,,,,,London,,,routledge,,2,,,,,,,,,,,english,false,,,tebbit,,,1:law
166391,article,tecuci-etal:2001,,,2001,,An Innovative Application from the {DARPA} Knowledge Bases Programs: Rapid Development of a Course-of-Action Critiquer,An Innovative Application from the DARPA Knowledge Bases Programs: Rapid Development of a Course-of-Action Critiquer,,,,the-ai-magazine,22,22,2,2,43--61,43,,,,,,,,,,,,,,,,,,,english,false,,,tecuci;boicu_m;bowman_m;marcu_d,,,1:ai
