id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
171102,article,um_s:2020,,,2020,,Gratitude for Being,Gratitude for Being,,,,australasian-journal-of-philosophy,98,2,222--233,,,,,,,,,,,,,,,,,,,,false,,um_s,,,1:time;2:death;3:non_natalism
171103,article,umapathy:1998,,,1998,,Perception and Scepticism,Perception and Scepticism,,,,american-philosophical-quarterly,35,2,111--128,,,,,,,,,,,,,,,,,,,,false,,umapathy,,,1:skepticism
171104,article,umapathy:2001,,,2001,,"Millianism, Propositions, and Existence","Millianism, Propositions, and Existence",,,,philosophia-philosophical-quarterly-of-israel,28,1--4,209--222,,,,,,,,,,,,,,,,,,,,false,,umapathy,,,1:reference;2:names;3:descriptivism_about_names
171105,incollection,umar_ms:2001,,,2001,,``From the Niche of Prophecy'': Nasr's Position On Islamic Philosophy Within the Islamic Tradition in Excerpts and Commentary,“From the Niche of Prophecy”: Nasr's Position On Islamic Philosophy Within the Islamic Tradition in Excerpts and Commentary,,,,,,,89--131,,,,,,,,,,,,,,,,,,,,false,,umar_ms,,,1:religion;2:islam
171106,incollection,umemura-church:2000,,,2000,,Empirical Term Weighting and Expansion Frequency,Empirical Term Weighting and Expansion Frequency,,,,,,,117--123,,,,,,,,,,,,,,,,,,,,false,,umemura;church_kw,,,1:linguistics;2:corpus_linguistics
171107,book,umilta-moscovitch:1994,,,1994,,Attention and Performance 15: Conscious and Nonconscious Information Processing,Attention and Performance 15: Conscious and Nonconscious Information Processing,Attention and Performance 15: Conscious and Nonconscious Information Processing,Attention and Performance 15: Conscious and Nonconscious Information Processing,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,,false,,,umilta;moscovitch,,1:psychology;2:awareness
171108,incollection,umilta:1988,,,1988,,The Control Operations of Consciousness,The Control Operations of Consciousness,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,umilta,,,2:consciousness
171109,article,umilta:2000,,,2000,,Conscious Experience Depends on Multiple Brain Systems,Conscious Experience Depends on Multiple Brain Systems,,,,european-psychologist,5,,3--11,,,,,,,,,,,,,,,,,,,,false,,umilta,,,2:consciousness
171110,incollection,umphrey_s:1976,,,1976,,Spinoza's Defense of Human Freedom,Spinoza's Defense of Human Freedom,,,,,,,44--65,,,,,,,,,,,,,,,,,,,,false,,umphrey_s,,,1:history_of_philosophy
171111,article,umphrey_s:1988,,,1988,,The Meinongian-Antimeinongian Dispute.~Review: A Reply to \citet{dejnozka:1988} and \citet{butchvarov:1988a},The Meinongian-Antimeinongian Dispute. Review: A Reply to Dejnožka (1988) and Butchvarov (1988),,,,grazer-philosophische-studien,32,,169--179,,,,,,,,,,,On the Background of Contemporary Philosophical Logic,On the Background of Contemporary Philosophical Logic,,,,,,,,false,,umphrey_s,,hilpinen,1:metaphysics;2:realism
