id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
171395,article,utitz:1918,,,1918,,Franz Brentano,Franz Brentano,,,,kant-studien,22,22,1,1,217--242,217,,,,,,,,,,,,,,,,,,,german,false,,,utitz,,,1:history_of_philosophy
171396,incollection,utsuro-etal:1995,,,1995,,Verbal Case Frame Acquisition From Bilingual Corpora,Verbal Case Frame Acquisition From Bilingual Corpora,,,,,,,,,1150--1156,1150,,,,,,,,,,,,,,,,,,,english,false,,,utsuro;matsumoto_yu;nagao_m,,,1:ai
171397,book,uttal:2001,,,2001,,The New Phrenology: The Limits of Localizing Cognitive Processes in the Brain,The New Phrenology: The Limits of Localizing Cognitive Processes in the Brain,,,,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,english,false,,,uttal,,,1:psychology;2:neuroscience
171398,incollection,uttal:2001a,,,2001,,Can Psychological Processes Be Explained? A Call for A Revitalized Behaviorism,Can Psychological Processes Be Explained? A Call for A Revitalized Behaviorism,,,,,,,,,251--276,251,,,,,,,,,,,,,,,,,,,english,false,,,uttal,,,1:psychology;2:behaviourism
171399,book,uttal:2011,,,2011,,Mind and Brain A Critical Appraisal of Cognitive Neuroscience,Mind and Brain A Critical Appraisal of Cognitive Neuroscience,,,,,,,,,,,,,"Cambridge, Massachusetts",,,the-mit-press,,,,,,,,,,,,,english,false,,,uttal,,,1:psychology;2:neuroscience
171400,book,utz_k:2005,,,2005,,Philosophie des Zufalls.~Ein Entwurf,Philosophie des Zufalls. Ein Entwurf,,,,,,,,,,,,,Paderborn,,,ferdinand-schoningh,,,,,,,,,,,,,german,false,,,utz_k,,,1:probability;2:chance
171401,book,utz_k:2012,,,2012,,Freundschaft.~Eine philosophische Theorie,Freundschaft. Eine philosophische Theorie,,,,,,,,,,,,,Paderborn,,,ferdinand-schoningh,,,,,,,,,,,,,german,false,,,utz_k,,,1:feeling;2:friendship
171402,book,utz_k:2015,,,2015,,Bewusstsein.~Eine philosophische Theorie,Bewusstsein. Eine philosophische Theorie,,,,,,,,,,,,,Paderborn,,,ferdinand-schoningh,,,,,,,,,,,,,german,false,,,utz_k,,,2:consciousness
171403,article,utz_k:2015a,,,2015,,Praktische Vernunft in der \emph{Grundlegung zur Metaphysik der Sitten},Praktische Vernunft in der Grundlegung zur Metaphysik der Sitten,,,,zeitschrift-fur-philosophische-forschung,69,69,4,4,474--501,474,,,,,,,,,,,,,,,,,,,german,false,,,utz_k,,,1:ethics
171404,article,utz_k:2017,,,2017,,Philosophie der Liebe,Philosophie der Liebe,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2017-12-15-utz,german,false,,cc-by-3,utz_k,,,
