id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
174727,UNKNOWN,vlach:1973,,,1973,,`Now' and `Then': A Formal Study in the Logic of Tense Anaphora,‘Now' and ‘Then': A Formal Study in the Logic of Tense Anaphora,,,,,,,,,,,,,"Los Angeles, California",,university_of_california,,PhD dissertation,,,,,,,,,,,https://philpapers.org/archive/VLANAT.pdf,english,false,,,vlach,,,1:time;2:tense_aspect
174728,article,vlach:1981,,,1981,,Speaker's Meaning,Speaker's Meaning,,,,linguistics-and-philosophy,4,4,3,3,359--391,359,,,,,,,,,,,,,,,,,,,english,false,,,vlach,,,1:representation;2:speaker_meaning
174729,incollection,vlach:1981a,,,1981,,The semantics of the progressive,The semantics of the progressive,,,,,,,,,271--292,271,,,,,,,,,,,,,,,,,,,english,false,,,vlach,,,1:time;2:tense_aspect
174730,article,vlach:1983,,,1983,,On Situation Semantics for Perception,On Situation Semantics for Perception,,,,synthese,54,54,,,129--152,129,,,,,,,,,,,,,,,,,,,english,false,,,vlach,,,1:exemplification;2:events;3:adverbial_modifiers_of_events
174731,article,vlach:1993,,,1993,,"Temporal Adverbials, Tenses and the Perfect","Temporal Adverbials, Tenses and the Perfect",,,,linguistics-and-philosophy,16,16,3,3,231--283,231,,,,,,,,,,,,,,,,,,,english,false,,,vlach,,,1:time;2:tense_aspect;3:temporal_adverbials
174732,incollection,vlad:2015,,,2015,,Damascius and Dionysius on Prayer and Silence,Damascius and Dionysius on Prayer and Silence,,,,,,,,,192--212,192,,,,,,,,,,,,,,,,,,,english,false,,,vlad,,,1:religion;2:prayer
174733,book,vlad:2019,,,2019,,Damascius et l'ineffable.~R{\'e}cit de l'impossible discours,Damascius et l'ineffable. Récit de l'impossible discours,,,,,,,,,,,,,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,vlad,,,
174734,incollection,vladescu:1998,,,1998,,Le cogito cart{\'e}sien et sa post{\'e}rit{\'e},Le cogito cartésien et sa postérité,,,,,,,,,143--152,143,,,,,,,,,,,,,,,,,,,french,false,,,vladescu,,,1:epistemology;2:cogito
174735,book,vlahakis_g:2008,,,2008,,Notions of Physics in Natural Philosophy,Notions of Physics in Natural Philosophy,Notions of Physics in Natural Philosophy,Notions of Physics in Natural Philosophy,,,,,,,,,,,Newcastle upon Tye,,,cambridge-scholars-publishing,,,,,,,,,,,,,english,false,,,,vlahakis_g,,1:physics
174736,incollection,vlaisavljevic:1989,,,1989,,The Interrogation of Perceptive Faith,The Interrogation of Perceptive Faith,,,,,,,,,59--74,59,,,,,,,,,,,,,,,,,,,english,false,,,vlaisavljevic,,,1:religion;2:faith
174737,incollection,vlaisavljevic:1991,,,1991,,Husserl's Legacy in Derrida's Grammatological Opening,Husserl's Legacy in Derrida's Grammatological Opening,,,,,,,,,101--118,101,,,,,,,,,,,,,,,,,,,english,false,,,vlaisavljevic,,,1:history_of_philosophy
174738,incollection,vlasits:2020,,,2020,,The First Riddle of Induction,The First Riddle of Induction,,,,,,,,,237--253,237,,,,,,,,,,,,,,,,,,,english,false,,,vlasits,,,1:method;2:induction;3:grue
174739,article,vlasits:2021,,,2021,,"Division, Syllogistic, and Science in \emph{Prior Analytics} I.31","Division, Syllogistic, and Science in Prior Analytics I.31",,,,ergo,8,8,10,10,269--305,269,,,,,,,,,,,,,,,,,10.3998/ergo.1147,,english,false,,,vlasits,,,1:method
174740,incollection,vlassopoulos:2017,,,2017,,Xenophon on Persia,Xenophon on Persia,,,,,,,,,360--375,360,,,,,,,,,,,,,,,,,,,english,false,,,vlassopoulos,,,1:history_of_philosophy
174741,article,vlastos:1937,,,1937,,Organic Categories in Whitehead,Organic Categories in Whitehead,,,,the-journal-of-philosophy,34,34,10,10,253--262,253,,,,,,,,,,,,,,,,,,,english,false,,,vlastos,,,2:value_bearers;3:organic_unity
174742,article,vlastos:1939,,,1939,,The Disorderly Motion in the \emph{Timaeus},The Disorderly Motion in the Timaeus,,,,classical-quarterly,33,33,,,71--83,71,,,,,,,,,,,,,,,,,,,english,false,,,vlastos,,,1:time;2:motion
174743,article,vlastos:1941,,,1941,,Slavery in Plato's Thought,Slavery in Plato's Thought,,,,the-philosophical-review,50,50,,,289--304,289,,,,,,,,,Reprinted in \citet[147--163]{vlastos:1973},Reprinted in Vlastos (1973),,,,,,,,,english,false,,,vlastos,,,1:political_philosophy;2:discrimination;3:slavery
174744,article,vlastos:1946,,,1946,,Parmenides' Theory of Knowledge,Parmenides' Theory of Knowledge,,,,tapa,77,77,,,66--77,66,,,,,,,,,,,,,,,,,,,english,false,,,vlastos,,,1:knowledge
174745,article,vlastos:1952,,,1952,,Theology and Philosophy in Early Greek Thought,Theology and Philosophy in Early Greek Thought,,,,the-philosophical-quarterly,2,2,7,7,97--123,97,,,,,,,,,,,,,,,,,,,english,false,,,vlastos,,,1:metaphysics
174746,article,vlastos:1954,,,1954,,The Third Man Argument in the \emph{Parmenides},The Third Man Argument in the Parmenides,,,,the-philosophical-review,63,63,,,319--349,319,,,,,,,,,,,,,,,,,,,english,false,,,vlastos,,,1:properties;2:problem_of_universals;3:third_man
174747,article,vlastos:1957,,,1957,,Review of \citet{gould_jo:1955},Review of Gould (1955),,,,the-philosophical-review,66,66,,,226--238,226,,,,,,,,,"reprinted, as ``Socratic Knowledge and Platonic ``Pessimism''\,'', in \citet{vlastos:1973}","reprinted, as “Socratic Knowledge and Platonic “Pessimism” ”, in Vlastos (1973)",,,,,,,,,english,false,,,vlastos,,,1:ethics
174748,incollection,vlastos:1962,,,1962,,Justice and Equality,Justice and Equality,,,,,,,,,31--72,31,,,,,,,,,Reprinted in \citet[41--76]{waldron:1984},Reprinted in Waldron (1984),,,,,,,,,english,false,,,vlastos,,,1:political_philosophy;2:rights
174749,article,vlastos:1963,,,1963,,Review of \citet{kraemer_hj:1959},Review of Krämer (1959),,,,gnomon,41,41,,,641--655,641,,,,,,,,,"Reprinted, as ``On Plato's Oral Doctrine'', in \citet[379--398]{vlastos:1973}","Reprinted, as “On Plato's Oral Doctrine”, in Vlastos (1973)",,,,,,,,,english,false,,,vlastos,,,1:history_of_philosophy;2:unwritten_doctrine
174750,article,vlastos:1965,,,1965,,"\emph{Anamnesis} in the \emph{Meno}, Part One: The Data of the Theory","Anamnesis in the Meno, Part One: The Data of the Theory",,,,dialogue-revue-canadienne-de-philosophie-canadian-philosophical-review,4,4,2,2,143--167,143,,,,,,,,,,,,,,,,,,,english,false,,,vlastos,,,1:explanation;2:paradox_of_analysis;3:meno_s_problem
174751,incollection,vlastos:1965a,,,1965,,Degrees of Reality in Plato,Degrees of Reality in Plato,,,,,,,,,1--19,1,,,,,,,,,Reprinted in \citet[58--75]{vlastos:1973},Reprinted in Vlastos (1973),,,,,,,,,english,false,,,vlastos,,,1:ontology;2:being;3:modes_of_being
174752,article,vlastos:1966,,,1966,,Zeno's Race Course,Zeno's Race Course,,,,journal-of-the-history-of-philosophy,4,4,2,2,95--108,95,,,,,,,,,,,,,,,,,,,english,false,,,vlastos,,,1:time;2:motion;3:paradoxes_of_motion
174753,article,vlastos:1966a,,,1966,,A Note on Zeno's Arrow,A Note on Zeno's Arrow,,,,phronesis,11,11,,,3--18,3,,,,,,,,,,,,,,,,,,,english,false,,,vlastos,,,1:time;2:motion;3:paradoxes_of_motion
174754,article,vlastos:1966c,,,1966,,Review of \citet{crombie_im:1963},Review of Crombie (1963),,,,the-philosophical-review,75,75,,,526--530,526,,,,,,,,,"Reprinted, as ``Plato on Knowledge and Reality'' in \citet[374--378]{vlastos:1973}","Reprinted, as “Plato on Knowledge and Reality” in Vlastos (1973)",,,,,,,,,english,false,,,vlastos,,,1:skepticism
174755,article,vlastos:1967,,,1967,,Plato's Supposed Theory of Irregular Atomic Figures,Plato's Supposed Theory of Irregular Atomic Figures,,,,isis,57,57,,,204--209,204,,,,,,,,,Reprinted in \citet[366--373]{vlastos:1973},Reprinted in Vlastos (1973),,,,,,,,,english,false,,,vlastos,,,1:perception;2:smells
174756,article,vlastos:1968,,,1968,,The Argument in the \emph{Republic} that Justice Pays,The Argument in the Republic that Justice Pays,,,,the-journal-of-philosophy,65,65,,,665--674,665,,,,,,,,,Reworked into \citet{vlastos:1973b},Reworked into Vlastos (1973),,,,,,,,,english,false,,,vlastos,,,1:political_philosophy;2:justice
174757,article,vlastos:1968a,,,1968,,Does Slavery Exist in the Republic?,Does Slavery Exist in the Republic?,,,,classical-philology,63,63,,,291--295,291,,,,,,,,,Reprinted in \citet[140--146]{vlastos:1973},Reprinted in Vlastos (1973),,,,,,,,,english,false,,,vlastos,,,1:political_philosophy;2:discrimination;3:slavery
174758,article,vlastos:1969,,,1969,,Reasons and Causes in the \emph{Phaedo},Reasons and Causes in the Phaedo,,,,the-philosophical-review,78,78,,,291--325,291,,,,,,,,,"Reprinted, in revised form, in \citet[76--110]{vlastos:1973}","Reprinted, in revised form, in Vlastos (1973)",,,,,,,,,english,false,,,vlastos,,,1:explanation
174759,article,vlastos:1969a,,,1969,,Self-Predication in Plato's Later Period,Self-Predication in Plato's Later Period,,,,the-philosophical-review,78,78,,,74--78,74,,,,,,,,,"Reprinted, with some corrections, as ``Self-Predication and Self-Participation in Plato's Later Period'' in \citet[335--341]{vlastos:1973}","Reprinted, with some corrections, as “Self-Predication and Self-Participation in Plato's Later Period” in Vlastos (1973)",,,,,,,,,english,false,,,vlastos,,,1:exemplification;2:predication;3:self_predication
