id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
175791,incollection,waaler-wallen:1999,,,1999,,Tableaux for Intuitionistic Logics,Tableaux for Intuitionistic Logics,,,,,,,,,255--296,255,,,,,,,,,,,,,,,,,,,english,false,,,waaler;wallen,,,1:logic;2:natural_deduction;3:tableaux
175792,incollection,waaler:2005,,,2005,,Consistency Proofs for Systems of Multi-Agent Only Knowing,Consistency Proofs for Systems of Multi-Agent Only Knowing,,,,,,,,,347--366,347,,,,,,,,,,,,,,,,,,,english,false,,,waaler,,,1:epistemology;2:epistemic_logic
175793,incollection,wach_j:1952,,,1952,,Radhakrishnan and the Comparative Study of Religion,Radhakrishnan and the Comparative Study of Religion,,,,,,,,,443--458,443,,,,,,,,,,,,,,,,,,,english,false,,,wach_j,,,1:religion
175794,article,wachbrit:1996,,,1996,,Cartesian Skepticism from Bare Possibility,Cartesian Skepticism from Bare Possibility,,,,journal-of-the-history-of-ideas,57,57,1,1,109--129,109,,,,,,,,,,,,,,,,,,,english,false,,,wachbrit,,,1:skepticism
175795,incollection,wachbroit-wasserman:2003,,,2003,,Reproductive Technology,Reproductive Technology,,,,,,,,,112--135,112,,,,,,,,,,,,,,,,,,,english,false,,,wachbroit;wasserman_d,,,1:ethics;2:procreation
175796,incollection,wache_h:2001,,,2001,,Practical Context Transformation for Information System Interoperability,Practical Context Transformation for Information System Interoperability,,,,,,,,,367--380,367,,,,,,,,,,,,,,,,,,,english,false,,,wache_h,,,1:pragmatics;2:context
175797,article,wache_o:2023,,,2023,,"Das (weg-)h{\""o}rende Herz",Das (weg-)hörende Herz,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2023-11-01-wache,ngerman,false,,https://creativecommons.org/licenses/by/3.0/,wache_o,,,
175798,incollection,wacholder:1998,,,1998,,Simplex {NP}s Clustered by Head: A Method for Identifying Significant Topics within a Document,Simplex NPs Clustered by Head: A Method for Identifying Significant Topics within a Document,,,,,,,,,70--79,70,,,,,,,,,,,,,,,,,,,english,false,,,wacholder,,,1:linguistics;2:logic_for_natural_language;3:natural_language_programming
175799,unpublished,wachowicz:1974,,,1974,,Against the Universality of a Single Wh-Question Movement,Against the Universality of a Single Wh-Question Movement,,,,,,,,,,,,,,,,,,,"Unpublished manuscript, Linguistics Department, University of Texas","Unpublished manuscript, Linguistics Department, University of Texas",,,,,,,,,english,false,,,wachowicz,,,1:semantics;2:interrogatives
175800,unpublished,wachowicz:1974a,,,1974,,"Multiple Questions, Games, and the Presuppositions of Semantics","Multiple Questions, Games, and the Presuppositions of Semantics",,,,,,,,,,,,,,,,,,,"Unpublished manuscript, Linguistics Department, University of Texas","Unpublished manuscript, Linguistics Department, University of Texas",,,,,,,,,english,false,,,wachowicz,,,1:semantics;2:interrogatives
