id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
179467,incollection,whalen_be:2018,,,2018,,Joachim the Theorist of History and Society,Joachim the Theorist of History and Society,,,,,,,88--108,,,,,,,,,,,,,,,,,,,,false,,whalen_be,,,1:aesthetics;2:fiction
179468,incollection,whalen_pj:2008,,,2008,,The Fabric of Our Mental Lives: A Comment on \citet{kagan_j:2008},The Fabric of Our Mental Lives: A Comment on Kagan (2008),,,,,,,317--320,,,,,,,,,,,,,,,,,,,,false,,whalen_pj,,,
179469,incollection,whalen_te:2008,,,2008,,A Computational Behaviorist Takes Turing's Test,A Computational Behaviorist Takes Turing's Test,,,,,,,343--358,,,,,,,,,,,,,,,,,,,,false,,whalen_te,,,1:ai;2:foundations_of_ai;3:turing_test
179470,incollection,whaley_j:1998,,,1998,,Commentary: Skepticism and Social Issues,Commentary: Skepticism and Social Issues,,,,,,,329--337,,,,,,,,,,,,,,,,,,,,false,,whaley_j,,,1:skepticism
179471,incollection,whalley_e-belknap:2017,,,2017,,Patriarchy and Crime,Patriarchy and Crime,,,,,,,342--346,,,,,,,,,,,,,,,,,,,,false,,whalley_e;belknap_j,,,1:law;3:criminology
179472,article,whallon:1943,,,1943,,On the Notion of Causality in Psychology,On the Notion of Causality in Psychology,,,,the-journal-of-philosophy,40,21,561--566,,,,,,,,,,,,,,,,,,,,false,,whallon,,,1:causation
179473,book,whaples_r-parker:2013,,,2013,,The Routledge Handbook of Modern Economic History,The Routledge Handbook of Modern Economic History,The Routledge Handbook of Modern Economic History,The Routledge Handbook of Modern Economic History,,,,,,,routledge_international_handbooks,London,,,routledge,,,,,,,,,,,,,,false,,,whaples_r;parker_ra,,1:economics
179474,incollection,whatley:1986,,,1986,,Taking Feminist Science to the Classroom: Where Do We Go From Here?,Taking Feminist Science to the Classroom: Where Do We Go From Here?,,,,,,,181--190,,,,,,,,,,,,,,,,,,,,false,,whatley,,,1:persons;2:gender;3:biological_sex
179475,incollection,wheatland:2018,,,2018,,The Frankfurt School and the Experience of Exile,The Frankfurt School and the Experience of Exile,,,,,,,193--205,,,,,,,,,,,,,,,,,,,,false,,wheatland,,,
179476,article,wheatley:1959,,,1959,,A Note on the Emotive Theory,A Note on the Emotive Theory,,,,philosophy,34,130,235--236,,,,,,,,,,,,,,,,,,,,false,,wheatley,,,2:expressivism
179477,article,wheatley:1962,,,1962,,Like,Like,,,,proceedings-of-the-aristotelian-society,62,,99--116,,,,,,,,,,,,,,,,,,,,false,,wheatley,,,2:expressivism
179478,article,wheatley:1963,,,1963,,How Austin Does Things with Words,How Austin Does Things with Words,,,,dialogue-revue-canadienne-de-philosophie-canadian-philosophical-review,2,3,337--345,,,,,,,,,,,,,,,,,,,,false,,wheatley,,,1:pragmatics;2:speech_acts
179479,article,wheatley:1964,,,1964,,Austin on Implication and Entailment,Austin on Implication and Entailment,,,,philosophical-studies,15,3,46--48,,,,,,,,,,,,,,,,,10.1007/bf00420779,,,false,,wheatley,,,1:logic;2:entailment
179480,article,wheatley:1964a,,,1964,,How to Give a Word a Meaning,How to Give a Word a Meaning,,,,theoria,30,,119--136,,,,,,,,,,,,,,,,,,,,false,,wheatley,,,1:language
179481,incollection,wheatley:1969,,,1969,,Austin on Truth,Austin on Truth,,,,,,,226--239,,,,,,,,,,,,,,,,,,,,false,,wheatley,,,1:truth;2:truthbearers
179482,incollection,wheatley:1973,,,1973,,Phenomenology: English and Continental,Phenomenology: English and Continental,,,,,,,230--242,,,,,,,,,,,,,,,,,,,,false,,wheatley,,,1:metaphysics;2:phenomenology
179483,article,wheeler_am:1961,,,1961,,On Lewis' Imperatives of Right,On Lewis' Imperatives of Right,,,,philosophical-studies,12,4,59--60,,,,,,,,,,,,,,,,,10.1007/bf00420733,,,false,,wheeler_am,,,2:deontic_logic;3:imperative_logic
179484,article,wheeler_am:1977,,,1977,,Disagreement in Belief About Interests,Disagreement in Belief About Interests,,,,the-southwestern-journal-of-philosophy,8,1,49--51,,,,,,,,,,,,,,,,,,,,false,,wheeler_am,,,1:rationality;2:disagreement
179485,article,wheeler_am:1977a,,,1977,,A Reply to Professor Stevenson [on \citet{stevenson_cl:1977}],A Reply to Professor Stevenson [on Stevenson (1977)],,,,the-southwestern-journal-of-philosophy,8,1,55--57,,,,,,,,,,,,,,,,,,,,false,,wheeler_am,,,1:rationality;2:disagreement
179486,incollection,wheeler_d:2018,,,2018,,Deus Sive Natura: Pantheism as a Variety of Religious Naturalism,Deus Sive Natura: Pantheism as a Variety of Religious Naturalism,,,,,,,106--117,,,,,,,,,,,,,,,,,,,,false,,wheeler_d,,,1:religion;2:pantheism
179487,article,wheeler_dw-carpenter:1995,,,1995,,Review of \citet{bird_s:1995},Review of Bird (1995),,,,computational-linguistics,21,4,598--603,,,,,,,,,,,,,,,,,,,,false,,wheeler_dw;carpenter_b,,,1:linguistics;2:linguistics_as_a_science;3:mathematical_linguistics
179488,incollection,wheeler_dw:1988,,,1988,,Consequences of Some Categorially-Motivated Phonological Assumptions,Consequences of Some Categorially-Motivated Phonological Assumptions,,,,,,,467--488,,,,,,,,,,,,,,,,,,,,false,,wheeler_dw,,,1:linguistics;2:categorial_grammar
179489,article,wheeler_gr-barahona:2012,,,2012,,Why the Hardest Logic Puzzle Ever Cannot Be Solved in Less than Three Questions,Why the Hardest Logic Puzzle Ever Cannot Be Solved in Less than Three Questions,,,,journal-of-philosophical-logic,41,2,493--503,,,,,,,,,,,,,,,,,,,,false,,wheeler_gr;barahona_p,,,1:logic
179490,incollection,wheeler_gr-scheines:2011,,,2011,,"Causation, Association and Confirmation","Causation, Association and Confirmation",,,,,,,37--52,,,,,,,,,,,,,,,,,,,,false,,wheeler_gr;scheines_r,,,1:science;2:confirmation
179491,article,wheeler_gr-scheines:2013,,,2013,,Coherence and Confirmation through Causation,Coherence and Confirmation through Causation,,,,mind,122,485,135--170,,,,,,,,,,,,,,,,,,,,false,,wheeler_gr;scheines_r,,,1:causation
179492,incollection,wheeler_gr-williamson:2011,,,2011,,Evidential Probability and Objective Bayesian Epistemology,Evidential Probability and Objective Bayesian Epistemology,,,,,,,307--332,,,,,,,,,,,,,,,,,,,,false,,wheeler_gr;williamson_jon,,,1:probability
179493,article,wheeler_gr:2005,,,2005,,On the Structure of Rational Acceptance: Comments on Hawthorne and Bovens,On the Structure of Rational Acceptance: Comments on Hawthorne and Bovens,,,,synthese,144,2,287--304,,,,,,,,,,,,,,,,,,,,false,,wheeler_gr,,,1:belief;2:acceptance
179494,article,wheeler_gr:2012,,,2012,,Introduction,Introduction,,,,synthese,186,2,443--446,,,,,,,,,,,,,,,,,,,,false,,wheeler_gr,,,
179495,incollection,wheeler_gr:2012a,,,2012,,Formal Epistemology,Formal Epistemology,,,,,,,227--247,,,,,,,,,Reprinted in \citet[259--282]{cullison:2014},Reprinted in Cullison (2014),,,,,,,,,,false,,wheeler_gr,,,1:epistemology;2:epistemic_logic
179496,article,wheeler_gr:2013,,,2013,,"Models, Models, and Models","Models, Models, and Models",,,,metaphilosophy,44,3,293--300,,,,,,,,,,,,,,,,,,,,false,,wheeler_gr,,,1:explanation
179497,incollection,wheeler_gr:2014,,,2014,,Character Matching and the Locke Pocket of Belief,Character Matching and the Locke Pocket of Belief,,,,,,,187--196,,,,,,,,,,,,,,,,,,,,false,,wheeler_gr,,,2:character
179498,incollection,wheeler_gr:2017,,,2017,,Machine Epistemology and Big Data,Machine Epistemology and Big Data,,,,,,,321--329,,,,,,,,,,,,,,,,,,,,false,,wheeler_gr,,,1:social_sciences
179499,incollection,wheeler_gr:2021,,,2021,,"Less is More for Bayesians, Too","Less is More for Bayesians, Too",,,,,,,471--483,,,,,,,,,,,,,,,,,,,,false,,wheeler_gr,,,1:rationality;2:limited_rationality
179500,book,wheeler_ja-zurek:1983,,,1983,,Quantum Theory and Measurement,Quantum Theory and Measurement,Quantum Theory and Measurement,Quantum Theory and Measurement,,,,,,,,"Princeton, New Jersey",,,princeton-university-press,,,,,,,,,,,,,,false,,,wheeler_ja;zurek,,1:quantum_mechanics
179501,incollection,wheeler_ja:1966,,,1966,,Model for Gravitational Instability,Model for Gravitational Instability,,,,,,,456--467,,,,,,,,,,,,,,,,,,,,false,,wheeler_ja,,,
179502,incollection,wheeler_ja:1968,,,1968,,Superspace and the Nature of Quantum Geometrodynamics,Superspace and the Nature of Quantum Geometrodynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,wheeler_ja,,,1:quantum_mechanics
179503,incollection,wheeler_ja:1973,,,1973,,From Relativity to Mutability,From Relativity to Mutability,,,,,,,202--250,,,,,,,,,,,,,,,,,,,,false,,wheeler_ja,,,
179504,incollection,wheeler_ja:1974,,,1974,,From Mendel{\'e}ev's Atom to the Collapsing Star,From Mendeléev's Atom to the Collapsing Star,,,,,,,257--304,,,,,,,,,,,,,,,,,,,,false,,wheeler_ja,,,1:space_spacetime;2:cosmology
179505,incollection,wheeler_ja:1977,,,1977,,Genesis and Observership,Genesis and Observership,,,,,,,3--34,,,,,,,,,,,,,,,,,,,,false,,wheeler_ja,,,1:science;2:experimentation
179506,incollection,wheeler_ja:1988,,,1988,,World as a System Self-Synthesized by Quantum Networking,World as a System Self-Synthesized by Quantum Networking,,,,,,,103--130,,,,,,,,,,,,,,,,,,,,false,,wheeler_ja,,,1:quantum_mechanics
179507,incollection,wheeler_ja:1990,,,1990,,"Information, Physics, Quantum: The Search for Links","Information, Physics, Quantum: The Search for Links",,,,,,,3--28,,,,,,,,,,,,,,,,,,,,false,,wheeler_ja,,,1:quantum_mechanics
179508,incollection,wheeler_ja:1994,,,1994,,Time Today,Time Today,,,,,,,1--29,,,,,,,,,,,,,,,,,,,,false,,wheeler_ja,,,1:time;2:direction_of_time
179509,incollection,wheeler_m-atkinson:2001,,,2001,,"Domains, Brains and Evolution","Domains, Brains and Evolution",,,,,,,239--266,,,,,,,,,,,,,,,,,,,,false,,wheeler_m;atkinson_ap,,,1:animals;2:animal_cognition
179510,incollection,wheeler_m-dipaolo:2015,,,2015,,Existentialism and Cognitive Science,Existentialism and Cognitive Science,,,,,,,241--259,,,,,,,,,,,,,,,,,,,,false,,wheeler_m;dipaolo_e,,,1:psychology;2:cognitive_science
179511,incollection,wheeler_m:2003,,,2003,,Do Genes Code for Traits?,Do Genes Code for Traits?,,,,,,,151--164,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,1:biology;2:genetics
179512,incollection,wheeler_m:2005,,,2005,,Under Darwin's Cosh? Neo-Aristotelian Thinking in Environmental Ethics,Under Darwin's Cosh? Neo-Aristotelian Thinking in Environmental Ethics,,,,,,,22--23,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,1:biology
179513,incollection,wheeler_m:2007,,,2007,,A US Political Perspective,A US Political Perspective,,,,,,,277--285,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,1:social_philosophy;2:war;3:just_war
179514,incollection,wheeler_m:2007a,,,2007,,"Traits, Genes, and Coding","Traits, Genes, and Coding",,,,,,,369--401,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,1:biology;2:genetics
179515,incollection,wheeler_m:2009,,,2009,,"Ruskin, John","Ruskin, John",,,,,,,508--510,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,1:history_of_philosophy
179516,incollection,wheeler_m:2009a,,,2009,,Evolutionary Models in Psychology,Evolutionary Models in Psychology,,,,,,,416--429,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,1:psychology
179517,article,wheeler_m:2011,,,2011,,In Search of Clarity about Parity [on \citet{clark_an:2008}],In Search of Clarity about Parity [on Clark (2008)],,,,philosophical-studies,152,3,417--425,,,,,,,,,,,,,,,,,10.1007/s11098-010-9601-5,,,false,,wheeler_m,,,2:cognition;3:extended_mind
179518,incollection,wheeler_m:2011b,,,2011,,Embodied Cognition and the Extended Mind,Embodied Cognition and the Extended Mind,,,,,,,220--238,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,2:cognition;3:extended_mind
179519,incollection,wheeler_m:2013,,,2013,,"Science Friction: Phenomenology, Naturalism and Cognitive Science","Science Friction: Phenomenology, Naturalism and Cognitive Science",,,,,,,135--167,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,1:metaphysics;2:phenomenology
179520,incollection,wheeler_m:2013a,,,2013,,Is Cognition Embedded or Extended? The Case of Gestures,Is Cognition Embedded or Extended? The Case of Gestures,,,,,,,269--302,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,1:perception;2:touch
179521,incollection,wheeler_m:2014,,,2014,,"Revolution, Reform, or Business as Usual? The Future Prospects for Embodied Cognition","Revolution, Reform, or Business as Usual? The Future Prospects for Embodied Cognition",,,,,,,374--383,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,2:cognition;3:embodied_cognition
179522,incollection,wheeler_m:2019,,,2019,,Breaking the Waves: Beyond Parity and Complementarity in the Arguments for Extended Cognition,Breaking the Waves: Beyond Parity and Complementarity in the Arguments for Extended Cognition,,,,,,,81--98,,,,,,,,,,,,,,,,,,,,false,,wheeler_m,,,2:cognition;3:extended_mind
179523,article,wheeler_mr:1999,,,1999,,In Defense of a Deviation of `Ought' From `Is',In Defense of a Deviation of ‘Ought' From ‘Is',,,,indian-philosophical-quarterly,26,3,344--354,,,,,,,,,,,,,,,,,,,,false,,wheeler_mr,,,2:ought;3:is_ought
179524,article,wheeler_mr:1999a,,,1999,,Semantics in Aristotle's Organon,Semantics in Aristotle's Organon,,,,journal-of-the-history-of-philosophy,37,2,191--226,,,,,,,,,,,,,,,,,,,,false,,wheeler_mr,,,1:semantics
179525,article,wheeler_mr:2004,,,2004,,Review of \citet{charles_d:2000},Review of Charles (2000),,,,ancient-philosophy,24,2,487--491,,,,,,,,,,,,,,,,,,,,false,,wheeler_mr,,,2:essence
179526,article,wheeler_mr:2011,,,2011,,A Deflationary Reading of Aristotle's Definitions of Truth and Falsehood at \emph{Metaphysics} 1011b26--7,A Deflationary Reading of Aristotle's Definitions of Truth and Falsehood at Metaphysics 1011b26–7,,,,apeiron,44,1,67--90,,,,,,,,,,,,,,,,,,,,false,,wheeler_mr,,,1:truth;2:correspondence_theory_of_truth
179527,incollection,wheeler_rm:2007,,,2007,,Edwards as Missionary,Edwards as Missionary,,,,,,,196--216,,,,,,,,,,,,,,,,,,,,false,,wheeler_rm,,,1:religion
179528,incollection,wheeler_wm:1927,,,1927,,Emergent Evolution of the Social,Emergent Evolution of the Social,,,,,,,33--46,,,,,,,,,,,,,,,,,,,,false,,wheeler_wm,,,1:ontology;2:social_ontology
179529,incollection,wheelwright_p:1967,,,1967,,Buber's Philosophical Anthropology,Buber's Philosophical Anthropology,,,,,,,69--96,,,,,,,,,,,,,,,,,,,,false,,wheelwright_p,,,1:social_sciences;2:anthropology
179530,incollection,whelan_fg:1980,,,1980,,Property as Artifice: Hume and Blackstone,Property as Artifice: Hume and Blackstone,,,,,,,101--129,,,,,,,,,,,,,,,,,,,,false,,whelan_fg,,,1:economics;2:property
179531,incollection,whelan_fg:1983,,,1983,,Prologue: Democratic Theory and the Boundary Problem,Prologue: Democratic Theory and the Boundary Problem,,,,,,,13--47,,,,,,,,,,,,,,,,,,,,false,,whelan_fg,,,1:political_philosophy;2:democracy
179532,incollection,whelan_fg:1983a,,,1983,,Marx and Revolutionary Virtue,Marx and Revolutionary Virtue,,,,,,,54--75,,,,,,,,,,,,,,,,,,,,false,,whelan_fg,,,1:political_philosophy;2:marxism
179533,book,whelan_fg:2014,,,2014,,Political Thought of Hume and His Contemporaries.~Enlightenment Projects Vol.~1,Political Thought of Hume and His Contemporaries. Enlightenment Projects Vol. 1,,,,,,,,,,London,,,routledge,,,,,,,,,,,,,,false,,whelan_fg,,,1:political_philosophy
