id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
184276,incollection,xia_x-wu:1996,,,1996,,Parsing Chinese with Almost-Context-Free Grammar,Parsing Chinese with Almost-Context-Free Grammar,,,,,,,13--22,,,,,,,,,,,,,,,,,,,,false,,xia_x;wu_d,,,1:linguistics;2:parsing;3:parsing_algorithms
184277,article,xia_y-etal:1997,,,1997,,An Event Driven Integration Reasoning Scheme for Handling Dynamic Threats in an Unstructured Environment,An Event Driven Integration Reasoning Scheme for Handling Dynamic Threats in an Unstructured Environment,,,,artificial-intelligence,95,1,169--186,,,,,,,,,,,,,,,,,,,,false,,xia_y;iyengar_ss;brenner_ne,,,1:action;2:planning
184278,incollection,xia_y-etal:2000,,,2000,,A Uniform Method of Grammar Extraction and Its Applications,A Uniform Method of Grammar Extraction and Its Applications,,,,,,,53--62,,,,,,,,,,,,,,,,,,,,false,,xia_y;palmer_ms;joshi_ak,,,1:linguistics;2:corpus_linguistics
184279,incollection,xian_z:1995,,,1995,,Husserl's Intentionality and the ``Mind'' in Chinese Philosophy,Husserl's Intentionality and the “Mind” in Chinese Philosophy,,,,,,,69--84,,,,,,,,,,,,,,,,,,,,false,,xian_z,,,2:intentionality
184280,article,xiang_y:1996,,,1996,,A Probabilistic Framework for Cooperative Multi-Agent Distributed Interpretation and Optimization of Communication,A Probabilistic Framework for Cooperative Multi-Agent Distributed Interpretation and Optimization of Communication,,,,artificial-intelligence,87,1/2,295--342,,,,,,,,,,,,,,,,,,,,false,,xiang_y,,,1:decision_theory;2:bayesian_networks
184281,incollection,xiang_yu:2018,,,2018,,Business Ethics in China,Business Ethics in China,,,,,,,593--605,,,,,,,,,,,,,,,,,,,,false,,xiang_yu,,,1:ethics;2:business_ethics
184282,article,xiao_e-bicchieri:2012,,,2012,,Words or Deeds? Choosing What to Know about Others,Words or Deeds? Choosing What to Know about Others,,,,synthese,187,1,49--63,,,,,,,,,,,,,,,,,,,,false,,xiao_e;bicchieri,,,1:epistemology
184283,incollection,xiao_y:2015,,,2015,,Virtue Ethics as Political Philosophy: The Structure of Ethical Theory in Early Chinese Philosophy,Virtue Ethics as Political Philosophy: The Structure of Ethical Theory in Early Chinese Philosophy,,,,,,,471--490,,,,,,,,,,,,,,,,,,,,false,,xiao_y,,,1:ethics;2:virtue_ethics
184284,incollection,xiaofeng:2022,,,2022,,How to Read Plato with Nietzschean Insights,How to Read Plato with Nietzschean Insights,,,,,,,39--52,,,,,,,,,,,,,,,,,,,,false,,xiaofeng,,,
184285,incollection,xiaoping:2018,,,2018,,Lenin's NEP and Deng Xiaoping's Economic Reform,Lenin's NEP and Deng Xiaoping's Economic Reform,,,,,,,531--548,,,,,,,,,,,,,,,,,,,,false,,xiaoping,,,1:political_philosophy;2:marxism
184286,book,xiaoping:2022,,,2022,,Karl Marx on Socialist Theory and Practice,Karl Marx on Socialist Theory and Practice,,,,,,,,,,Berlin,,,springer,,,,,,,,,,,10.1007/978-3-031-09210-7,,,false,,xiaoping,,,
184287,article,xie_ss:2009,,,2009,,What is Kant: A Compatibilist Or An Incompatibilist?,What is Kant: A Compatibilist Or An Incompatibilist?,,,,kant-studien,100,1,53--76,,,,,,,,,,,,,,,,,,,,false,,xie_ss,,,1:determinism
184288,incollection,xie_z:2011,,,2011,,Degree Possession Is a Subset Relation (As Well),Degree Possession Is a Subset Relation (As Well),,,,,,,661--676,,,,,,,,,,,,,,,,,,,,false,,xie_z,,,1:linguistics
184289,article,xifaras:2003,,,2003,,La destination politique de la propri{\'e}t{\'e} chez Jean-Jacques Rousseau,La destination politique de la propriété chez Jean-Jacques Rousseau,,,,les-etudes-philosophiques,57,3,331--370,,,,,,,,,,,,,,,,,,,french,false,,xifaras,,,1:economics;2:property
184290,book,xifaras:2004,,,2004,,La propri{\'e}t{\'e} : {\'e}tude de la philosophie du droit,La propriété : étude de la philosophie du droit,,,,,,,,,fondements_de_la_politique,Paris,,,presses-universitaires-de-france,,,,,,,,,,,,,french,false,,xifaras,,,1:economics;2:property
184291,book,xin_l:2019,,,2019,,"Sein, Logos und Ver{\""a}nderung.~Eine systematische Untersuchung zu Aristoteles' Metaphysik","Sein, Logos und Veränderung. Eine systematische Untersuchung zu Aristoteles' Metaphysik",,,,,,139,,,quellen_und_studien_zur_philosophie,Berlin,,,de-gruyter,,,,,,,,,,,,,ngerman,false,,xin_l,,,1:time;2:change
184292,incollection,xiong-etal:1992,,,1992,,Intelligent Backtracking Techniques for Job Shop Scheduling,Intelligent Backtracking Techniques for Job Shop Scheduling,,,,,,,14--23,,,,,,,,,,,,,,,,,,,,false,,xiong;sadeh;sycara,,,1:information;2:knowledge_representation
184293,incollection,xiropaidis:2006,,,2006,,Negative Presentation: The Role of the Imagination in the Mathematically and the Dynamically Sublime,Negative Presentation: The Role of the Imagination in the Mathematically and the Dynamically Sublime,,,,,,,164--194,,,,,,,,,,,,,,,,,,,,false,,xiropaidis,,,2:imagination
