id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,volume_numeric,number,number_numeric,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
184711,article,ylikoski-kuorikoski:2010,,,2010,,Dissecting Explanatory Power,Dissecting Explanatory Power,,,,philosophical-studies,148,148,2,2,201--219,201,,,,,,,,,,,,,,,,,10.1007/s11098-008-9324-z,,english,false,,,ylikoski;kuorikoski,,,1:explanation
184712,incollection,ylikoski:2007,,,2007,,The Idea of Contrastive Explanandum,The Idea of Contrastive Explanandum,,,,,,,,,27--42,27,,,,,,,,,,,,,,,,,,,english,false,,,ylikoski,,,1:explanation
184713,incollection,ylikoski:2012,,,2012,,"Micro, Macro, and Mechanisms","Micro, Macro, and Mechanisms",,,,,,,,,21--45,21,,,,,,,,,,,,,,,,,,,english,false,,,ylikoski,,,1:explanation;2:explanation_in_economics
184714,article,ylikoski:2013,,,2013,,Causal and Constitutive Explanation Compared,Causal and Constitutive Explanation Compared,,,,erkenntnis,78,78,"suppl., 2",2,277--297,277,,,,,,,,,,,,,,,,,,,english,false,,,ylikoski,,,1:explanation;2:explanation_in_science
184715,incollection,ylikoski:2014,,,2014,,Rethinking Micro-Macro Relations,Rethinking Micro-Macro Relations,,,,,,,,,117--138,117,,,,,,,,,,,,,,,,,,,english,false,,,ylikoski,,,1:social_sciences
184716,incollection,ylikoski:2017,,,2017,,Social Mechanisms,Social Mechanisms,,,,,,,,,401--412,401,,,,,,,,,,,,,,,,,,,english,false,,,ylikoski,,,1:social_philosophy
184717,incollection,ylikoski:2017a,,,2017,,Methodological Individualism,Methodological Individualism,,,,,,,,,135--146,135,,,,,,,,,,,,,,,,,,,english,false,,,ylikoski,,,1:method;2:methodological_individualism
184718,incollection,yliraudanjoki:2008,,,2008,,Merleau-Ponty's in Northern Feminist Education Context,Merleau-Ponty's in Northern Feminist Education Context,,,,,,,,,291--310,291,,,,,,,,,,,,,,,,,,,english,false,,,yliraudanjoki,,,1:science;2:pseudo_science
184719,book,ylivakkuri-hawthorne:2018,,,2018,,Narrow Content,Narrow Content,,,,,,,,,,,,,Oxford,,,oxford-university-press,,,,,,,,,,,10.1093/oso/9780198785965.001.0001,,english,false,,,ylivakkuri;hawthorne_jo,,,1:representation;2:content;3:narrow_content
184720,book,ylivakkuri-mccullagh:2019,,,2019,,Williamson on Modality,Williamson on Modality,Williamson on Modality,Williamson on Modality,,,,,,,,,,,London,,,routledge,,,,,,,,,,,10.4324/9781315184074,,english,false,,,,ylivakkuri;mccullagh_m,,1:modality;2:necessitarianism_about_existence
184721,article,ylivakkuri:2010,,,2010,,Conditional and Habitual Analyses of Disposition Ascriptions,Conditional and Habitual Analyses of Disposition Ascriptions,,,,the-philosophical-quarterly,60,60,240,240,624--630,624,,,,,,,,,,,,,,,,,,,english,false,,,ylivakkuri,,,1:properties;2:dispositions
184722,article,ylivakkuri:2013,,,2013,,Modal Skepticism and Counterfactual Knowledge,Modal Skepticism and Counterfactual Knowledge,,,,philosophical-studies,162,162,3,3,605--623,605,,,,,,,,,,,,,,,,,10.1007/s11098-011-9784-4,,english,false,,,ylivakkuri,,,1:modality;2:grounding_of_modality
184723,incollection,ylivakkuri:2013a,,,2013,,Propositions and Compositionality,Propositions and Compositionality,,,,,,,,,526--563,526,,,,,,,,,,,,,,,,,,,english,false,,,ylivakkuri,,,1:language
184724,article,ylivakkuri:2016,,,2016,,Epistemicism and Modality,Epistemicism and Modality,,,,canadian-journal-of-philosophy,46,46,4/5,4,803--835,803,,,,,,,,,Reprinted in \citet{ylivakkuri-mccullagh:2019},Reprinted in Yli-Vakkuri and McCullagh (2019),,,,,,,,,english,false,,,ylivakkuri,,,1:vagueness;2:epistemicism
184725,article,ylivakkuri:2018,,,2018,,Semantic Externalism without Thought Experiments,Semantic Externalism without Thought Experiments,,,,analysis,78,78,1,1,81--90,81,,,,,,,,,,,,,,,,,,,english,false,,,ylivakkuri,,,1:representation;2:content_determination;3:content_externalism
