id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
184727,book,yoder:1988,,,1988,,Unrolling Time: Christiaan Huygens and the Mathematization of Nature,Unrolling Time: Christiaan Huygens and the Mathematization of Nature,,,,,,,,,,Cambridge,,,cambridge-university-press,,,,,,,,,,,,,,false,,yoder,,,1:time
184728,incollection,yoeli-brzozowski:1977,,,1977,,Ternary Simulation of Binary Gate Networks,Ternary Simulation of Binary Gate Networks,,,,,,,41--52,,,,,,,,,,,,,,,,,,,,false,,yoeli;brzozowski,,,1:logic;2:many_valued_logic
184729,article,yoes:1967,,,1967,,Nominalism and Non-Atomic Systems,Nominalism and Non-Atomic Systems,,,,nous,1,2,193--200,,,,,,,,,,,,,,,,,,,,false,,yoes,,,1:complexity;2:mereology
184730,article,yoes:1974,,,1974,,Intensional Logic and Ordinary Logic,Intensional Logic and Ordinary Logic,,,,nous,8,2,165--177,,,,,,,,,,,,,,,,,,,,false,,yoes,,,1:logic;2:intensional_logic
184731,article,yokoo-etal:2001,,,2001,,Robust Combinatorial Auction Protocol against False-Name Bids,Robust Combinatorial Auction Protocol against False-Name Bids,,,,artificial-intelligence,130,2,167--181,,,,,,,,,,,,,,,,,,,,false,,yokoo_m;sakurai;matsubara_s,,,1:ai
184732,article,yolton:1955,,,1955,,Locke and the Seventeenth-Century Logic of Ideas,Locke and the Seventeenth-Century Logic of Ideas,,,,journal-of-the-history-of-ideas,16,4,431--452,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:representation;2:ideas
184733,incollection,yolton:1959,,,1959,,Broad's Views on the Nature and Existence of External Objects,Broad's Views on the Nature and Existence of External Objects,,,,,,,511--535,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:skepticism;2:external_world_skepticism
184734,article,yolton:1960,,,1960,,Sense-Data and Cartesian Doubt,Sense-Data and Cartesian Doubt,,,,philosophical-studies,11,1/2,25--30,,,,,,,,,,,,,,,,,10.1007/bf00420899,,,false,,yolton,,,1:skepticism
184735,article,yolton:1961,,,1961,,Conceptual Analysis,Conceptual Analysis,,,,kant-studien,52,4,467--484,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:method;2:conceptual_analysis
184736,article,yolton:1963,,,1963,,The Concept of Experience in Locke and Hume,The Concept of Experience in Locke and Hume,,,,journal-of-the-history-of-philosophy,1,1,53--71,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:perception;2:experience
184737,incollection,yolton:1969,,,1969,,Perceptual Consciousness,Perceptual Consciousness,,,,,,,34--50,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:perception
184738,article,yolton:1971,,,1971,,"Philosophy of Science from Descartes to Kant, Review of \citet{buchdahl:1969}","Philosophy of Science from Descartes to Kant, Review of Buchdahl (1969)",,,,history-of-science,10,,102--113,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:science
184739,article,yolton:1974,,,1974,,Comments on Professor Schouls' Paper [\citet{schouls:1974}],Comments on Professor Schouls' Paper [Schouls (1974)],,,,canadian-journal-of-philosophy,4,,611--615,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:method
184740,article,yolton:1975,,,1975,,Ideas and Knowledge in Seventeenth-Century Philosophy,Ideas and Knowledge in Seventeenth-Century Philosophy,,,,journal-of-the-history-of-philosophy,13,2,145--165,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:representation;2:ideas
184741,article,yolton:1975a,,,1975,,On Being Present to the Mind: A Sketch for the History of an Idea,On Being Present to the Mind: A Sketch for the History of an Idea,,,,dialogue-revue-canadienne-de-philosophie-canadian-philosophical-review,14,,373--388,,,,,,,,,,,,,,,,,,,,false,,yolton,,,
184742,incollection,yolton:1979,,,1979,,How is Knowledge of the World Possible?,How is Knowledge of the World Possible?,,,,,,,175--185,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:knowledge
184743,article,yolton:1980,,,1980,,Hume's Ideas,Hume's Ideas,,,,hume-studies,6,1,1--25,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:representation;2:ideas
184744,article,yolton:1981,,,1981,,Perceptual Cognition with Descartes,Perceptual Cognition with Descartes,,,,studia-cartesiana,2,,63--83,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:perception
184745,article,yolton:1981a,,,1981,,Review of \citet{rorty_r:1979},Review of Rorty (1979),,,,philosophical-books,22,3,129--134,,,,,,,,,,,,,,,,,,,,false,,yolton,,,1:metaphilosophy;2:non_factualism;3:postmodernism
184746,book,yolton:1983,,,1983,,Thinking Matter: Materialism in Eighteenth-Century Britain,Thinking Matter: Materialism in Eighteenth-Century Britain,,,,,,,,,,"Minneapolis, Minnesota",,,university-of-minnesota-press,,,,,,,,,,,,,,false,,yolton,,,1:mind_body
184747,book,yolton:1984,,,1984,,Perceptual Acquaintance from Descartes to Reid,Perceptual Acquaintance from Descartes to Reid,,,,,,,,,,"Minneapolis, Minnesota",,,university-of-minnesota-press,,,,,,,,,,,,,,false,,yolton,,,1:perception;2:acquaintance
