id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,author_keys,editor_keys,guesteditor_keys,keyword_keys
185812,incollection,zhai_z:1990,,,1990,,The Problem of Protocol Statements and Schlick's Concept of ``Konstatierungen'',The Problem of Protocol Statements and Schlick's Concept of “Konstatierungen”,,,,,,,15--23,,,,,,,,,,,,,,,,,,,,false,,zhai_z,,,1:representation;2:meaningfulness;3:empirical_content
185813,book,zhai_z:1995,,,1995,,The Radical Choice and Moral Theory.~Through Communicative Argumentation to Phenomenological Subjectivity,The Radical Choice and Moral Theory. Through Communicative Argumentation to Phenomenological Subjectivity,,,,,,45,,,analecta_husserliana,Dordrecht,,,kluwer-academic-publishers,,,,,,,,,,,,,,false,,zhai_z,,,1:metaphysics;2:perspectivalism;3:subjectivity
185814,article,zhang_ch:1992,,,1992,,Cooperation under Uncertainty in Distributed Expert Systems,Cooperation under Uncertainty in Distributed Expert Systems,,,,artificial-intelligence,56,1,21--69,,,,,,,,,,,,,,,,,,,,false,,zhang_ch,,,1:ai;2:machine_reasoning;3:expert_systems
185815,article,zhang_d-foo:2001,,,2001,,Infinitary Belief Revision,Infinitary Belief Revision,,,,journal-of-philosophical-logic,30,6,525--570,,,,,,,,,,,,,,,,,,,,false,,zhang_d;foo,,,1:rationality;2:belief_revision
185816,book,zhang_gq:1991,,,1991,,Logic of Domains,Logic of Domains,,,,,,,,,,"Boston, Massachusetts",,,birkhauser,,,,,,,,,,,,,,false,,zhang_gq,,,1:logic;2:model_theory;3:domain_theory
185817,techreport,zhang_h-stickel:1994,,,1994,,Implementing the Davis-Putnam Algorithm by Tries,Implementing the Davis-Putnam Algorithm by Tries,,,,,,,,,,"Iowa City, Iowa",department_of_computer_science_university_of_iowa,,,,,,,,,,,,,,,,false,,zhang_h;stickel,,,1:computation
185818,article,zhang_j-norman:1994,,,1994,,Representations in Distributed Cognitive Tasks,Representations in Distributed Cognitive Tasks,,,,cognitive-science,18,,87--122,,,,,,,,,,,,,,,,,,,,false,,zhang_j;norman_da,,,1:representation
185819,article,zhang_ji-spirtes:2011,,,2011,,"Intervention, Determinism, and the Causal Minimality Condition","Intervention, Determinism, and the Causal Minimality Condition",,,,synthese,182,3,335--347,,,,,,,,,,,,,,,,,,,,false,,zhang_ji;spirtes,,,1:causation
185820,article,zhang_ji-spirtes:2016,,,2016,,The Three Faces of Faithfulness,The Three Faces of Faithfulness,,,,synthese,193,4,1011--1027,,,,,,,,,,,,,,,,,,,,false,,zhang_ji;spirtes,,,1:political_philosophy;2:marriage;3:monogamy
185821,article,zhang_ji:2009,,,2009,,Underdetermination in Causal Inference,Underdetermination in Causal Inference,,,,studies-in-logic,2,4,16--47,,,,,,,,,,,,,,,,,,,,false,,zhang_ji,,,
185822,article,zhang_ji:2013,,,2013,,Can the Incompatibilist Get Past the No Past Objection?,Can the Incompatibilist Get Past the No Past Objection?,,,,dialectica,67,3,345--352,,,,,,,,,,,,,,,,,10.1111/1746-8361.12024,,,false,,zhang_ji,,,
185823,article,zhang_l-horsten:2023,,,2023,,The Minimalist Theory of Truth and the Generalisation Problem,The Minimalist Theory of Truth and the Generalisation Problem,,,,dialectica,77,1,23--43,,,,,,,,,,,,,,,,,10.48106/dial.v77.i1.02,,,false,,zhang_l;horsten,,,1:truth;2:minimalism_about_truth
185824,article,zhang_li:2017,,,2017,,On the Justification Problems: Towards a Peircean Diagnosis and Solution,On the Justification Problems: Towards a Peircean Diagnosis and Solution,,,,history-and-philosophy-of-logic,38,3,222--238,,,,,,,,,,,,,,,,,,,,false,,zhang_li,,,1:epistemology;2:justification
185825,incollection,zhang_nl-poole:1992,,,1992,,Stepwise-Decomposable Influence Diagrams,Stepwise-Decomposable Influence Diagrams,,,,,,,141--152,,,,,,,,,,,,,,,,,,,,false,,zhang_nl;poole_dl,,,1:probability
185826,article,zhang_nl:1996,,,1996,,Irrelevance and Parameter Learning in Bayesian Networks,Irrelevance and Parameter Learning in Bayesian Networks,,,,artificial-intelligence,88,1/2,359--373,,,,,,,,,,,,,,,,,,,,false,,zhang_nl,,,1:decision_theory;2:bayesian_networks
