id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
185888,book,ziade_p:2015,,,2015,,G{\'e}n{\'e}alogie de la mondialisation.~Analyse de la crise identitaire actuelle,Généalogie de la mondialisation. Analyse de la crise identitaire actuelle,,,,,,,,,,ouverture_philosophique,Paris,,,l-harmattan,,,,,,,,,,,,,french,false,,,ziade_p,,,1:political_philosophy;2:international_relations;3:cosmopolitanism
185889,incollection,ziai:2001,,,2001,,"\emph{N{\={u}}r alFu'{\={a}}d}, a Nineteenth-Century Persian Text in Illluminationist Philosophy by Shih{\={a}}b al-D{\={i}}n Kum{\={i}}j{\={a}}n{\={i}}","Nūr alFu'ād, a Nineteenth-Century Persian Text in Illluminationist Philosophy by Shihāb al-Dīn Kumījānī",,,,,,,763--774,763,,,,,,,,,,,,,,,,,,,english,false,,,ziai,,,1:history_of_philosophy
185890,incollection,ziai:2005,,,2005,,Recent Trends in Arabic and Persian Philosophy,Recent Trends in Arabic and Persian Philosophy,,,,,,,405--425,405,,,,,,,,,,,,,,,,,,,english,false,,,ziai,,,1:history_of_philosophy
185891,incollection,ziai:2008,,,2008,,Islamic Philosophy \emph{(falsafa)},Islamic Philosophy (falsafa),,,,,,,55--76,55,,,,,,,,,,,,,,,,,,,english,false,,,ziai,,,1:religion;2:islam
185892,incollection,ziarek_ep:1999,,,1999,,"At the Limits of Discourse: Heterogeneity, Alterity, and the Maternal Body in Kristeva's Thought","At the Limits of Discourse: Heterogeneity, Alterity, and the Maternal Body in Kristeva's Thought",,,,,,,323--346,323,,,,,,,,,,,,,,,,,,,english,false,,,ziarek_ep,,,1:political_philosophy;2:feminism
185893,book,ziarek_ep:2012,,,2012,,Feminist Aesthetics and the Politics of Modernism,Feminist Aesthetics and the Politics of Modernism,,,,,,,,,,,New York,,,columbia-university-press,,,,,,,,,,,10.7312/columbia/9780231161497.001.0001,,english,false,,,ziarek_ep,,,1:aesthetics
185894,incollection,ziarek_ep:2017,,,2017,,Aesthetics and the Politics of Gender: On Arendt's Theory of Narrative and Action,Aesthetics and the Politics of Gender: On Arendt's Theory of Narrative and Action,,,,,,,474--484,474,,,,,,,,,,,,,,,,,,,english,false,,,ziarek_ep,,,1:persons;2:gender
185895,article,zibakalam:1993,,,1993,,Emergence of a Radical Sociology of Scientific Knowledge: The Strong Programme in the Early Writings of Barry Barnes,Emergence of a Radical Sociology of Scientific Knowledge: The Strong Programme in the Early Writings of Barry Barnes,,,,dialectica,47,1,3--26,3,,,,,,,,,,,,,,,,,10.1111/j.1746-8361.1993.tb00093.x,,english,false,,,zibakalam,,,1:science;2:sociology_of_science
185896,incollection,zibetti-etal:2001,,,2001,,Contextual Categorization: A Mechanism Linking Perception and Knowledge in Modeling and Simulating Perceived Events as Actions,Contextual Categorization: A Mechanism Linking Perception and Knowledge in Modeling and Simulating Perceived Events as Actions,,,,,,,395--408,395,,,,,,,,,,,,,,,,,,,english,false,,,zibetti;quera_v;salvadorbeltran;tijus,,,1:pragmatics;2:context
185897,incollection,zibetti-tijus:2003,,,2003,,Perceiving Action from Static Images: the Role of Spatial Context,Perceiving Action from Static Images: the Role of Spatial Context,,,,,,,397--410,397,,,,,,,,,,,,,,,,,,,english,false,,,zibetti;tijus,,,1:pragmatics;2:context
185898,article,zich:1956,,,1956,,Note sur la situation de la logique en Tch{\'e}coslovaquie,Note sur la situation de la logique en Tchécoslovaquie,,,,les-etudes-philosophiques,11,2,287--295,287,,,,,,,,,,,,,,,,,,,french,false,,,zich,,,1:logic;2:history_of_logic
185899,incollection,ziche_p-mueller:2013,,,2013,,Paul Oppenheim on Order -- The Career of a Logico-Philosophical Concept,Paul Oppenheim on Order – The Career of a Logico-Philosophical Concept,,,,,,,265--292,265,,,,,,,,,,,,,,,,,,,english,false,,,ziche_p;mueller_t,,,1:structuralism;2:order
185900,incollection,ziche_p:2010,,,2010,,"``H{\""o}herer'' Empirismus: Passive Wissenschaft, letzte Tatsachen und experimentelle Philosophie bei F.W.J.~Schelling","“Höherer” Empirismus: Passive Wissenschaft, letzte Tatsachen und experimentelle Philosophie bei F.W.J. Schelling",,,,,,,165--184,165,,,,,,,,,,,,,,,,,,,ngerman,false,,,ziche_p,,,1:history_of_philosophy
185901,incollection,ziche_p:2016,,,2016,,Theories of Order in Carnap's Aufbau,Theories of Order in Carnap's Aufbau,,,,,,,77--97,77,,,,,,,,,,,,,,,,,,,english,false,,,ziche_p,,,1:ontology;2:constructional_ontology;3:aufbau
185902,incollection,ziche_p:2019,,,2019,,Epistemic Confidence -- Kant's Rationalization of the Principles of Seeking and Finding,Epistemic Confidence – Kant's Rationalization of the Principles of Seeking and Finding,,,,,,,81--102,81,,,,,,,,,,,,,,,,,,,english,false,,,ziche_p,,,1:epistemology
185903,book,ziebart:2013,,,2013,,Nicolaus Cusanus on Faith and Intellect,Nicolaus Cusanus on Faith and Intellect,,,,,,225,,,,brill_s_studies_in_intellectual_history,Leiden,,,ej-brill,,,,,,,,,,,,,english,false,,,ziebart,,,1:history_of_philosophy
185904,article,ziedins:1971,,,1971,,Identification of Characteristics of Mental Events with Characteristics of Brain Events,Identification of Characteristics of Mental Events with Characteristics of Brain Events,,,,american-philosophical-quarterly,8,,13--23,13,,,,,,,,,,,,,,,,,,,english,false,,,ziedins,,,1:properties;2:property_identity
185905,incollection,ziege_em:2017,,,2017,,Elemente des Antisemitismus,Elemente des Antisemitismus,,,,,,,81--96,81,,,,,,,,,,,,,,,,,,,ngerman,false,,,ziege_em,,,1:political_philosophy;2:discrimination
185906,incollection,ziegel:2001,,,2001,,Questions about Polytopes,Questions about Polytopes,,,,,,,1195--1211,1195,,,,,,,,,,,,,,,,,,,english,false,,,ziegel,,,1:mathematics
185907,article,ziegler_a:2023,,,2023,,"Ich weiss nur, dass ich nichts weiss","Ich weiss nur, dass ich nichts weiss",,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2023-04-25-ziegler,ngerman,false,,https://creativecommons.org/licenses/by/3.0/,ziegler_a,,,
185908,incollection,ziegler_m:1978,,,1978,,Definable Bases of Monotone Systems,Definable Bases of Monotone Systems,,,,,,,297--311,297,,,,,,,,,,,,,,,,,,,english,false,,,ziegler_m,,,1:mathematics;2:algebra
185909,incollection,ziegler_m:1985,,,1985,,Topological Model Theory,Topological Model Theory,,,,,,,557--578,557,,,,,,,,,,,,,,,,,,,english,false,,,ziegler_m,,,1:logic;2:model_theory
185910,incollection,ziegler_pg:2015,,,2015,,"The Historical Jesus and Christology from David Friedrich Strauss to K{\""a}semann",The Historical Jesus and Christology from David Friedrich Strauss to Käsemann,,,,,,,328--346,328,,,,,,,,,,,,,,,,,,,english,false,,,ziegler_pg,,,1:religion;2:god;3:christology
185911,book,ziegler_pg:2022,,,2022,,The Edinburgh Critical History of Twentieth-Century Christian Theology,The Edinburgh Critical History of Twentieth-Century Christian Theology,The Edinburgh Critical History of Twentieth-Century Christian Theology,The Edinburgh Critical History of Twentieth-Century Christian Theology,,,,,,,,,Edinburgh,,,edinburgh-university-press,,,,,,,,,,,,,english,false,,,,ziegler_pg,,
185912,book,ziegler_u:2018,,,2018,,Die Bildung der Seele.~Platons Konzeption eines lebendigen Wissens,Die Bildung der Seele. Platons Konzeption eines lebendigen Wissens,,,,,,,,,,,Freiburg i.Br.,,,karl-alber,,,,,,,,,,,,,ngerman,false,,,ziegler_u,,,1:persons;2:soul
185913,book,ziehen:1917,,,1917,,"Das Verh{\""a}ltnis der Logik zur Mengenlehre",Das Verhältnis der Logik zur Mengenlehre,,,,,,16,,,,philosophische_vortr_a_ge_ver_o_ffentlicht_von_der_kantgesellschaft,Berlin,,,verlag-von-reuther-reichard,,,,,,,,,,,,,ngerman,false,,,ziehen,,,1:logic;2:higher_order_logic
185914,book,zielinska:2012,,,2012,,"M{\'e}ta{\'e}thique: Connaissance morale, scepticismes et r{\'e}alismes","Métaéthique: Connaissance morale, scepticismes et réalismes","M{\'e}ta{\'e}thique: Connaissance morale, scepticismes et r{\'e}alismes","Métaéthique: Connaissance morale, scepticismes et réalismes",,,,,,,,textes_cl_e_s,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,,zielinska,,1:ethics;2:metaethics
185915,book,zielinska:2013,,,2013,,Repenser les rapports entre sciences et philosophie,Repenser les rapports entre sciences et philosophie,Repenser les rapports entre sciences et philosophie,Repenser les rapports entre sciences et philosophie,,,,29,,,,recherches_sur_la_philosophie_et_le_langage,Paris,,,librairie-philosophique-jean-vrin,,,,,,,,,,,,,french,false,,,,zielinska,,1:science
185916,article,zielinski_a:2016,,,2016,,Ethique et relation de soin: pour nuancer l'asym{\'e}trie,Ethique et relation de soin: pour nuancer l'asymétrie,,,,philosophie-ch,,,,,,,,,,,,,,,,,,,,,,https://www.philosophie.ch/2016-11-07-zielinski,french,false,,https://creativecommons.org/licenses/by/3.0/,zielinski_a,,,
185917,incollection,zielonackalis:1994,,,1994,,The Cognitive Status of the Reconstruction of Mechanisms in Modern Organic Chemistry.~The Reconstruction of the Mechanism of the Acidic Hydrolysis of Nucleosides,The Cognitive Status of the Reconstruction of Mechanisms in Modern Organic Chemistry. The Reconstruction of the Mechanism of the Acidic Hydrolysis of Nucleosides,,,,,,,483--497,483,,,,,,,,,,,,,,,,,,,english,false,,,zielonackalis,,,1:chemistry
185918,article,zielonka:2000,,,2000,,Cut-Rule Axiomatization of the Syntactic Calculus {$NL_0$},Cut-Rule Axiomatization of the Syntactic Calculus NL_0,,,,journal-of-logic-language-and-information,9,3,339--352,339,,,,,,,,,,,,,,,,,,,english,false,,,zielonka,,,1:linguistics;2:categorial_grammar;3:lambek_calculus
185919,article,zielonka:2000a,,,2000,,Cut-Rule Axiomatization of the Syntactic Calculus {$L_0$},Cut-Rule Axiomatization of the Syntactic Calculus L_0,,,,journal-of-logic-language-and-information,9,2,233--236,233,,,,,,,,,,,,,,,,,,,english,false,,,zielonka,,,1:linguistics;2:categorial_grammar;3:lambek_calculus
185920,incollection,zielonka:2009,,,2009,,Weak Implicational Logics Related to the Lambek,Weak Implicational Logics Related to the Lambek,,,,,,,201--212,201,,,,,,,,,,,,,,,,,,,english,false,,,zielonka,,,1:logic
185921,incollection,ziemba:1977,,,1977,,"Rational Belief, Probability and the Justification of Inductive Inference","Rational Belief, Probability and the Justification of Inductive Inference",,,,,,,709,709,,,,,,,,,,,,,,,,,,,english,false,,,ziemba,,,1:method;2:induction
185922,article,ziembinski:1962,,,1962,,Le caract{\`e}re s{\'e}mantique des normes juridiques,Le caractère sémantique des normes juridiques,,,,logique-et-analyse,5,17/18,54--65,54,,,,,,,,,,,,,,,,,,,french,false,,,ziembinski,,,1:law;2:legal_logic
185923,article,ziembinski:1963,,,1963,,La v{\'e}rification des faits dans un proc{\`e}s judiciaire,La vérification des faits dans un procès judiciaire,,,,logique-et-analyse,6,21--24,385--396,385,,,,,,,,,,,,,,,,,,,french,false,,,ziembinski,,,1:law
