id,entry_type,bibkey,options,shorthand,date_year,pubstate,title_latex,title_unicode,booktitle_latex,booktitle_unicode,crossref,journal_key,volume,number,pages,start_page,eid,series_key,address,institution_key,school_key,publisher_key,type_field,edition,note_latex,note_unicode,issuetitle_latex,issuetitle_unicode,extra_note_latex,extra_note_unicode,urn,eprint,doi,url,langid,is_translation,epoch,license,author_keys,editor_keys,guesteditor_keys,keyword_keys
186287,article,zobrist_m:2008,,,2008,,"Kants Lehre vom h{\""o}chsten Gut und die Frage moralischer Motivation",Kants Lehre vom höchsten Gut und die Frage moralischer Motivation,,,,kant-studien,99,3,285--311,285,,,,,,,,,,,,,,,,,,,ngerman,false,,,zobrist_m,,,2:the_good
186288,book,zobrist_m:2011,,,2011,,"Subjekt und Subjektivit{\""a}t in Kants theoretischer Philosophie.~Eine Untersuchung zu den transzendentalphilosophischen Problemen des Selbstbewusstseins und Daseinsbewusstseins",Subjekt und Subjektivität in Kants theoretischer Philosophie. Eine Untersuchung zu den transzendentalphilosophischen Problemen des Selbstbewusstseins und Daseinsbewusstseins,,,,,,163,,,,kantstudien_erg_a_nzungshefte,Berlin,,,de-gruyter,,,,,,,,,,,,,ngerman,false,,,zobrist_m,,,1:metaphysics;2:perspectivalism;3:subjectivity
186289,incollection,zock-adorni:1996,,,1996,,Introduction,Introduction,,,,,,,1--16,1,,,,,,,,,,,,,,,,,,,english,false,,,zock;adorni,,,1:linguistics;2:linguistics_as_a_science;3:mathematical_linguistics
186290,book,zock-sabah:1988,,,1988,,Advances in Natural Language Generation: an Interdisciplinary Perspective,Advances in Natural Language Generation: an Interdisciplinary Perspective,Advances in Natural Language Generation: an Interdisciplinary Perspective,Advances in Natural Language Generation: an Interdisciplinary Perspective,,,,,,,,,"Norwood, New Jersey",,,ablex-publishing-co,,,,,,,,,,,,,english,false,,,,zock;sabah_g,,1:linguistics
186291,book,zoeller:1984,,,1984,,"Theoretische Gegenstandsbeziehung bei Kant.~Zur systematischen Bedeutung der Termini ``objektive Realit{\""a}t'' und ``objektive G{\""u}ltigkeit'' in der \emph{Kritik der reinen Vernunft}",Theoretische Gegenstandsbeziehung bei Kant. Zur systematischen Bedeutung der Termini “objektive Realität” und “objektive Gültigkeit” in der Kritik der reinen Vernunft,,,,,,117,,,,kantstudien_erg_a_nzungshefte,Berlin,,,de-gruyter,,,,,,,,,,,,,ngerman,false,,,zoeller,,,1:metaphysics;2:perspectivalism;3:objectivity_in_representation
186292,article,zoeller:1992,,,1992,,Lichtenberg and Kant on the Subject of Thinking,Lichtenberg and Kant on the Subject of Thinking,,,,journal-of-the-history-of-philosophy,30,3,417--441,417,,,,,,,,,,,,,,,,,,,english,false,,,zoeller,,,1:epistemology;2:cogito
186293,incollection,zoeller:1992a,,,1992,,The Austrian Way of Ideas: Contents and Objects of Presentations in the Brentano School,The Austrian Way of Ideas: Contents and Objects of Presentations in the Brentano School,,,,,,,341--354,341,,,,,,,,,,,,,,,,,,,english,false,,,zoeller,,,1:representation;2:ideas
186294,incollection,zoeller:1995a,,,1995,,Changing the Appearances: Fichte's Transcendental Theory of Practical Self-Determination,Changing the Appearances: Fichte's Transcendental Theory of Practical Self-Determination,,,,,,,929--942,929,,,,,,,,,,,,,,,,,,,english,false,,,zoeller,,,1:persons;2:self;3:noumenal_self
186295,incollection,zoeller:1999,,,1999,,Schopenhauer on the Self,Schopenhauer on the Self,,,,,,,18--43,18,,,,,,,,,,,,,,,,,,,english,false,,,zoeller,,,1:persons;2:self
186296,incollection,zoeller:2000,,,2000,,"German Realism: The Self-Limitation of Idealist Thinking in Fichte, Schelling, and Schopenhauer","German Realism: The Self-Limitation of Idealist Thinking in Fichte, Schelling, and Schopenhauer",,,,,,,200--218,200,,,,,,,,,,,,,,,,,,,english,false,,,zoeller,,,1:metaphysics;2:idealism
