bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
aagaardmogensen-forsey:2019,aagaardmogensen,editor,0,,
aagaardmogensen-forsey:2019,forsey_j,editor,1,,
aaij_m-godlove:2020,aaij_m,editor,0,,
aaij_m-godlove:2020,godlove_s,editor,1,,
aaker:1981,aaker,author,0,,
aalbers:2016,aalbers,author,0,,
aalders-deblois:1992,aalders,author,0,,
aalders-deblois:1992,deblois_l,author,1,,
aall:1925,aall,author,0,,
aaltola_e:2010,aaltola_e,author,0,,
aaltola_e:2012,aaltola_e,author,0,,
aaltola_e:2014,aaltola_e,author,0,,
aaltola_e:2019,aaltola_e,author,0,,
aanderaa:1971,aanderaa,author,0,,
aarnes:1991,aarnes,author,0,,
aarnio_a:1983,aarnio_a,author,0,,
aarnio_a:1984,aarnio_a,author,0,,
aarnio_a:1987,aarnio_a,author,0,,
aarnio_a:1988,aarnio_a,author,0,,
aarnio_a:1993,aarnio_a,editor,0,,
aarnio_a:1997,aarnio_a,author,0,,
aarnio_a:1999,aarnio_a,author,0,,
aaron_ri-etal:1961,aaron_ri,author,0,,
aaron_ri-etal:1961,rotenstreich,author,1,,
aaron_ri-etal:1961,passmore,author,2,,
aaron_ri-etal:1961,mercier_an,author,3,,
aaron_ri-etal:1961,russell_lj,author,4,,
aaron_ri-etal:1961,moreau_j,author,5,,
aaron_ri:1931,aaron_ri,author,0,,
aaron_ri:1933,aaron_ri,author,0,,
aaron_ri:1934,aaron_ri,author,0,,
aaron_ri:1939,aaron_ri,author,0,,
aaron_ri:1939a,aaron_ri,author,0,,
aaron_ri:1942,aaron_ri,author,0,,
aaron_ri:1945,aaron_ri,author,0,,
aaron_ri:1946,aaron_ri,author,0,,
aaron_ri:1952,aaron_ri,author,0,,
aaron_ri:1956,aaron_ri,author,0,,
aaron_ri:1956a,aaron_ri,author,0,,
aaron_ri:1957,aaron_ri,author,0,,
aaronson_bs:1971,aaronson_bs,author,0,,
aaronson_s:2013,aaronson_s,author,0,,
aaronyounis_r:2009,aaronyounis_r,editor,0,,
aars:1905,aars,author,0,,
aars:1909,aars,author,0,,
aars:1910,aars,author,0,,
aarsleff:1994,aarsleff,author,0,,
aarsleff:2006,aarsleff,author,0,,
aarts:1992,aarts,author,0,,
aas-wasserman:2017,aas,author,0,,
aas-wasserman:2017,wasserman_d,author,1,,
aasen:2016,aasen,author,0,,
aasen:2016a,aasen,author,0,,
aasen:2017,aasen,author,0,,
aasen:2019,aasen,author,0,,
