bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
adair_s:2018,adair_s,author,0,,
adairtoteff:2003,adairtoteff,author,0,,
adali-subrahmanian:1996,adali,author,0,,
adali-subrahmanian:1996,subramanian_vs,author,1,,
adam_a-laurent:1980,adam_a,author,0,,
adam_a-laurent:1980,laurent_jp,author,1,,
adam_c-tannery:1996,adam_c,editor,0,,
adam_c-tannery:1996,tannery_p,editor,1,,
adam_g-etal:1981,adam_g,editor,0,,
adam_g-etal:1981,maszaros,editor,1,,
adam_g-etal:1981,banyai_ei,editor,2,,
adam_g:1978,adam_g,author,0,,
adam_m:1996,adam_m,author,0,,
adam_m:1996,vieillardbaron,guesteditor,0,,
adam_m:2000,adam_m,author,0,,
adam_ma:2003,adam_ma,author,0,,
adamcik-wilmers:2014,adamcik,author,0,,
adamcik-wilmers:2014,wilmers_g,author,1,,
adamczewski:1984,adamczewski,author,0,,
adami_c:1998,adami_c,editor,0,,
adami_e:2016,adami_e,author,0,,
adamowicz_e:2004,adamowicz_e,author,0,,
adamowicz_z-bigorajska:2001,adamowicz_z,author,0,,
adamowicz_z-bigorajska:2001,bigorajska_t,author,1,,
adams_al:2000,adams_al,author,0,,
adams_b:2017,adams_b,author,0,,
adams_cj-etal:2023,adams_cj,editor,0,,
adams_cj-etal:2023,crary_a,editor,1,,
adams_cj-etal:2023,gruen_l,editor,2,,
adams_cj-etal:2023a,adams_cj,author,0,,
adams_cj-etal:2023a,crary_a,author,1,,
adams_cj-etal:2023a,gruen_l,author,2,,
adams_cj:2023,adams_cj,author,0,,
adams_d:1992,adams_d,author,0,,
adams_d:2014,adams_d,author,0,,
adams_d:2017,adams_d,author,0,,
adams_dan:2018,adams_dan,author,0,,
adams_do-etal:1971,adams_do,editor,0,,
adams_do-etal:1971,campbell_maa,editor,1,,
adams_do-etal:1971,cohen_v,editor,2,,
adams_do-etal:1971,lovins_j,editor,3,,
adams_do-etal:1971,maxwell_e,editor,4,,
adams_do-etal:1971,nygren,editor,5,,
adams_do-etal:1971,reighard_j,editor,6,,
adams_em:1948,adams_em,author,0,,
adams_em:1949,adams_em,author,0,,
adams_em:1950,adams_em,author,0,,
adams_em:1956,adams_em,author,0,,
adams_em:1957,adams_em,author,0,,
adams_em:1998,adams_em,author,0,,
adams_em:2000,adams_em,author,0,,
adams_em:2002,adams_em,author,0,,
adams_ew-carlstrom:1979,adams_ew,author,0,,
adams_ew-carlstrom:1979,carlstrom,author,1,,
adams_ew-levine:1975,adams_ew,author,0,,
adams_ew-levine:1975,levine_hp,author,1,,
adams_ew:1959,adams_ew,author,0,,
adams_ew:1965,adams_ew,author,0,,
adams_ew:1966,adams_ew,author,0,,
adams_ew:1966a,adams_ew,author,0,,
adams_ew:1970,adams_ew,author,0,,
adams_ew:1973,adams_ew,author,0,,
adams_ew:1974,adams_ew,author,0,,
adams_ew:1974a,adams_ew,author,0,,
adams_ew:1975,adams_ew,author,0,,
adams_ew:1976,adams_ew,author,0,,
adams_ew:1978,adams_ew,author,0,,
adams_ew:1981,adams_ew,author,0,,
adams_ew:1981a,adams_ew,author,0,,
adams_ew:1982,adams_ew,author,0,,
adams_ew:1983,adams_ew,author,0,,
adams_ew:1983a,adams_ew,author,0,,
adams_ew:1984,adams_ew,author,0,,
adams_ew:1986,adams_ew,author,0,,
adams_ew:1986a,adams_ew,author,0,,
adams_ew:1987,adams_ew,author,0,,
adams_ew:1988,adams_ew,author,0,,
adams_ew:1988a,adams_ew,author,0,,
adams_ew:1989,adams_ew,author,0,,
adams_ew:1991,adams_ew,author,0,,
adams_ew:1993,adams_ew,author,0,,
adams_ew:1994,adams_ew,author,0,,
adams_ew:1995,adams_ew,author,0,,
adams_ew:1996,adams_ew,author,0,,
adams_ew:1996a,adams_ew,author,0,,
adams_ew:1997,adams_ew,author,0,,
adams_ew:1997a,adams_ew,author,0,,
adams_ew:1998,adams_ew,author,0,,
adams_ew:1998a,adams_ew,author,0,,
adams_ew:1998b,adams_ew,author,0,,
adams_ew:2002,adams_ew,author,0,,
adams_f-aizawa:1992,adams_f,author,0,,
adams_f-aizawa:1992,aizawa,author,1,,
adams_f-aizawa:1993,adams_f,author,0,,
adams_f-aizawa:1993,aizawa,author,1,,
adams_f-aizawa:1994,adams_f,author,0,,
adams_f-aizawa:1994,aizawa,author,1,,
adams_f-aizawa:1997,adams_f,author,0,,
adams_f-aizawa:1997,aizawa,author,1,,
adams_f-aizawa:1997a,adams_f,author,0,,
adams_f-aizawa:1997a,aizawa,author,1,,
adams_f-aizawa:2002,adams_f,author,0,,
adams_f-aizawa:2002,aizawa,author,1,,
adams_f-aizawa:2009,adams_f,author,0,,
adams_f-aizawa:2009,aizawa,author,1,,
adams_f-beighley:2011,adams_f,author,0,,
adams_f-beighley:2011,beighley_s,author,1,,
adams_f-clarke:2005,adams_f,author,0,,
adams_f-clarke:2005,clarke_mu,author,1,,
adams_f-dietrich:2004,adams_f,author,0,,
adams_f-dietrich:2004,dietrich_la,author,1,,
adams_f-enc:1988,adams_f,author,0,,
adams_f-enc:1988,enc_b,author,1,,
adams_f-etal:1990,adams_f,author,0,,
adams_f-etal:1990,drebushenko,author,1,,
adams_f-etal:1990,fuller_g,author,2,,
adams_f-etal:1990,stecker,author,3,,
adams_f-etal:1992,adams_f,author,0,,
adams_f-etal:1992,fuller_g,author,1,,
adams_f-etal:1992,aikawa_k,author,2,,
adams_f-etal:1993,adams_f,author,0,,
adams_f-etal:1993,fuller_g,author,1,,
adams_f-etal:1993,stecker,author,2,,
adams_f-etal:1997,adams_f,author,0,,
adams_f-etal:1997,fuller_g,author,1,,
adams_f-etal:1997,stecker,author,2,,
adams_f-etal:1999,adams_f,author,0,,
adams_f-etal:1999,fuller_g,author,1,,
adams_f-etal:1999,stecker,author,2,,
adams_f-etal:2012,adams_f,author,0,,
adams_f-etal:2012,barker_ja,author,1,,
adams_f-etal:2012,figurelli_j,author,2,,
adams_f-fuller:1992,adams_f,author,0,,
adams_f-fuller:1992,fuller_g,author,1,,
adams_f-fuller:2007,adams_f,author,0,,
adams_f-fuller:2007,fuller_g,author,1,,
adams_f-stecker:1994,adams_f,author,0,,
adams_f-stecker:1994,stecker,author,1,,
adams_f:1979,adams_f,author,0,,
adams_f:1985,adams_f,author,0,,
adams_f:1986,adams_f,author,0,,
adams_f:1989,adams_f,author,0,,
adams_f:1991,adams_f,author,0,,
adams_f:1993,adams_f,author,0,,
adams_f:1993a,adams_f,author,0,,
adams_f:1997,adams_f,author,0,,
adams_f:2002,adams_f,author,0,,
adams_f:2003,adams_f,author,0,,
adams_f:2004,adams_f,author,0,,
adams_f:2007,adams_f,author,0,,
adams_f:2007a,adams_f,author,0,,
adams_f:2010,adams_f,author,0,,
adams_f:2010a,adams_f,author,0,,
adams_f:2011,adams_f,author,0,,
adams_f:2012,adams_f,author,0,,
adams_f:2013,adams_f,author,0,,
adams_f:2016,adams_f,author,0,,
adams_f:2019,adams_f,author,0,,
adams_f:2020,adams_f,author,0,,
adams_g-resnik:1997,adams_g,author,0,,
adams_g-resnik:1997,resnik_p,author,1,,
adams_gp-etal:1927,adams_gp,editor,0,,
adams_gp-etal:1927,loewenberg,editor,1,,
adams_gp-etal:1927,pepper_sc,editor,2,,
adams_gp-etal:1928,adams_gp,editor,0,,
adams_gp-etal:1928,loewenberg,editor,1,,
adams_gp-etal:1928,pepper_sc,editor,2,,
adams_gp-etal:1929,adams_gp,editor,0,,
adams_gp-etal:1929,loewenberg,editor,1,,
adams_gp-etal:1929,pepper_sc,editor,2,,
adams_gp-etal:1930,adams_gp,editor,0,,
adams_gp-etal:1930,loewenberg,editor,1,,
adams_gp-etal:1930,pepper_sc,editor,2,,
adams_gp-etal:1932,adams_gp,editor,0,,
adams_gp-etal:1932,loewenberg,editor,1,,
adams_gp-etal:1932,pepper_sc,editor,2,,
adams_gp-etal:1932a,adams_gp,editor,0,,
adams_gp-etal:1932a,loewenberg,editor,1,,
adams_gp-etal:1932a,pepper_sc,editor,2,,
adams_gp-etal:1934,adams_gp,editor,0,,
adams_gp-etal:1934,loewenberg,editor,1,,
adams_gp-etal:1934,pepper_sc,editor,2,,
adams_gp-etal:1935,adams_gp,editor,0,,
adams_gp-etal:1935,loewenberg,editor,1,,
adams_gp-etal:1935,pepper_sc,editor,2,,
adams_gp-loewenberg:1923,adams_gp,editor,0,,
adams_gp-loewenberg:1923,loewenberg,editor,1,,
adams_gp:1924,adams_gp,author,0,,
adams_gp:1925,adams_gp,author,0,,
adams_gp:1926,adams_gp,author,0,,
adams_gp:1927,adams_gp,author,0,,
adams_gp:1928,adams_gp,author,0,,
