bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
aebi:1960,aebi,author,0,,
aebli:1984,aebli,author,0,,
aeby_b:2023,aeby_b,author,0,,
aeby_b:2023a,aeby_b,author,0,,
aenishaenslin_jf:2010,aenishaenslin_jf,author,0,,
aenishaenslin_m:1978,aenishaenslin_m,editor,0,,
aenishaenslin_m:2000,aenishaenslin_m,author,0,,
aeppli_t:2019,aeppli_t,author,0,,
aerts:1981,aerts,author,0,,
aerts:1998,aerts,author,0,,
aertsen-pickave:2002,aertsen,editor,0,,
aertsen-pickave:2002,pickave,editor,1,,
aertsen-pickave:2004,aertsen,editor,0,,
aertsen-pickave:2004,pickave,editor,1,,
aertsen-speer:1996,aertsen,editor,0,,
aertsen-speer:1996,speer,editor,1,,
aertsen-speer:1997,aertsen,editor,0,,
aertsen-speer:1997,speer,editor,1,,
aertsen-speer:1998,aertsen,editor,0,,
aertsen-speer:1998,speer,editor,1,,
aertsen-speer:2000,aertsen,editor,0,,
aertsen-speer:2000,speer,editor,1,,
aertsen:1991,aertsen,author,0,,
aertsen:1991a,aertsen,author,0,,
aertsen:1992,aertsen,author,0,,
aertsen:1995,aertsen,author,0,,
aertsen:1998a,aertsen,author,0,,
aertsen:2000,aertsen,author,0,,
aertsen:2002,aertsen,author,0,,
aertsen:2006,aertsen,author,0,,
aertsen:2010,aertsen,author,0,,
aertsen:2011,aertsen,author,0,,
aertsen:2012,aertsen,author,0,,
aeschbach_m:2018,aeschbach_m,author,0,,
aeschbach_s:2017,aeschbach_s,author,0,,
