bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
akabayashi:2014,akabayashi,author,0,,
akama-etal:2007,akama,author,0,,
akama-etal:2007,nagata_y,author,1,,
akama-etal:2007,yamada_c,author,2,,
akama-etal:2011,akama,author,0,,
akama-etal:2011,murai_t,author,1,,
akama-etal:2011,miyamoto_s,author,2,,
akama-etal:2011a,akama,author,0,,
akama-etal:2011a,abe_jm,author,1,,
akama-etal:2011a,nakamatsu_k,author,2,,
akama-etal:2016,akama,author,0,,
akama-etal:2016,murai_t,author,1,,
akama-etal:2016,kudo_y,author,2,,
akama-miyamoto:2008,akama,author,0,,
akama-miyamoto:2008,miyamoto_s,author,1,,
akama-nagata:2006,akama,author,0,,
akama-nagata:2006,nagata_y,author,1,,
akama-sylvan:1994,akama,author,0,,
akama-sylvan:1994,sylvan_r,author,1,,
akama:1987,akama,author,0,,
akama:1988,akama,author,0,,
akama:1988a,akama,author,0,,
akama:1990,akama,author,0,,
akama:1996,akama,author,0,,
akama:1997,akama,editor,0,,
akama:1997a,akama,author,0,,
akama:1997b,akama,author,0,,
akasoy-fidora:2016,akasoy,author,0,,
akasoy-fidora:2016,fidora_a,author,1,,
akasoy-giglioni:2013,akasoy,editor,0,,
akasoy-giglioni:2013,giglioni,editor,1,,
akasoy-raven:2008,akasoy,editor,0,,
akasoy-raven:2008,raven_w,editor,1,,
akasoy:2013,akasoy,author,0,,
akasoy:2017,akasoy,author,0,,
akbar-caelen:1998,akbar,author,0,,
akbar-caelen:1998,caelen_j,author,1,,
akchurin:1977,akchurin,author,0,,
ake_jp:2017,ake_jp,author,0,,
akeel-bell:2021,akeel,author,0,,
akeel-bell:2021,bell_sa,author,1,,
akeley:1925,akeley,author,0,,
akeley:1927,akeley,author,0,,
akerlund:2017,akerlund,author,0,,
akerman_j-greenough:2010,akerman_j,author,0,,
akerman_j-greenough:2010,greenough_p,author,1,,
akerman_j-greenough:2010a,akerman_j,author,0,,
akerman_j-greenough:2010a,greenough_p,author,1,,
akerman_j:2010,akerman_j,author,0,,
akerman_j:2011,akerman_j,author,0,,
akerman_j:2012,akerman_j,author,0,,
akerman_j:2013,akerman_j,author,0,,
akerman_j:2015,akerman_j,author,0,,
akerman_j:2017,akerman_j,author,0,,
akerman_s:1991,akerman_s,author,0,,
akerman_s:1993,akerman_s,author,0,,
akerman_s:1999,akerman_s,author,0,,
akeroyd:2003,akeroyd,author,0,,
akers-etal:2001,akers,author,0,,
akers-etal:2001,bica_i,author,1,,
akers-etal:2001,kant_e,author,2,,
akers-etal:2001,randall_c,author,3,,
akers-etal:2001,young_rl,author,4,,
akhtar:2018,akhtar,author,0,,
akiba-anasnezhad:2014,akiba,editor,0,,
akiba-anasnezhad:2014,abasnezhad_a,editor,1,,
akiba:1998,akiba,author,0,,
akiba:1999,akiba,author,0,,
akiba:2000,akiba,author,0,,
akiba:2000a,akiba,author,0,,
