bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
al:1975,al,author,0,,
alac_m:2017,alac_m,author,0,,
aladjem_tk:1991,aladjem_tk,author,0,,
alagar-periyasamy:1998,alagar,author,0,,
alagar-periyasamy:1998,periyasamy,author,1,,
alai:1994,alai,author,0,,
alai:2006,alai,author,0,,
alai:2014,alai,author,0,,
alai:2016,alai,author,0,,
alai:2017,alai,author,0,,
alai:2017a,alai,author,0,,
alai:2018,alai,author,0,,
alaimo_s:2010,alaimo_s,author,0,,
alaimo_s:2016,alaimo_s,author,0,,
alaimo_s:2016a,alaimo_s,author,0,,
alain-tresch:2005,alain,author,0,,
alain-tresch:2005,tresch_ga,author,1,,
alain:2005,alain,author,0,,
alain:2005a,alain,author,0,,
alain:2005b,alain,author,0,,
alama-kahle:2013,alama,author,0,,
alama-kahle:2013,kahle,author,1,,
alama:2015,alama,author,0,,
alami_a:2001,alami_a,author,0,,
alanen-etal:1997,alanen,editor,0,,
alanen-etal:1997,heinaemaa,editor,1,,
alanen-etal:1997,wallgren_t,editor,2,,
alanen-etal:1997a,alanen,author,0,,
alanen-etal:1997a,heinaemaa,author,1,,
alanen-etal:1997a,wallgren_t,author,2,,
alanen-knuuttila:1988,alanen,author,0,,
alanen-knuuttila:1988,knuuttila_s,author,1,,
alanen-vrijoensuuri:1997,alanen,author,0,,
alanen-vrijoensuuri:1997,vrjoensuuri,author,1,,
alanen-witt:2004,alanen,editor,0,,
alanen-witt:2004,witt_ch,editor,1,,
alanen:1981,alanen,author,0,,
alanen:1982,alanen,author,0,,
alanen:1985,alanen,author,0,,
alanen:1986,alanen,author,0,,
alanen:1988,alanen,author,0,,
alanen:1990,alanen,author,0,,
alanen:1994,alanen,author,0,,
alanen:1994a,alanen,author,0,,
alanen:1996,alanen,author,0,,
alanen:1999,alanen,author,0,,
alanen:1999a,alanen,author,0,,
alanen:2000,alanen,author,0,,
alanen:2002,alanen,author,0,,
alanen:2003,alanen,author,0,,
alanen:2003a,alanen,author,0,,
alanen:2004,alanen,author,0,,
alanen:2006,alanen,author,0,,
alanen:2008,alanen,author,0,,
alanen:2008a,alanen,author,0,,
alanen:2008b,alanen,author,0,,
alanen:2009,alanen,author,0,,
alanen:2012,alanen,author,0,,
alanen:2014,alanen,author,0,,
alanen:2016,alanen,author,0,,
alanen:2017,alanen,author,0,,
alani_a:2023,alani_a,author,0,,
alani_a:2023a,alani_a,author,0,,
alarcon:1999,alarcon,author,0,,
alasady-narayanan:1993,alasady,author,0,,
alasady-narayanan:1993,narayanan_a,author,1,,
alasady:1995,alasady,author,0,,
alattar:2016,alattar,author,0,,
alazm:1968,alazm,author,0,,
alazm:1968a,alazm,author,0,,
albagli:2000,albagli,author,0,,
albagli:2007,albagli,author,0,,
albahari:2014,albahari,author,0,,
albahari:2014a,albahari,author,0,,
albahari:2019,albahari,author,0,,
albahari:2020,albahari,author,0,,
albano:2000,albano,author,0,,
albanzapata:2016,albanzapata,author,0,,
albarracin-etal:2005,albarracin,editor,0,,
albarracin-etal:2005,johnson_bt,editor,1,,
albarracin-etal:2005,zanna_mp,editor,2,,
albarracin-etal:2005a,albarracin,author,0,,
albarracin-etal:2005a,johnson_bt,author,1,,
albarracin-etal:2005a,zanna_mp,author,2,,
albarracin-etal:2005a,tarcankumkale,author,3,,
alberdi-sleeman:1997,alberdi,author,0,,
alberdi-sleeman:1997,sleeman,author,1,,
alberg_j:2007,alberg_j,author,0,,
