bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
an_h:1929,an_h,author,0,,
anacker:2005,anacker,author,0,,
anacker:2012,anacker,author,0,,
anacona-etal:2014,anacona,author,0,,
anacona-etal:2014,arboledaaparicio,author,1,,
anacona-etal:2014,perezfernandez,author,2,,
anagnostopoulos_a:2010,anagnostopoulos_a,author,0,,
anagnostopoulos_a:2013,anagnostopoulos_a,author,0,,
anagnostopoulos_g-santas:2018,anagnostopoulos_g,editor,0,,
anagnostopoulos_g-santas:2018,santas,editor,1,,
anagnostopoulos_g:1990,anagnostopoulos_g,author,0,,
anagnostopoulos_g:1992,anagnostopoulos_g,author,0,,
anagnostopoulos_g:2009,anagnostopoulos_g,editor,0,,
anagnostopoulos_g:2009a,anagnostopoulos_g,author,0,,
anagnostopoulos_g:2009b,anagnostopoulos_g,author,0,,
anagnostopoulos_g:2009c,anagnostopoulos_g,author,0,,
anagnostopoulos_g:2011,anagnostopoulos_g,editor,0,,
anagnostopoulos_g:2018,anagnostopoulos_g,author,0,,
anagnostopoulos_m:2006,anagnostopoulos_m,author,0,,
anagnostopoulos_m:2007,anagnostopoulos_m,author,0,,
anagnostopoulos_m:2011,anagnostopoulos_m,author,0,,
anagnostopoulou_e:1999,anagnostopoulou_e,author,0,,
anand_p:1993,anand_p,author,0,,
anand_p:2012,anand_p,author,0,,
anand_p:2016,anand_p,author,0,,
anandan:1997,anandan,author,0,,
ananth_m:2017,ananth_m,author,0,,
anantharaman-etal:1990,anantharaman,author,0,,
anantharaman-etal:1990,campbell_ms,author,1,,
anantharaman-etal:1990,hsu_fh,author,2,,
anapolitanos-etal:1998,anapolitanos,editor,0,,
anapolitanos-etal:1998,aristides,editor,1,,
anapolitanos-etal:1998,tsinorema_sf,editor,2,,
anapolitanos:1989,anapolitanos,author,0,,
anapolitanos:1989a,anapolitanos,author,0,,
anastassiou:2007,anastassiou,author,0,,
anatolios:2015,anatolios,author,0,,
anaya_a-clarke:2017,anaya_a,author,0,,
anaya_a-clarke:2017,clarke_sam,author,1,,
anaya_sj:1997,anaya_sj,author,0,,
ancell:2017,ancell,author,0,,
