bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
aoki:2008,aoki,author,0,,
aone-etal:1998,aone,author,0,,
aone-etal:1998,okurowski,author,1,,
aone-etal:1998,gorlinsky_j,author,2,,
aone-maloney:1997,aone,author,0,,
aone-maloney:1997,maloney_jo,author,1,,
aoto:1999,aoto,author,0,,
aoun-etal:1981,aoun,author,0,,
aoun-etal:1981,hornstein,author,1,,
aoun-etal:1981,sportiche,author,2,,
aoun-hornstein:1991,aoun,author,0,,
aoun-hornstein:1991,hornstein,author,1,,
aoun-li:1993,aoun,author,0,,
aoun-li:1993,li_cha,author,1,,
aoun:1985,aoun,author,0,,
aoyama_h:1990,aoyama_h,author,0,,
