bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
atack:2020,atack,author,0,,
ataner:2006,ataner,author,0,,
atanev:2004,atanev,author,0,,
atger:2006,atger,author,0,,
athanasiadesmercanton:1979,athanasiadesmercanton,author,0,,
athanasiadou_a:2020,athanasiadou_a,author,0,,
athanasiou_a:2017,athanasiou_a,author,0,,
athanasiou_k:2017,athanasiou_k,author,0,,
athanasopoulos:2010,athanasopoulos,author,0,,
athanassiadi_p:2002,athanassiadi_p,author,0,,
athanassoulis_n-vice:2008,athanassoulis_n,editor,0,,
athanassoulis_n-vice:2008,vice_s,editor,1,,
athanassoulis_n:2000,athanassoulis_n,author,0,,
athanassoulis_n:2005,athanassoulis_n,author,0,,
athanassoulis_n:2016,athanassoulis_n,author,0,,
athanassoulis_n:2019,athanassoulis_n,author,0,,
atheensuu-siipi:2017,atheensuu,author,0,,
atheensuu-siipi:2017,siipi,author,1,,
atherton_c:2005,atherton_c,author,0,,
atherton_c:2009,atherton_c,author,0,,
atherton_c:2020,atherton_c,author,0,,
atherton_m-schwartz:1974,atherton_m,author,0,,
atherton_m-schwartz:1974,schwartz_r,author,1,,
atherton_m:1983,atherton_m,author,0,,
atherton_m:1984,atherton_m,author,0,,
atherton_m:1987,atherton_m,author,0,,
atherton_m:1990,atherton_m,author,0,,
atherton_m:1991,atherton_m,author,0,,
atherton_m:1992,atherton_m,author,0,,
atherton_m:1994,atherton_m,editor,0,,
atherton_m:1995,atherton_m,author,0,,
atherton_m:2001,atherton_m,author,0,,
atherton_m:2002,atherton_m,author,0,,
atherton_m:2003,atherton_m,author,0,,
atherton_m:2003a,atherton_m,author,0,,
atherton_m:2003b,atherton_m,author,0,,
atherton_m:2004,atherton_m,author,0,,
atherton_m:2005,atherton_m,author,0,,
atherton_m:2006,atherton_m,author,0,,
atherton_m:2007,atherton_m,author,0,,
atherton_m:2008,atherton_m,author,0,,
atherton_m:2008a,atherton_m,author,0,,
atherton_m:2010,atherton_m,author,0,,
atherton_m:2015,atherton_m,author,0,,
atherton_m:2019,atherton_m,author,0,,
atherton_r:2020,atherton_r,author,0,,
atias:2004,atias,author,0,,
atienza_m-manero:1999,atienza_m,author,0,,
atienza_m-manero:1999,manero_jr,author,1,,
atiq:2016,atiq,author,0,,
atiq:2018,atiq,author,0,,
atiyah:1991,atiyah,author,0,,
atkin:2006,atkin,author,0,,
atkin:2015,atkin,author,0,,
atkin:2017,atkin,author,0,,
atkin:2019,atkin,author,0,,
atkins_a:2022,atkins_a,author,0,,
atkins_bts-etal:1994,atkins_bts,author,0,,
atkins_bts-etal:1994,kegl_j,author,1,,
atkins_bts-etal:1994,levin_bc,author,2,,
atkins_bts-zampolli:1994,atkins_bts,editor,0,,
atkins_bts-zampolli:1994,zampolli,editor,1,,
atkins_bts:1993,atkins_bts,author,0,,
atkins_jw-benatouil:2021,atkins_jw,editor,0,,
atkins_jw-benatouil:2021,benatouil,editor,1,,
atkins_jw:2017,atkins_jw,author,0,,
atkins_k:2000,atkins_k,author,0,,
atkins_k:2005,atkins_k,editor,0,,
atkins_k:2008,atkins_k,author,0,,
atkins_k:2008a,atkins_k,author,0,,
atkins_pe:1987,atkins_pe,author,0,,
atkins_pe:2006,atkins_pe,author,0,,
atkins_ph-lewis:2012,atkins_ph,author,0,,
atkins_ph-lewis:2012,lewis_ti,author,1,,
atkins_ph:2013,atkins_ph,author,0,,
atkins_ph:2014,atkins_ph,author,0,,
atkins_ph:2017,atkins_ph,author,0,,
atkins_ph:2025,atkins_ph,author,0,,
atkins_pw:1986,atkins_pw,author,0,,
atkins_pw:2004,atkins_pw,author,0,,
atkins_rk:2015,atkins_rk,author,0,,
atkins_rk:2015a,atkins_rk,author,0,,
atkins_rk:2016,atkins_rk,author,0,,
atkins_rk:2016a,atkins_rk,author,0,,
atkins_rk:2018,atkins_rk,author,0,,
atkins_rk:2023,atkins_rk,author,0,,
atkinson_ab:1991,atkinson_ab,author,0,,
atkinson_ap-bourguignon:1987,atkinson_ap,author,0,,
atkinson_ap-bourguignon:1987,bourguignon_f,author,1,,
atkinson_ap:2009,atkinson_ap,author,0,,
atkinson_d-peijnenburg:2006,atkinson_d,author,0,,
atkinson_d-peijnenburg:2006,peijnenburg,author,1,,
atkinson_d-peijnenburg:2010,atkinson_d,author,0,,
atkinson_d-peijnenburg:2010,peijnenburg,author,1,,
atkinson_d-peijnenburg:2013,atkinson_d,author,0,,
atkinson_d-peijnenburg:2013,peijnenburg,author,1,,
atkinson_d-peijnenburg:2017,atkinson_d,author,0,,
atkinson_d-peijnenburg:2017,peijnenburg,author,1,,
atkinson_d:1998,atkinson_d,author,0,,
atkinson_d:2005,atkinson_d,author,0,,
atkinson_d:2012,atkinson_d,author,0,,
atkinson_g:1990,atkinson_g,author,0,,
atkinson_gm:1970,atkinson_gm,author,0,,
atkinson_gm:1972,atkinson_gm,author,0,,
atkinson_gm:1973,atkinson_gm,author,0,,
atkinson_jm-heritage:1984,atkinson_jm,editor,0,,
atkinson_jm-heritage:1984,heritage,editor,1,,
atkinson_jm-heritage:1984a,atkinson_jm,author,0,,
atkinson_jm-heritage:1984a,heritage,author,1,,
atkinson_jm:1984,atkinson_jm,author,0,,
atkinson_k-benchcapon:2021,atkinson_k,author,0,,
atkinson_k-benchcapon:2021,benchcapon,author,1,,
atkinson_k-etal:2013,atkinson_k,editor,0,,
atkinson_k-etal:2013,prakken,editor,1,,
atkinson_k-etal:2013,wyner_az,editor,2,,
atkinson_k-etal:2013a,atkinson_k,author,0,,
atkinson_k-etal:2013a,benchcapon,author,1,,
atkinson_k-etal:2013a,prakken,author,2,,
atkinson_k-etal:2013a,wyner_az,author,3,,
atkinson_m:1992,atkinson_m,author,0,,
atkinson_rc:1961,atkinson_rc,author,0,,
atkinson_rf-montefiore:1958,atkinson_rf,author,0,,
atkinson_rf-montefiore:1958,montefiore,author,1,,
atkinson_rf:1972,atkinson_rf,author,0,,
atkinson_rf:1976,atkinson_rf,author,0,,
atkinson_rf:1977,atkinson_rf,author,0,,
atkinson_rf:1978,atkinson_rf,author,0,,
atkinson_rf:1982,atkinson_rf,author,0,,
atkinson_rf:1991,atkinson_rf,author,0,,
atkinson_t:2016,atkinson_t,author,0,,
atkinson_t:2019,atkinson_t,author,0,,
atkinson_wf:1965,atkinson_wf,author,0,,
atlan-cohen:2006,atlan,author,0,,
atlan-cohen:2006,cohen_i,author,1,,
atlan:1986,atlan,author,0,,
atlan:1995,atlan,author,0,,
atlas-levinson:1981,atlas,author,0,,
atlas-levinson:1981,levinson_sc,author,1,,
atlas:1975,atlas,author,0,,
atlas:1975a,atlas,author,0,,
atlas:1977,atlas,author,0,,
atlas:1979,atlas,author,0,,
atlas:1980,atlas,author,0,,
atlas:1980a,atlas,author,0,,
atlas:1984,atlas,author,0,,
atlas:1984a,atlas,author,0,,
atlas:1988,atlas,author,0,,
atlas:1989,atlas,author,0,,
atlas:1991,atlas,author,0,,
atlas:1993,atlas,author,0,,
atlas:1993a,atlas,author,0,,
atlas:2004,atlas,author,0,,
atlas:2005,atlas,author,0,,
atlas:2007,atlas,author,0,,
atlas:2011,atlas,author,0,,
atran:1990,atran,author,0,,
atran:1999,atran,author,0,,
atran:2005,atran,author,0,,
atran:2005a,atran,author,0,,
atran:2006,atran,author,0,,
atserias-etal:1997,atserias,author,0,,
atserias-etal:1997,climent_s,author,1,,
atserias-etal:1997,farreres,author,2,,
atserias-etal:1997,rigau,author,3,,
atserias-etal:1997,rodriguez_h,author,4,,
attal:1976,attal,author,0,,
attali:2005,attali,author,0,,
attali:2005a,attali,author,0,,
attardi-simi:1991,attardi,author,0,,
attardi-simi:1991,simi_m,author,1,,
attardi-simi:1994,attardi,author,0,,
attardi-simi:1994,simi_m,author,1,,
attardi-simi:1994a,attardi,author,0,,
attardi-simi:1994a,simi_m,author,1,,
attardi-simi:1995,attardi,author,0,,
attardi-simi:1995,simi_m,author,1,,
attardi-simi:1995a,attardi,author,0,,
attardi-simi:1995a,simi_m,author,1,,
attardi-simi:1998,attardi,author,0,,
attardi-simi:1998,simi_m,author,1,,
attardi:1991,attardi,author,0,,
attardo_s:2017,attardo_s,editor,0,,
attardo_s:2020,attardo_s,author,0,,
attas:2008,attas,author,0,,
attas:2012,attas,author,0,,
attas:2016,attas,author,0,,
attell_k:2014,attell_k,author,0,,
atterton_p:2007,atterton_p,author,0,,
attfield-belsey:1994,attfield,editor,0,,
attfield-belsey:1994,belsey_a,editor,1,,
attfield-belsey:1994a,attfield,author,0,,
attfield-belsey:1994a,belsey_a,author,1,,
attfield:1977,attfield,author,0,,
attfield:1980a,attfield,author,0,,
attfield:1994,attfield,author,0,,
attfield:1998,attfield,author,0,,
attfield:2001,attfield,author,0,,
attfield:2008,attfield,author,0,,
attfield:2011,attfield,author,0,,
attfield:2022,attfield,author,0,,
attiepicker:2020,attiepicker,author,0,,
attiepicker:2023,attiepicker,author,0,,
attig_t:1977,attig_t,author,0,,
attig_t:1977a,attig_t,author,0,,
attig_t:1980,attig_t,author,0,,
attig_t:1985,attig_t,author,0,,
attiwill-etal:2017,attiwill,author,0,,
attiwill-etal:2017,bird_t,author,1,,
attiwill-etal:2017,eckersley_a,author,2,,
attiwill-etal:2017,pont_a,author,3,,
attoe_a-etal:2023,attoe_a,editor,0,,
attoe_a-etal:2023,segun_st,editor,1,,
attoe_a-etal:2023,nweke_v,editor,2,,
attoe_a-etal:2023,umezurike_j,editor,3,,
attoe_a-etal:2023,chimakonam,editor,4,,
attridge_hw:1991,attridge_hw,author,0,,
attridge_hw:1993,attridge_hw,author,0,,
attridge_m:2013,attridge_m,author,0,,
atucha_i:2000,atucha_i,author,0,,
atucha_jb:1964,atucha_jb,author,0,,
atwell_je:1969,atwell_je,author,0,,
atwell_je:1986,atwell_je,author,0,,
atwell_je:1986a,atwell_je,author,0,,
atwell_je:1995,atwell_je,author,0,,
atwell_je:1996,atwell_je,author,0,,
atwood_sg:1975,atwood_sg,author,0,,
atzert:2012,atzert,author,0,,
