bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
avakian:2015,avakian,author,0,,
avallearce:1982,avallearce,author,0,,
avan_s:2015,avan_s,author,0,,
avanessian-malik:2016,avanessian,editor,0,,
avanessian-malik:2016,malik_s,editor,1,,
avanessian:2016,avanessian,author,0,,
avanessian:2019,avanessian,author,0,,
avarguesweber-giurfa:2015,avarguesweber,author,0,,
avarguesweber-giurfa:2015,giurfa_m,author,1,,
avelallemant:1975,avelallemant,author,0,,
avelallemant:1991,avelallemant,author,0,,
avempace:2010,avempace,author,0,,
avenarius:1912,avenarius,author,0,,
avenhaus-medlener:1999,avenhaus,author,0,,
avenhaus-medlener:1999,madlener,author,1,,
avenhaus:1998,avenhaus,author,0,,
averchi:2015,averchi,author,0,,
averill_ew-keating:1981,averill_ew,author,0,,
averill_ew-keating:1981,keating_b,author,1,,
averill_ew:1982,averill_ew,author,0,,
averill_ew:1985,averill_ew,author,0,,
averill_ew:1990,averill_ew,author,0,,
averill_ew:1992,averill_ew,author,0,,
averill_ew:2005,averill_ew,author,0,,
averill_ew:2012,averill_ew,author,0,,
averill_jr:1980,averill_jr,author,0,,
averill_jr:1999,averill_jr,author,0,,
avey:1923,avey,author,0,,
avey:1929,avey,author,0,,
avgelis-peonidis:1998,avgelis,editor,0,,
avgelis-peonidis:1998,peonidis_f,editor,1,,
avgelis:1989,avgelis,author,0,,
avgelis:1990,avgelis,author,0,,
avgelis:1991,avgelis,author,0,,
avigad-feferman:1998,avigad,author,0,,
avigad-feferman:1998,feferman_s,author,1,,
avigad:1999,avigad,author,0,,
avigad:2000,avigad,author,0,,
avigad:2002,avigad,author,0,,
avigad:2002a,avigad,author,0,,
avigad:2003,avigad,author,0,,
avigad:2008,avigad,author,0,,
avigad:2008a,avigad,author,0,,
avila_em:2015,avila_em,author,0,,
avila_r:2001,avila_r,author,0,,
avilacanamares:2002,avilacanamares,author,0,,
avilacanamares:2014,avilacanamares,author,0,,
avilesysanchez:1975,avilesysanchez,author,0,,
avineri:1978,avineri,author,0,,
avineri:1979,avineri,author,0,,
avital_d:2008,avital_d,author,0,,
avneri-rokem:2020,avneri,author,0,,
avneri-rokem:2020,rokem_f,author,1,,
avnur-etal:2011,avnur,author,0,,
avnur-etal:2011,brueckner_a,author,1,,
avnur-etal:2011,buford_c,author,2,,
avnur-scottkakures:2015,avnur,author,0,,
avnur-scottkakures:2015,scottkakures,author,1,,
avnur:2011,avnur,author,0,,
avnur:2012,avnur,author,0,,
avnur:2012a,avnur,author,0,,
avnur:2016,avnur,author,0,,
avnur:2023,avnur,author,0,,
avoutdauerstaedt:1975,avoutdauerstaedt,author,0,,
avraham:2018,avraham,author,0,,
avramides-parrott:2019,avramides,editor,0,,
avramides-parrott:2019,parrott_m,editor,1,,
avramides:1989,avramides,author,0,,
avramides:1997,avramides,author,0,,
avramides:2001,avramides,author,0,,
avramides:2004,avramides,author,0,,
avramides:2006,avramides,author,0,,
avramides:2009,avramides,author,0,,
avramides:2011,avramides,author,0,,
avramides:2013a,avramides,author,0,,
avramides:2016,avramides,author,0,,
avron-etal:2009,avron,author,0,,
avron-etal:2009,bennaim,author,1,,
avron-etal:2009,konikowska,author,2,,
avron-lahav:2010,avron,author,0,,
avron-lahav:2010,lahav_o,author,1,,
avron-zamansky:2011,avron,author,0,,
avron-zamansky:2011,zamansky_a,author,1,,
avron-zamansky:2016,avron,author,0,,
avron-zamansky:2016,zamansky_a,author,1,,
avron:1984,avron,author,0,,
avron:1994,avron,author,0,,
avron:1999,avron,author,0,,
avron:2002,avron,author,0,,
avron:2004,avron,author,0,,
avron:2005,avron,author,0,,
avron:2009,avron,author,0,,
avron:2016,avron,author,0,,
