bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
awodey-carus:2007,awodey,author,0,,
awodey-carus:2007,carus,author,1,,
awodey-etal:2014,awodey,author,0,,
awodey-etal:2014,kishida_k,author,1,,
awodey-etal:2014,kotzsch_hc,author,2,,
awodey-kishida:2008,awodey,author,0,,
awodey-kishida:2008,kishida_k,author,1,,
awodey-kishida:2012,awodey,author,0,,
awodey-kishida:2012,kishida_k,author,1,,
awodey-reck:2002,awodey,author,0,,
awodey-reck:2002,reck_e,author,1,,
awodey-reck:2002a,awodey,author,0,,
awodey-reck:2002a,reck_e,author,1,,
awodey:1996,awodey,author,0,,
awodey:2004,awodey,author,0,,
awodey:2006,awodey,author,0,,
awodey:2006a,awodey,author,0,,
awodey:2008,awodey,author,0,,
awodey:2008a,awodey,author,0,,
awodey:2010,awodey,author,0,,
awodey:2012,awodey,author,0,,
awodey:2014,awodey,author,0,,
awodey:2017,awodey,author,0,,
