bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ax:1971,ax,author,0,,
ax:1978,ax,author,0,,
axelos_c:1992,axelos_c,author,0,,
axelos_k:2005,axelos_k,author,0,,
axelrod_rm:1981,axelrod_rm,author,0,,
axelrod_rm:1997,axelrod_rm,author,0,,
axelrod_rm:2000,axelrod_rm,author,0,,
axelrod_s:2000,axelrod_s,author,0,,
axelsen-nielsen:2017,axelsen,author,0,,
axelsen-nielsen:2017,nielsen_la,author,1,,
axinn:1968,axinn,author,0,,
axinn:1981,axinn,author,0,,
axinn:1995,axinn,author,0,,
axinn:2013,axinn,author,0,,
axtell_g-bernal:2022,axtell_g,editor,0,,
axtell_g-bernal:2022,bernal_a,editor,1,,
axtell_g-olson:2012,axtell_g,author,0,,
axtell_g-olson:2012,olson_pr,author,1,,
axtell_g:1998,axtell_g,author,0,,
axtell_g:2001,axtell_g,author,0,,
axtell_g:2006,axtell_g,author,0,,
axtell_g:2008,axtell_g,author,0,,
axtell_g:2010,axtell_g,author,0,,
axtell_g:2011,axtell_g,author,0,,
axtell_g:2011a,axtell_g,author,0,,
axtell_g:2014,axtell_g,author,0,,
axtell_g:2015,axtell_g,author,0,,
axtell_g:2019,axtell_g,author,0,,
axtell_gs:1990,axtell_gs,author,0,,
