bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
aya:2006,aya,author,0,,
ayache_l:1997,ayache_l,author,0,,
ayada:2007,ayada,author,0,,
ayala_fj-arp:2010,ayala_fj,editor,0,,
ayala_fj-arp:2010,arp_r,editor,1,,
ayala_fj-dobzhansky:1974,ayala_fj,editor,0,,
ayala_fj-dobzhansky:1974,dobzhansky_t,editor,1,,
ayala_fj-etal:2007,ayala_fj,author,0,,
ayala_fj-etal:2007,capo_ma,author,1,,
ayala_fj-etal:2007,celaconde,author,2,,
ayala_fj-etal:2007,nadal_m,author,3,,
ayala_fj:1976,ayala_fj,author,0,,
ayala_fj:1983,ayala_fj,author,0,,
ayala_fj:1996,ayala_fj,author,0,,
ayala_fj:2008,ayala_fj,author,0,,
ayala_fj:2010,ayala_fj,author,0,,
ayala_fj:2010a,ayala_fj,author,0,,
ayala_s:2016,ayala_s,author,0,,
ayalalopez-diazleon:2021,ayalalopez,author,0,,
ayalalopez-diazleon:2021,diazleon,author,1,,
ayalalopez:2022,ayalalopez,author,0,,
ayars_fj:2017,ayars_fj,author,0,,
aydede-fulkerson:2014,aydede,author,0,,
aydede-fulkerson:2014,fulkerson_m,author,1,,
aydede-fulkerson:2019,aydede,author,0,,
aydede-fulkerson:2019,fulkerson_m,author,1,,
aydede-guezeldere:2005,aydede,author,0,,
aydede-guezeldere:2005,guezeldere,author,1,,
aydede:1997,aydede,author,0,,
aydede:1997a,aydede,author,0,,
aydede:1998,aydede,author,0,,
aydede:2000,aydede,author,0,,
aydede:2003,aydede,author,0,,
aydede:2005,aydede,editor,0,,
aydede:2005a,aydede,author,0,,
aydede:2005b,aydede,author,0,,
aydede:2005c,aydede,author,0,,
aydede:2014,aydede,author,0,,
aydede:2017,aydede,author,0,,
aydede:2018,aydede,author,0,,
aydede:2020,aydede,author,0,,
aydinli:2013,aydinli,author,0,,
ayer-etal:1956,ayer,author,0,,
ayer-etal:1956,kneale_wc,author,1,,
ayer-etal:1956,paul_ga,author,2,,
ayer-etal:1956,pears,author,3,,
ayer-etal:1956,strawson_pf,author,4,,
ayer-etal:1956,warnock_gj,author,5,,
ayer-etal:1956,wollheim,author,6,,
