bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
biacino-gerla:1991,biacino,author,0,,
biacino-gerla:1991,gerla,author,1,,
biagini_he:1989,biagini_he,author,0,,
biagioli_f:2014,biagioli_f,author,0,,
biagioli_f:2017,biagioli_f,author,0,,
bialek:2017,bialek,author,0,,
bialynickibirula:1994,bialynickibirula,author,0,,
biana_ht:2021,biana_ht,author,0,,
bianca_m:2009,bianca_m,author,0,,
bianca_ml-piccari:2015,bianca_ml,editor,0,,
bianca_ml-piccari:2015,piccari_p,editor,1,,
bianchi_a-santambrogio:2012,bianchi_a,author,0,,
bianchi_a-santambrogio:2012,paganini_e,guesteditor,0,,
bianchi_a-santambrogio:2012,santambrogio,author,1,,
bianchi_a:2006,bianchi_a,author,0,,
bianchi_a:2007,bianchi_a,author,0,,
bianchi_a:2010,bianchi_a,author,0,,
bianchi_a:2012,bianchi_a,author,0,,
bianchi_a:2015,bianchi_a,editor,0,,
bianchi_a:2015a,bianchi_a,author,0,,
bianchi_a:2015b,bianchi_a,author,0,,
bianchi_a:2016,bianchi_a,author,0,,
bianchi_a:2020,bianchi_a,editor,0,,
bianchi_a:2020a,bianchi_a,author,0,,
bianchi_a:2020b,bianchi_a,author,0,,
bianchi_c-bottani:2003,bianchi_c,editor,0,,
bianchi_c-bottani:2003,bottani,editor,1,,
bianchi_c:1999,bianchi_c,author,0,,
bianchi_c:2001,bianchi_c,author,0,,
bianchi_c:2003,bianchi_c,author,0,,
bianchi_c:2004,bianchi_c,editor,0,,
bianchi_c:2005,bianchi_c,author,0,,
bianchi_c:2006,bianchi_c,author,0,,
bianchi_c:2008,bianchi_c,author,0,,
bianchi_c:2014,bianchi_c,author,0,,
bianchi_c:2014a,bianchi_c,author,0,,
bianchi_dg:2012,bianchi_dg,author,0,,
bianchi_e:2001,bianchi_e,author,0,,
bianchi_e:2014,bianchi_e,author,0,,
bianchi_ia:1999,bianchi_ia,author,0,,
bianchi_ia:2002,bianchi_ia,author,0,,
bianchi_ia:2004,bianchi_ia,author,0,,
bianchi_km:2020,bianchi_km,author,0,,
bianchi_l:1984,bianchi_l,author,0,,
bianchi_l:1990,bianchi_l,author,0,,
bianchi_l:1994,bianchi_l,editor,0,,
bianchi_l:1998,bianchi_l,author,0,,
bianchi_l:2007,bianchi_l,author,0,,
bianchi_l:2007a,bianchi_l,author,0,,
bianchi_l:2008,bianchi_l,author,0,,
bianchi_l:2011,bianchi_l,editor,0,,
bianchi_lo-etal:2009,bianchi_lo,editor,0,,
bianchi_lo-etal:2009,ferrari_j,editor,1,,
bianchi_lo-etal:2009,postigliola_a,editor,2,,
bianchi_lo-sannino:2018,bianchi_lo,editor,0,,
bianchi_lo-sannino:2018,sannino_an,editor,1,,
bianchi_lo:2003,bianchi_lo,author,0,,
bianchi_lo:2009,bianchi_lo,author,0,,
bianchi_ml:1994,bianchi_ml,author,0,,
bianchi_ml:1996,bianchi_ml,editor,0,,
bianchi_ml:2000,bianchi_ml,author,0,,
bianchi_ml:2011,bianchi_ml,author,0,,
bianchi_o:2004,bianchi_o,author,0,,
bianchi_o:2005,bianchi_o,author,0,,
bianchi_r:2023,bianchi_r,author,0,,
bianchi_s:2023,bianchi_s,author,0,,
bianco_g-etal:2023,bianco_g,author,0,,
bianco_g-etal:2023,wolfe_ct,author,1,,
bianco_g-etal:2023,vandevijver,author,2,,
biancorosso:2011,biancorosso,author,0,,
biancu:2009,biancu,author,0,,
biard-gontier:2009,biard,editor,0,,
biard-gontier:2009,gontier_t,editor,1,,
biard-marianizini:2008,biard,editor,0,,
biard-marianizini:2008,marianizini,editor,1,,
biard-rashed:1997,biard,editor,0,,
biard-rashed:1997,rashed_r,editor,1,,
biard-rommevaux:2012,biard,editor,0,,
biard-rommevaux:2012,rommevaux,editor,1,,
biard:1989,biard,author,0,,
biard:1990,biard,author,0,,
biard:1993,biard,author,0,,
biard:1996,biard,author,0,,
biard:1997,biard,author,0,,
biard:1999,biard,editor,0,,
biard:2000,biard,author,0,,
biard:2001,biard,author,0,,
biard:2003,biard,author,0,,
biard:2003a,biard,author,0,,
biard:2003b,biard,author,0,,
biard:2006,biard,author,0,,
biard:2007,biard,author,0,,
biard:2008a,biard,author,0,,
biard:2009,biard,author,0,,
biard:2010,biard,editor,0,,
