bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
byas-christmas:2021,byas,author,0,,
byas-christmas:2021,christmas_b,author,1,,
bybee-fleischman:1995,bybee,editor,0,,
bybee-fleischman:1995,fleischman_s,editor,1,,
bybee:2007,bybee,author,0,,
bychkov:1996,bychkov,author,0,,
bycroft:2012,bycroft,author,0,,
byden-ierodiakonou:2012,byden,author,0,,
byden-ierodiakonou:2012,ierodiakonou,author,1,,
byden:2002,byden,author,0,,
bydlinski:2012,bydlinski,author,0,,
byerly_hc:1974,byerly_hc,author,0,,
byerly_hc:1986,byerly_hc,author,0,,
byerly_hc:1990,byerly_hc,author,0,,
byerly_tr-byerly:2016,byerly_tr,author,0,,
byerly_tr-byerly:2016,byerly_m,author,1,,
byerly_tr-martin:2015,byerly_tr,author,0,,
byerly_tr-martin:2015,martin_kr,author,1,,
byerly_tr-silverman:2017,byerly_tr,editor,0,,
byerly_tr-silverman:2017,silverman_ej,editor,1,,
byerly_tr-silverman:2017a,byerly_tr,author,0,,
byerly_tr-silverman:2017a,silverman_ej,author,1,,
byerly_tr:2010,byerly_tr,author,0,,
byerly_tr:2012,byerly_tr,author,0,,
byerly_tr:2012a,byerly_tr,author,0,,
byerly_tr:2012b,byerly_tr,author,0,,
byerly_tr:2013,byerly_tr,author,0,,
byerly_tr:2014,byerly_tr,author,0,,
byerly_tr:2014a,byerly_tr,author,0,,
byerly_tr:2014b,byerly_tr,author,0,,
byerly_tr:2014c,byerly_tr,author,0,,
byerly_tr:2015,byerly_tr,author,0,,
byerly_tr:2017,byerly_tr,author,0,,
byerly_tr:2017a,byerly_tr,author,0,,
byerly_tr:2017b,byerly_tr,author,0,,
byerly_tr:2018,byerly_tr,author,0,,
byerly_tr:2019,byerly_tr,author,0,,
byerly_tr:2024,byerly_tr,author,0,,
byers_s:2003,byers_s,author,0,,
byers_s:2006,byers_s,author,0,,
byers_s:2012,byers_s,author,0,,
byers_s:2016,byers_s,author,0,,
byers_s:2017,byers_s,author,0,,
byers_s:2017a,byers_s,author,0,,
byk:2000,byk,author,0,,
bykova_mf-westphal:2020,bykova_mf,editor,0,,
bykova_mf-westphal:2020,westphal_kr,editor,1,,
bykova_mf:2009,bykova_mf,author,0,,
bykova_mf:2013,bykova_mf,author,0,,
bykova_mf:2013a,bykova_mf,author,0,,
bykova_mf:2013b,bykova_mf,author,0,,
bykova_mf:2018,bykova_mf,author,0,,
bykova_mf:2019,bykova_mf,editor,0,,
bykova_mf:2019a,bykova_mf,author,0,,
bykova_mf:2019b,bykova_mf,author,0,,
bykova_mf:2020,bykova_mf,author,0,,
bykvist-hattiangadi:2007,bykvist,author,0,,
bykvist-hattiangadi:2007,hattiangadi_a,author,1,,
bykvist-hattiangadi:2014,bykvist,author,0,,
bykvist-hattiangadi:2014,hattiangadi_a,author,1,,
bykvist-olson:2009,bykvist,author,0,,
bykvist-olson:2009,olson_j,author,1,,
bykvist-olson:2019,bykvist,author,0,,
bykvist-olson:2019,olson_j,author,1,,
bykvist:2002,bykvist,author,0,,
bykvist:2003,bykvist,author,0,,
bykvist:2007,bykvist,author,0,,
bykvist:2007a,bykvist,author,0,,
bykvist:2007b,bykvist,author,0,,
bykvist:2009,bykvist,author,0,,
bykvist:2010,bykvist,author,0,,
bykvist:2013,bykvist,author,0,,
bykvist:2014,bykvist,author,0,,
bykvist:2015,bykvist,author,0,,
bykvist:2015a,bykvist,author,0,,
bykvist:2015b,bykvist,author,0,,
bykvist:2017,bykvist,author,0,,
bykvist:2018,bykvist,author,0,,
bykvist:2018a,bykvist,author,0,,
bylander-etal:1989,bylander,author,0,,
bylander-etal:1989,allemang,author,1,,
bylander-etal:1989,tanner_m,author,2,,
bylander-etal:1989,josephson_jr,author,3,,
bylander-etal:1991,bylander,author,0,,
bylander-etal:1991,allemang,author,1,,
bylander-etal:1991,tanner_m,author,2,,
bylander-etal:1991,josephson_jr,author,3,,
bylander:1991,bylander,author,0,,
bylander:1994,bylander,author,0,,
bylander:1996,bylander,author,0,,
bylander:1998,bylander,author,0,,
byles:1942,byles,author,0,,
bylinina_l-zadorozhny:2012,bylinina_l,author,0,,
bylinina_l-zadorozhny:2012,zadorozhny_s,author,1,,
byloo-nuyts:2013,byloo,author,0,,
byloo-nuyts:2013,nuyts,author,1,,
bynoe-jones:2013,bynoe,author,0,,
bynoe-jones:2013,jones_nk,author,1,,
bynoe:2011,bynoe,author,0,,
bynum_t-moor:1998,bynum_t,author,0,,
bynum_t-moor:1998,moor_jh,author,1,,
bynum_t-moor:2002,bynum_t,author,0,,
bynum_t-moor:2002,moor_jh,author,1,,
bynum_t:1985,bynum_t,author,0,,
bynum_t:1987,bynum_t,author,0,,
bynum_t:2010,bynum_t,author,0,,
