bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ceard_j:1976,ceard_j,author,0,,
cebik:1975,cebik,author,0,,
cebik:1980,cebik,author,0,,
cebollasanahuja:2017,cebollasanahuja,author,0,,
ceccarelli_g:2006,ceccarelli_g,author,0,,
ceccarelli_l:2001,ceccarelli_l,author,0,,
cecchetto_c:2016,cecchetto_c,author,0,,
cecchetto_d:2013,cecchetto_d,author,0,,
cecchi:2014,cecchi,author,0,,
cecchi:2014a,cecchi,author,0,,
cecchinato:2018,cecchinato,author,0,,
cecconi_e:2016,cecconi_e,author,0,,
ceci_sj-howe:1982,ceci_sj,author,0,,
ceci_sj-howe:1982,howe_m,author,1,,
cecilialafuente:1987,cecilialafuente,author,0,,
cecilialafuente:1990,cecilialafuente,author,0,,
cecilialafuente:1993,cecilialafuente,author,0,,
cecilialafuente:1993a,cecilialafuente,author,0,,
cecilialafuente:1996,cecilialafuente,author,0,,
cecilialafuente:2000,cecilialafuente,author,0,,
cecilialafuente:2000a,cecilialafuente,author,0,,
cecilialafuente:2002,cecilialafuente,author,0,,
cecilialafuente:2002a,cecilialafuente,author,0,,
cecilialafuente:2005,cecilialafuente,author,0,,
cecilialafuente:2005a,cecilialafuente,author,0,,
cecilialafuente:2018,cecilialafuente,author,0,,
cederstroem:2018,cederstroem,author,0,,
cegla:1981,cegla,author,0,,
cei-french:2006,cei,author,0,,
cei-french:2006,french_s,author,1,,
cei-french:2009,cei,author,0,,
cei-french:2009,french_s,author,1,,
cekic:1982,cekic,author,0,,
cekic:1991,cekic,author,0,,
cekic:1996,cekic,author,0,,
celaconde:1996,celaconde,author,0,,
celani-jansana:1997,celani,author,0,,
celani-jansana:1997,jansana,author,1,,
celano_aj:1990,celano_aj,author,0,,
celano_aj:1995,celano_aj,author,0,,
celano_aj:2011,celano_aj,author,0,,
celano_aj:2016,celano_aj,author,0,,
celano_aj:2021,celano_aj,author,0,,
celano_b:1999,celano_b,author,0,,
celano_b:2013,celano_b,author,0,,
celeghin-etal:2015,celeghin,author,0,,
celeghin-etal:2015,barabas_m,author,1,,
celeghin-etal:2015,mancini_fr,author,2,,
celeghin-etal:2015,bendini,author,3,,
celeghin-etal:2015,pedrotti_e,author,4,,
celeghin-etal:2015,prior_mas,author,5,,
celeghin-etal:2015,cantagallo_a,author,6,,
celeghin-etal:2015,savazzi_s,author,7,,
celeghin-etal:2015,marzi_ca,author,8,,
celenza_ah:2014,celenza_ah,author,0,,
