bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
chabas_j:2006,chabas_j,author,0,,
chabaud:2004,chabaud,author,0,,
chaberlot:2003,chaberlot,author,0,,
chabert:2004,chabert,author,0,,
chabot:2005,chabot,author,0,,
chadha-nichols:2019,chadha,author,0,,
chadha-nichols:2019,nichols_s,author,1,,
chadha:2009,chadha,author,0,,
chadha:2015,chadha,author,0,,
chadha:2017,chadha,author,0,,
chadha:2017a,chadha,author,0,,
chadha:2018,chadha,author,0,,
chadha:2020,chadha,author,0,,
chadha:2023,chadha,author,0,,
chadwick_h:1999,chadwick_h,author,0,,
chadwick_h:2001,chadwick_h,author,0,,
chadwick_ja:1927,chadwick_ja,author,0,,
chadwick_ja:1927a,chadwick_ja,author,0,,
chadwick_ja:1928,chadwick_ja,author,0,,
chadwick_ja:1928a,chadwick_ja,author,0,,
chadwick_ja:1928b,chadwick_ja,author,0,,
chadwick_ja:1928c,chadwick_ja,author,0,,
chadwick_ja:1929,chadwick_ja,author,0,,
chadwick_r-cazeaux:1992,chadwick_r,editor,0,,
chadwick_r-cazeaux:1992,cazeaux,editor,1,,
chadwick_r-cazeaux:1992a,chadwick_r,editor,0,,
chadwick_r-cazeaux:1992a,cazeaux,editor,1,,
chadwick_r-cazeaux:1992b,chadwick_r,editor,0,,
chadwick_r-cazeaux:1992b,cazeaux,editor,1,,
chadwick_r-cazeaux:1992c,chadwick_r,editor,0,,
chadwick_r-cazeaux:1992c,cazeaux,editor,1,,
chadwick_r-hedgecoe:2002,chadwick_r,author,0,,
chadwick_r-hedgecoe:2002,hedgecoe,author,1,,
chadwick_r-schueklenk:2020,chadwick_r,author,0,,
chadwick_r-schueklenk:2020,schueklenk,author,1,,
chadwick_r:1998,chadwick_r,author,0,,
chadwick_r:2000,chadwick_r,author,0,,
chadwick_r:2009,chadwick_r,author,0,,
chadwick_rh:1967a,chadwick_rh,author,0,,
chadwick_rh:1967b,chadwick_rh,author,0,,
chadwick_rh:1967c,chadwick_rh,author,0,,
chae_la:2020,chae_la,author,0,,
chafe:1976,chafe,author,0,,
chafe:1980,chafe,editor,0,,
chafe:1980a,chafe,author,0,,
chafe:1988,chafe,author,0,,
chafe:1994,chafe,author,0,,
chafe:1996,chafe,author,0,,
chafe:2000,chafe,author,0,,
chaffee:2011,chaffee,author,0,,
chafuen:2021,chafuen,author,0,,
chagrov-chagrova:2006,chagrov,author,0,,
chagrov-chagrova:2006,chagrova,author,1,,
chagrov-rybakov:2003,chagrov,author,0,,
chagrov-rybakov:2003,rybakov_mn,author,1,,
chagrov-zakharyaschev:1997,chagrov,author,0,,
chagrov-zakharyaschev:1997,zakharyaschev,author,1,,
chagrova:1998,chagrova,author,0,,
chai_d:2014,chai_d,author,0,,
chai_jy-bierman:1997,chai_jy,author,0,,
chai_jy-bierman:1997,biermann,author,1,,
chai_jy-etal:2002,chai_jy,author,0,,
chai_jy-etal:2002,horvath_v,author,1,,
chai_jy-etal:2002,nicolov_n,author,2,,
chai_jy-etal:2002,stys_m,author,3,,
chai_jy-etal:2002,kambhatla,author,4,,
chai_jy-etal:2002,zadrozny,author,5,,
chai_jy-etal:2002,melville_o,author,6,,
chaitin:1970,chaitin,author,0,,
chaitin:1974,chaitin,author,0,,
chaitin:1987,chaitin,author,0,,
chaitin:1988,chaitin,author,0,,
chaitin:1998,chaitin,author,0,,
chaitin:1999,chaitin,author,0,,
chaitin:2001,chaitin,author,0,,
chaitin:2005,chaitin,author,0,,
chaitin:2008,chaitin,author,0,,
chajewska-etal:1998,chajewska,author,0,,
chajewska-etal:1998,getoor_l,author,1,,
chajewska-etal:1998,norman_j,author,2,,
chajewska-etal:1998,shahar_y,author,3,,
chakma:1981,chakma,author,0,,
chakrabarti_a:1985,chakrabarti_a,author,0,,
chakrabarti_a:1993,chakrabarti_a,author,0,,
chakrabarti_a:1995,chakrabarti_a,author,0,,
chakrabarti_a:1996,chakrabarti_a,author,0,,
chakrabarti_a:1997,chakrabarti_a,author,0,,
chakrabarti_a:1998,chakrabarti_a,author,0,,
chakrabarti_a:2006,chakrabarti_a,author,0,,
chakrabarti_a:2006a,chakrabarti_a,author,0,,
chakrabarti_an-dhar:2017,chakrabarti_an,author,0,,
chakrabarti_an-dhar:2017,dhar_a,author,1,,
chakrabarti_an-dhar:2017a,chakrabarti_an,author,0,,
chakrabarti_an-dhar:2017a,dhar_a,author,1,,
chakrabarti_ar-gosh:2011,chakrabarti_ar,author,0,,
chakrabarti_ar-gosh:2011,gosh_jk,author,1,,
chakrabarti_c-fairbanks:2010,chakrabarti_c,editor,0,,
chakrabarti_c-fairbanks:2010,fairbanks_sj,editor,1,,
chakrabarti_c-vulich:2014,chakrabarti_c,editor,0,,
chakrabarti_c-vulich:2014,vulich,editor,1,,
chakrabarti_pp-etal:1986,chakrabarti_pp,author,0,,
chakrabarti_pp-etal:1986,ghose_s,author,1,,
chakrabarti_pp-etal:1986,desarkar_sc,author,2,,
chakrabarti_pp-etal:1987,chakrabarti_pp,author,0,,
chakrabarti_pp-etal:1987,ghose_s,author,1,,
chakrabarti_pp-etal:1987,desarkar_sc,author,2,,
chakrabarti_pp-etal:1989,chakrabarti_pp,author,0,,
chakrabarti_pp-etal:1989,ghose_s,author,1,,
chakrabarti_pp-etal:1989,acharya_a,author,2,,
chakrabarti_pp-etal:1989,desarkar_sc,author,3,,
chakrabarti_pp:1994,chakrabarti_pp,author,0,,
chakrabarti_s:1993,chakrabarti_s,author,0,,
chakrabarti_sh:2015,chakrabarti_sh,author,0,,
chakrabarty_m:2002,chakrabarty_m,author,0,,
chakrabarty_tk:1982,chakrabarty_tk,author,0,,
chakraborti_c:1997,chakraborti_c,author,0,,
chakraborti_c:1998,chakraborti_c,author,0,,
chakraborti_c:2005,chakraborti_c,author,0,,
chakraborti_c:2023,chakraborti_c,author,0,,
chakraborti_s:1993,chakraborti_s,author,0,,
chakraborty_a:1990,chakraborty_a,author,0,,
chakraborty_a:1996,chakraborty_a,author,0,,
chakraborty_a:2002,chakraborty_a,author,0,,
chakraborty_mn:2004,chakraborty_mn,author,0,,
chakraborty_nn:1993,chakraborty_nn,author,0,,
