bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
claassen_a:2007,claassen_a,author,0,,
claassen_em:1967,claassen_em,editor,0,,
claassen_r:2012,claassen_r,author,0,,
claassen_r:2014,claassen_r,author,0,,
claassen_r:2017,claassen_r,author,0,,
claassen_r:2018,claassen_r,author,0,,
claassen_r:2023,claassen_r,author,0,,
clack_be-clack:2019,clack_be,author,0,,
clack_be-clack:2019,clack_br,author,1,,
clack_be:1999,clack_be,author,0,,
clack_be:2008,clack_be,author,0,,
clack_be:2012,clack_be,author,0,,
clack_be:2013,clack_be,author,0,,
clack_be:2015,clack_be,author,0,,
clack_be:2017,clack_be,author,0,,
cladis:2005,cladis,author,0,,
claesges-held:1972,claesges,editor,0,,
claesges-held:1972,held_k,editor,1,,
claesges:1964,claesges,author,0,,
claesges:1971,claesges,author,0,,
claesges:1972,claesges,author,0,,
claesges:1972a,claesges,author,0,,
claessens:2012,claessens,author,0,,
claeys:1984,claeys,author,0,,
claeys:1991,claeys,author,0,,
claeys:2013,claeys,author,0,,
clagett:1959,clagett,author,0,,
clagett:1969,clagett,author,0,,
clancey-soloway:1990,clancey,author,0,,
clancey-soloway:1990,soloway,author,1,,
clancey-weld:1996,clancey,editor,0,,
clancey-weld:1996,weld_ds,editor,1,,
clancey:1983,clancey,author,0,,
clancey:1985,clancey,author,0,,
clancey:1985a,clancey,author,0,,
clancey:1992,clancey,author,0,,
clancey:1993,clancey,author,0,,
clancey:1993a,clancey,author,0,,
clancy_g:2004,clancy_g,author,0,,
clancy_p:1972,clancy_p,author,0,,
clancy_s:2013,clancy_s,author,0,,
clancy_s:2016,clancy_s,author,0,,
clancy_s:2019,clancy_s,author,0,,
claparede:1905,claparede,editor,0,,
claparede:1905a,claparede,author,0,,
claparede:1925,claparede,author,0,,
claparede:1930,claparede,author,0,,
claparede:1995,claparede,author,0,,
clapham_a:2007,clapham_a,author,0,,
clapham_a:2015,clapham_a,author,0,,
clapin:1991,clapin,author,0,,
clapin:1997,clapin,author,0,,
clapin:2002,clapin,editor,0,,
clapin:2002a,clapin,author,0,,
clapin:2002b,clapin,author,0,,
clapp-stainton:2002,clapp,author,0,,
clapp-stainton:2002,stainton_r,author,1,,
clapp:1995,clapp,author,0,,
clapp:2000,clapp,author,0,,
clapp:2001,clapp,author,0,,
clapp:2002a,clapp,author,0,,
clapp:2002b,clapp,author,0,,
clapp:2005,clapp,author,0,,
clapp:2007,clapp,author,0,,
clapp:2009,clapp,author,0,,
clapp:2009a,clapp,author,0,,
clapp:2010,clapp,author,0,,
clapp:2012,clapp,author,0,,
clapp:2012a,clapp,author,0,,
clapp:2013,clapp,author,0,,
clapp:2015,clapp,author,0,,
clapp:2017,clapp,author,0,,
clapp:2020,clapp,author,0,,
claridge_c:2019,claridge_c,author,0,,
claridge_g:1981,claridge_g,author,0,,
claridge_mf:2010,claridge_mf,author,0,,
clark_aj:1984,clark_aj,author,0,,
clark_aj:1985,clark_aj,author,0,,
clark_al-lappin:2012,clark_al,author,0,,
clark_al-lappin:2012,lappin,author,1,,
clark_al:2000,clark_al,author,0,,
clark_an-chalmers:1998,clark_an,author,0,,
clark_an-chalmers:1998,chalmers_dj,author,1,,
clark_an-etal:1996,clark_an,editor,0,,
clark_an-etal:1996,ezquerro,editor,1,,
clark_an-etal:1996,larrazabal,editor,2,,
clark_an-etal:2013,clark_an,editor,0,,
clark_an-etal:2013,kiverstein,editor,1,,
clark_an-etal:2013,vierkant,editor,2,,
clark_an-etal:2013a,clark_an,author,0,,
clark_an-etal:2013a,kiverstein,author,1,,
clark_an-etal:2013a,vierkant,author,2,,
clark_an-karmiloffsmith:1994,clark_an,author,0,,
clark_an-karmiloffsmith:1994,karmiloffsmith,author,1,,
clark_an-lutz:1992,clark_an,editor,0,,
clark_an-lutz:1992,lutz_ru,editor,1,,
clark_an-millican:1996,clark_an,editor,0,,
clark_an-millican:1996,millican,editor,1,,
clark_an-thornton:1997,clark_an,author,0,,
clark_an-thornton:1997,thornton_s,author,1,,
clark_an-toribio:1986,clark_an,editor,0,,
clark_an-toribio:1986,toribio,editor,1,,
clark_an-toribio:1988,clark_an,editor,0,,
clark_an-toribio:1988,toribio,editor,1,,
clark_an-toribio:1989,clark_an,editor,0,,
clark_an-toribio:1989,toribio,editor,1,,
clark_an-toribio:1994,clark_an,author,0,,
clark_an-toribio:1994,toribio,author,1,,
clark_an-toribio:1998,clark_an,editor,0,,
clark_an-toribio:1998,toribio,editor,1,,
clark_an-toribio:1998a,clark_an,editor,0,,
clark_an-toribio:1998a,toribio,editor,1,,
clark_an-toribio:1998b,clark_an,editor,0,,
clark_an-toribio:1998b,toribio,editor,1,,
clark_an-toribio:1998c,clark_an,editor,0,,
clark_an-toribio:1998c,toribio,editor,1,,
clark_an-toribio:1998d,clark_an,editor,0,,
clark_an-toribio:1998d,toribio,editor,1,,
clark_an:1980,clark_an,author,0,,
clark_an:1985,clark_an,author,0,,
clark_an:1985a,clark_an,author,0,,
clark_an:1985b,clark_an,author,0,,
clark_an:1986,clark_an,author,0,,
clark_an:1986a,clark_an,author,0,,
clark_an:1987,clark_an,author,0,,
clark_an:1987a,clark_an,author,0,,
clark_an:1987b,clark_an,author,0,,
clark_an:1988,clark_an,author,0,,
clark_an:1989,clark_an,author,0,,
clark_an:1989a,clark_an,author,0,,
clark_an:1989b,clark_an,author,0,,
clark_an:1989c,clark_an,author,0,,
clark_an:1990,clark_an,author,0,,
clark_an:1990a,clark_an,author,0,,
clark_an:1990b,clark_an,author,0,,
clark_an:1991,clark_an,author,0,,
clark_an:1991a,clark_an,author,0,,
clark_an:1991b,clark_an,author,0,,
clark_an:1993,clark_an,author,0,,
clark_an:1993a,clark_an,author,0,,
clark_an:1993b,clark_an,author,0,,
clark_an:1994,clark_an,author,0,,
clark_an:1994a,clark_an,author,0,,
