bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
cubitt-sugden:1997,cubitt,author,0,,
cubitt-sugden:1997,sugden,author,1,,
cubitt-sugden:2003,cubitt,author,0,,
cubitt-sugden:2003,sugden,author,1,,
cubitt-sugden:2014,cubitt,author,0,,
cubitt-sugden:2014,sugden,author,1,,
cubougarte:2018,cubougarte,author,0,,
cucchiarelli-etal:1998,cucchiarelli,author,0,,
cucchiarelli-etal:1998,luzi_d,author,1,,
cucchiarelli-etal:1998,velardi_p,author,2,,
cucchiarelli-velardi:2001,cucchiarelli,author,0,,
cucchiarelli-velardi:2001,velardi_p,author,1,,
cucciolla:2019,cucciolla,author,0,,
cucu_ac:2022,cucu_ac,author,0,,
cuda_t:1985,cuda_t,author,0,,
cudd-jones:2005,cudd,author,0,,
cudd-jones:2005,jones_le,author,1,,
cudd-norlock:2018,cudd,author,0,,
cudd-norlock:2018,norlock,author,1,,
cudd:2002,cudd,author,0,,
cudd:2003,cudd,author,0,,
cudd:2006,cudd,author,0,,
cudd:2014,cudd,author,0,,
cudd:2018,cudd,author,0,,
cuddy:2015,cuddy,editor,0,,
cudia-singletary:1968,cudia,author,0,,
cudia-singletary:1968,singletary_we,author,1,,
cuenod-pun:1963,cuenod,author,0,,
cuenod-pun:1963,pun,author,1,,
cuenod-pun:1963a,cuenod,author,0,,
cuenod-pun:1963a,pun,author,1,,
cuenod:1971,cuenod,author,0,,
cuersgen:2002,cuersgen,author,0,,
cuetocuenca:2018,cuetocuenca,author,0,,
cuffaro-fletcher:2018,cuffaro,editor,0,,
cuffaro-fletcher:2018,fletcher_sc,editor,1,,
cuffaro:2012,cuffaro,author,0,,
cuffaro:2022,cuffaro,author,0,,
cugno:2004,cugno,author,0,,
cui_b-etal:1999,cui_b,author,0,,
cui_b-etal:1999,swift_t,author,1,,
cui_b-etal:1999,warren_ds,author,2,,
cui_b-swift:2002,cui_b,author,0,,
cui_b-swift:2002,swift_t,author,1,,
cui_z-etal:1992,cui_z,author,0,,
cui_z-etal:1992,cohn_ag,author,1,,
cui_z-etal:1992,randell,author,2,,
cukier_a:2018,cukier_a,author,0,,
culbert:2012,culbert,author,0,,
culbertson:1982,culbertson,author,0,,
culik:1977,culik,author,0,,
culina:2001,culina,author,0,,
culina:2013,culina,author,0,,
cull_nj:2013,cull_nj,author,0,,
cullen_b:1987,cullen_b,author,0,,
cullen_cm:2002,cullen_cm,author,0,,
cullen_cm:2009,cullen_cm,author,0,,
cullen_cm:2012,cullen_cm,author,0,,
cullen_j:2017,cullen_j,author,0,,
culler_j:1989,culler_j,author,0,,
culler_j:2002,culler_j,author,0,,
culler_j:2019,culler_j,author,0,,
culleton_as-hofmeisterpich:2014,culleton_as,editor,0,,
culleton_as-hofmeisterpich:2014,hofmeisterpich,editor,1,,
culleton_as:2018,culleton_as,author,0,,
cullicover-etal:1977,cullicover,editor,0,,
