bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
czajka_a-isyar:2014,czajka_a,editor,0,,
czajka_a-isyar:2014,isyar_b,editor,1,,
czaniera:1995,czaniera,author,0,,
czaniera:2001,czaniera,author,0,,
czaniera:2003,czaniera,author,0,,
czarnawska:1995,czarnawska,author,0,,
czarnecki_t-etal:2010,czarnecki_t,editor,0,,
czarnecki_t-etal:2010,kijaniaplacek,editor,1,,
czarnecki_t-etal:2010,poller_o,editor,2,,
czarnecki_t-etal:2010,wolenski,editor,3,,
czarnecki_t:1998,czarnecki_t,author,0,,
czarnecki_t:2002,czarnecki_t,author,0,,
czarnecki_t:2003,czarnecki_t,author,0,,
czarnecki_t:2005,czarnecki_t,author,0,,
czarniawska:2015,czarniawska,author,0,,
czarnik:2002,czarnik,author,0,,
czarnik:2004,czarnik,author,0,,
czarnocka_m-zytkow:1982,czarnocka_m,author,0,,
czarnocka_m-zytkow:1982,zytkow_jm,author,1,,
czarnocka_m:2018,czarnocka_m,author,0,,
czelakowski-pigozzi:1999,czelakowski,author,0,,
czelakowski-pigozzi:1999,pigozzi_d,author,1,,
czelakowski:1981,czelakowski,author,0,,
czelakowski:1995,czelakowski,author,0,,
czelakowski:1996,czelakowski,author,0,,
czelakowski:2009,czelakowski,author,0,,
czelakowski:2016,czelakowski,author,0,,
czempiel_eo:2016,czempiel_eo,author,0,,
czermak_h-weingartner_p:1983,czermak_h,author,0,,
czermak_h-weingartner_p:1983,weingartner_p,author,1,,
czermak_j:1974,czermak_j,author,0,,
czermak_j:1975,czermak_j,author,0,,
czermak_j:1977,czermak_j,author,0,,
czermak_j:1978,czermak_j,author,0,,
czerniawski_j:1998,czerniawski_j,author,0,,
czerniawski_j:2002,czerniawski_j,author,0,,
czerwinski:1977,czerwinski,author,0,,
czerwinski:1977a,czerwinski,author,0,,
czezowski:1948,czezowski,author,0,,
czezowski:1949,czezowski,author,0,,
czezowski:1958,czezowski,author,0,,
czezowski:1958a,czezowski,author,0,,
czezowski:1965,czezowski,author,0,,
czezowski:1965a,czezowski,author,0,,
czezowski:1977,czezowski,author,0,,
czezowski:1984,czezowski,author,0,,
czezowski:2000,czezowski,author,0,,
