bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
diaconescu_d-etal:2016,diaconescu_d,author,0,,
diaconescu_d-etal:2016,metcalfe_g,author,1,,
diaconescu_d-etal:2016,schnueriger_l,author,2,,
diaconis-freedman:1980,diaconis,author,0,,
diaconis-freedman:1980,freedman_d,author,1,,
diaconis-skyrms:2017,diaconis,author,0,,
diaconis-skyrms:2017,skyrms,author,1,,
diaconu:2005,diaconu,author,0,,
diaconu:2006,diaconu,author,0,,
diagne:2000,diagne,author,0,,
diamantidis-etal:2000,diamantidis,author,0,,
diamantidis-etal:2000,karlis_d,author,1,,
diamantidis-etal:2000,giakoumakis,author,2,,
diamond_c-teichman:1979,diamond_c,editor,0,,
diamond_c-teichman:1979,teichman_j,editor,1,,
diamond_c:1959,diamond_c,author,0,,
diamond_c:1967,diamond_c,author,0,,
diamond_c:1988,diamond_c,author,0,,
diamond_c:1991,diamond_c,author,0,,
diamond_c:1991a,diamond_c,author,0,,
diamond_c:1997,diamond_c,author,0,,
diamond_c:1999,diamond_c,author,0,,
diamond_c:2010,diamond_c,author,0,,
diamond_c:2010b,diamond_c,author,0,,
diamond_c:2012a,diamond_c,author,0,,
diamond_c:2013,diamond_c,author,0,,
diamond_c:2014a,diamond_c,author,0,,
diamond_c:2016,diamond_c,author,0,,
diamond_c:2017,diamond_c,author,0,,
diamond_c:2018,diamond_c,author,0,,
diamond_c:2021,diamond_c,author,0,,
diamond_ml:1964,diamond_ml,author,0,,
diamond_ml:1967,diamond_ml,author,0,,
diamond_pj:1989,diamond_pj,author,0,,
diamond_s:1969,diamond_s,author,0,,
diamond_wc:1978,diamond_wc,author,0,,
diangitukwa:2004,diangitukwa,author,0,,
diano_c:2020,diano_c,author,0,,
diao_s:2015,diao_s,author,0,,
diaper:1989,diaper,editor,0,,
dias_n:2004,dias_n,author,0,,
diawara_m:2013,diawara_m,author,0,,
diaz_ja:1996,diaz_ja,author,0,,
diaz_ja:1999,diaz_ja,author,0,,
diaz_ja:2000,diaz_ja,author,0,,
diaz_mh:2011,diaz_mh,author,0,,
diaz_r:2024,diaz_r,author,0,,
diazlegaspe:2008,diazlegaspe,author,0,,
