bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
doan_md:2020,doan_md,author,0,,
doannguyen-halevy:2005,doannguyen,author,0,,
doannguyen-halevy:2005,halevy_ay,author,1,,
doannguyen:1998,doannguyen,author,0,,
dobbin:1991,dobbin,author,0,,
dobbs_bjt:1988,dobbs_bjt,author,0,,
dobbs_hac:1971,dobbs_hac,author,0,,
dobbsweinstein:1998,dobbsweinstein,author,0,,
dobbsweinstein:2003,dobbsweinstein,author,0,,
dobbsweinstein:2009,dobbsweinstein,author,0,,
dobbsweinstein:2014,dobbsweinstein,author,0,,
dobe:2014,dobe,author,0,,
dobe:2018,dobe,author,0,,
dobel:1986,dobel,author,0,,
dobler_e:1946,dobler_e,author,0,,
dobler_s:1991,dobler_s,author,0,,
dobler_t:2013,dobler_t,author,0,,
dobos_n-etal:2011,dobos_n,editor,0,,
dobos_n-etal:2011,barry_c,editor,1,,
dobos_n-etal:2011,pogge,editor,2,,
dobos_n:2011,dobos_n,author,0,,
dobos_n:2011a,dobos_n,author,0,,
dobos_n:2013,dobos_n,author,0,,
dobos_n:2020,dobos_n,author,0,,
doboszewski_j:2017,doboszewski_j,author,0,,
dobre-nyden:2013,dobre,editor,0,,
dobre-nyden:2013,nyden,editor,1,,
dobre-nyden:2013a,dobre,author,0,,
dobre-nyden:2013a,nyden,author,1,,
dobre:2011,dobre,author,0,,
dobre:2013,dobre,author,0,,
dobrinen:2003,dobrinen,author,0,,
dobson_j:2016,dobson_j,author,0,,
dobson_m-ells:2001,dobson_m,editor,0,,
dobson_m-ells:2001,wells_s,editor,1,,
dobson_m:1994,dobson_m,author,0,,
doby_jt:1989,doby_jt,author,0,,
dobzhansky_t:1969,dobzhansky_t,author,0,,
docekal-kucerova:2011,docekal,author,0,,
docekal-kucerova:2011,kucerova,author,1,,
docherty_g-foulkes:2000,docherty_g,author,0,,
docherty_g-foulkes:2000,foulkes_p,author,1,,
docherty_t:2011,docherty_t,author,0,,
dochhorn_j:2011,dochhorn_j,editor,0,,
dockrill:1997,dockrill,author,0,,
dockx_s:1948,dockx_s,author,0,,
dockx_s:1976,dockx_s,editor,0,,
dockx_s:1977,dockx_s,author,0,,
dod:1982,dod,author,0,,
dodaro_r:1999,dodaro_r,author,0,,
dodd_d-sweeney:2010,dodd_d,author,0,,
dodd_d-sweeney:2010,sweeney_p,author,1,,
dodd_d-zardini:2014,dodd_d,editor,0,,
dodd_d-zardini:2014,zardini,editor,1,,
dodd_d-zardini:2014a,dodd_d,author,0,,
dodd_d-zardini:2014a,zardini,author,1,,
dodd_d:2009,dodd_d,author,0,,
dodd_d:2011,dodd_d,author,0,,
dodd_d:2011a,dodd_d,author,0,,
dodd_d:2012,dodd_d,author,0,,
dodd_d:2012a,dodd_d,author,0,,
dodd_d:2012b,dodd_d,author,0,,
dodd_d:2014,dodd_d,author,0,,
dodd_d:2017,dodd_d,author,0,,
dodd_ja:1997,dodd_ja,author,0,,
dodd_ja:1998,dodd_ja,author,0,,
dodd_ja:2004,dodd_ja,author,0,,
dodd_ja:2007,dodd_ja,author,0,,
dodd_ja:2010,dodd_ja,author,0,,
dodd_ja:2012,dodd_ja,author,0,,
dodd_ja:2017,dodd_ja,author,0,,
dodd_ja:2021,dodd_ja,author,0,,
dodd_jo:2014,dodd_jo,author,0,,
dodd_jo:2017,dodd_jo,author,0,,
dodd_ju-hornsby:1992,dodd_ju,author,0,,
dodd_ju-hornsby:1992,hornsby,author,1,,
dodd_ju:1995,dodd_ju,author,0,,
