bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
dyal:1976,dyal,author,0,,
dybjer-etal:1995,dybjer,editor,0,,
dybjer-etal:1995,nordstroem_b,editor,1,,
dybjer-etal:1995,smith_janm,editor,2,,
dybjer-etal:2012,dybjer,editor,0,,
dybjer-etal:2012,lindstroem_s,editor,1,,
dybjer-etal:2012,palmgren,editor,2,,
dybjer-etal:2012,sundholm_g,editor,3,,
dybjer:2012,dybjer,author,0,,
dybkjaer_l-bernsen:2000,dybkjaer_l,author,0,,
dybkjaer_l-bernsen:2000,bernsen,author,1,,
dybkjaer_l-etal:1997,dybkjaer_l,author,0,,
dybkjaer_l-etal:1997,bernsen,author,1,,
dybkjaer_l-etal:1997,dybkjaer_h,author,2,,
dybkjaer_l-etal:2000,dybkjaer_l,editor,0,,
dybkjaer_l-etal:2000,hasida_k,editor,1,,
dybkjaer_l-etal:2000,traum,editor,2,,
dyche:1980,dyche,author,0,,
dyche:1982,dyche,author,0,,
dyck_b:2020,dyck_b,author,0,,
dyck_c-wunderlich:2018,dyck_c,editor,0,,
dyck_c-wunderlich:2018,wunderlich_f,editor,1,,
dyck_c-wunderlich:2018a,dyck_c,author,0,,
dyck_c-wunderlich:2018a,wunderlich_f,author,1,,
dyck_c:2005,dyck_c,author,0,,
dyck_c:2006,dyck_c,author,0,,
dyck_c:2008,dyck_c,author,0,,
dyck_c:2009,dyck_c,author,0,,
dyck_c:2010,dyck_c,author,0,,
dyck_c:2011,dyck_c,author,0,,
dyck_c:2011a,dyck_c,author,0,,
dyck_c:2012,dyck_c,author,0,,
dyck_c:2014,dyck_c,author,0,,
dyck_c:2016,dyck_c,author,0,,
dyck_c:2016a,dyck_c,author,0,,
dyck_c:2016b,dyck_c,author,0,,
dyck_c:2017,dyck_c,author,0,,
dyck_c:2018,dyck_c,author,0,,
dyck_c:2018a,dyck_c,author,0,,
dyck_c:2018b,dyck_c,author,0,,
dyck_c:2021,dyck_c,editor,0,,
dyck_j:2021,dyck_j,author,0,,
dyck_n:2010,dyck_n,author,0,,
dyckhoff-etal:1996,dyckhoff,editor,0,,
dyckhoff-etal:1996,herre,editor,1,,
dyckhoff-etal:1996,schroederheister,editor,2,,
dyckhoff-weinsing:2001,dyckhoff,author,0,,
dyckhoff-weinsing:2001,weinsing_h,author,1,,
dyckhoff:1992,dyckhoff,author,0,,
dyckhoff:1994,dyckhoff,editor,0,,
dyckhoff:1994a,dyckhoff,editor,0,,
dyckhoff:2001,dyckhoff,author,0,,
dye:1986,dye,author,0,,
dye:1988,dye,author,0,,
dye:1989,dye,author,0,,
dye:1992,dye,author,0,,
dyer_mg:1983,dyer_mg,author,0,,
dyer_mg:1990,dyer_mg,author,0,,
dyer_mg:1990a,dyer_mg,author,0,,
dyer_mg:1991,dyer_mg,author,0,,
dyer_mg:1994,dyer_mg,author,0,,
dyer_mg:1995,dyer_mg,author,0,,
dyer_s:2020,dyer_s,author,0,,
dyke_h-bardon:2013,dyke_h,editor,0,,
dyke_h-bardon:2013,bardon_a,editor,1,,
dyke_h-bardon:2013a,dyke_h,author,0,,
dyke_h-bardon:2013a,bardon_a,author,1,,
dyke_h-maclaurin:2012,dyke_h,author,0,,
dyke_h-maclaurin:2012,maclaurin_j,author,1,,
dyke_h-maclaurin:2013,dyke_h,author,0,,
dyke_h-maclaurin:2013,maclaurin_j,author,1,,
dyke_h-maclaurin:2013a,dyke_h,author,0,,
dyke_h-maclaurin:2013a,maclaurin_j,author,1,,
dyke_h:1998,dyke_h,author,0,,
dyke_h:2001,dyke_h,author,0,,
dyke_h:2002,dyke_h,author,0,,
dyke_h:2003,dyke_h,editor,0,,
dyke_h:2003a,dyke_h,author,0,,
dyke_h:2003b,dyke_h,author,0,,
dyke_h:2003c,dyke_h,author,0,,
dyke_h:2003d,dyke_h,author,0,,
dyke_h:2007,dyke_h,author,0,,
dyke_h:2007a,dyke_h,author,0,,
dyke_h:2008,dyke_h,editor,0,,
dyke_h:2008a,dyke_h,author,0,,
dyke_h:2008b,dyke_h,author,0,,
dyke_h:2012,dyke_h,author,0,,
dyke_h:2012a,dyke_h,author,0,,
dyke_h:2013,dyke_h,author,0,,
dyke_mm:2020,dyke_mm,author,0,,
dylus_a:1993,dylus_a,author,0,,
dym:1985,dym,author,0,,
dym:1985a,dym,author,0,,
dymetman:1998,dymetman,author,0,,
dynel_m:2011,dynel_m,author,0,,
dynel_m:2015,dynel_m,author,0,,
dynel_m:2019,dynel_m,author,0,,
dyrkolbotn-walicki:2014,dyrkolbotn,author,0,,
dyrkolbotn-walicki:2014,walicki,author,1,,
dyrness:2007,dyrness,author,0,,
dyson_fj:1953,dyson_fj,author,0,,
dyson_fj:2004,dyson_fj,author,0,,
dyson_h:2009,dyson_h,author,0,,
dyson_me:2006,dyson_me,author,0,,
dywan_z:1984,dywan_z,author,0,,
dywan_z:1985,dywan_z,author,0,,
