bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
effingham-melia_j:2007,effingham,author,0,,
effingham-melia_j:2007,melia_j,author,1,,
effingham-robson:2007,effingham,author,0,,
effingham-robson:2007,robson_j,author,1,,
effingham:2009,effingham,author,0,,
effingham:2009a,effingham,author,0,,
effingham:2010,effingham,author,0,,
effingham:2010a,effingham,author,0,,
effingham:2011,effingham,author,0,,
effingham:2011a,effingham,author,0,,
effingham:2011b,effingham,author,0,,
effingham:2011c,effingham,author,0,,
effingham:2012,effingham,author,0,,
effingham:2012a,effingham,author,0,,
effingham:2012b,effingham,author,0,,
effingham:2012c,effingham,author,0,,
effingham:2013,effingham,author,0,,
effingham:2013a,effingham,author,0,,
effingham:2015,effingham,author,0,,
effingham:2015a,effingham,author,0,,
effingham:2020a,effingham,author,0,,
effingham:2022,effingham,author,0,,
effingham:2022a,effingham,author,0,,
effros:1998,effros,author,0,,
efird-stoneham:2005,efird,author,0,,
efird-stoneham:2005,stoneham,author,1,,
efird-stoneham:2005a,efird,author,0,,
efird-stoneham:2005a,stoneham,author,1,,
efird-stoneham:2005b,efird,author,0,,
efird-stoneham:2005b,stoneham,author,1,,
efird-stoneham:2006,efird,author,0,,
efird-stoneham:2006,stoneham,author,1,,
efird-stoneham:2008,efird,author,0,,
efird-stoneham:2008,stoneham,author,1,,
efird-stoneham:2009,efird,author,0,,
efird-stoneham:2009,stoneham,author,1,,
efird-stoneham:2009a,efird,author,0,,
efird-stoneham:2009a,stoneham,author,1,,
efird-stoneham:2013,efird,author,0,,
efird-stoneham:2013,stoneham,author,1,,
efird:2010,efird,author,0,,
efird:2010a,efird,author,0,,
eflin:2000,eflin,author,0,,
efron_a:1992,efron_a,author,0,,
efron_r:1969,efron_r,author,0,,
efron_r:1970,efron_r,author,0,,
efstathiou-mirmalek:2015,efstathiou,author,0,,
efstathiou-mirmalek:2015,mirmalek_z,author,1,,
efthymiadis:2017,efthymiadis,author,0,,
