bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ekbia-maguitman:2001,ekbia,author,0,,
ekbia-maguitman:2001,maguitman_a,author,1,,
ekeh:2011,ekeh,author,0,,
ekeland_a-soether:2018,ekeland_a,author,0,,
ekeland_a-soether:2018,soether_ba,author,1,,
ekeland_i:2006,ekeland_i,author,0,,
ekeli_ks:2012,ekeli_ks,author,0,,
ekeli_ks:2016,ekeli_ks,author,0,,
ekeloef:1964,ekeloef,author,0,,
ekeloef:1971,ekeloef,author,0,,
ekeloef:1973,ekeloef,author,0,,
ekeloef:1984,ekeloef,author,0,,
ekenberg_t:2009,ekenberg_t,author,0,,
ekenberg_t:2014,ekenberg_t,author,0,,
ekenberg_t:2016b,ekenberg_t,author,0,,
ekholm_k:2012,ekholm_k,author,0,,
eklof:1977,eklof,author,0,,
eklof:1985,eklof,author,0,,
eklund_dj:2016,eklund_dj,author,0,,
eklund_m:1996,eklund_m,author,0,,
eklund_m:2000,eklund_m,author,0,,
eklund_m:2001,eklund_m,author,0,,
eklund_m:2002,eklund_m,author,0,,
eklund_m:2002a,eklund_m,author,0,,
eklund_m:2002b,eklund_m,author,0,,
eklund_m:2004,eklund_m,author,0,,
eklund_m:2005,eklund_m,author,0,,
eklund_m:2005a,eklund_m,author,0,,
eklund_m:2005b,eklund_m,author,0,,
eklund_m:2006,eklund_m,author,0,,
eklund_m:2006a,eklund_m,author,0,,
eklund_m:2006b,eklund_m,author,0,,
eklund_m:2007a,eklund_m,author,0,,
eklund_m:2007b,eklund_m,author,0,,
eklund_m:2007c,eklund_m,author,0,,
eklund_m:2007d,eklund_m,author,0,,
eklund_m:2008,eklund_m,author,0,,
eklund_m:2008a,eklund_m,author,0,,
eklund_m:2008b,eklund_m,author,0,,
eklund_m:2009,eklund_m,author,0,,
eklund_m:2009a,eklund_m,author,0,,
eklund_m:2009b,eklund_m,author,0,,
eklund_m:2009c,eklund_m,author,0,,
eklund_m:2010,eklund_m,author,0,,
eklund_m:2010a,eklund_m,author,0,,
eklund_m:2010b,eklund_m,author,0,,
eklund_m:2011,eklund_m,author,0,,
eklund_m:2011a,eklund_m,author,0,,
eklund_m:2011b,eklund_m,author,0,,
eklund_m:2012,eklund_m,author,0,,
eklund_m:2012a,eklund_m,author,0,,
eklund_m:2012b,eklund_m,author,0,,
eklund_m:2012c,eklund_m,author,0,,
eklund_m:2013,eklund_m,author,0,,
eklund_m:2013a,eklund_m,author,0,,
eklund_m:2013b,eklund_m,author,0,,
eklund_m:2013c,eklund_m,author,0,,
eklund_m:2013d,eklund_m,author,0,,
eklund_m:2014,eklund_m,author,0,,
eklund_m:2014a,eklund_m,author,0,,
eklund_m:2014b,eklund_m,author,0,,
eklund_m:2015,eklund_m,author,0,,
eklund_m:2016,eklund_m,author,0,,
eklund_m:2016a,eklund_m,author,0,,
eklund_m:2017,eklund_m,author,0,,
eklund_m:2018,eklund_m,author,0,,
eklund_m:2019,eklund_m,author,0,,
eklund_m:2020,eklund_m,author,0,,
eklund_m:2021,eklund_m,author,0,,
eklund_m:2021a,eklund_m,author,0,,
eklund_pe:1991,eklund_pe,author,0,,
ekman_pa-etal:1972,ekman_pa,author,0,,
ekman_pa-etal:1972,friesen_w,author,1,,
ekman_pa-etal:1972,ellsworth_pb,author,2,,
ekman_pa-etal:1990,ekman_pa,author,0,,
ekman_pa-etal:1990,davidson_rj,author,1,,
ekman_pa-etal:1990,friesen_w,author,2,,
ekman_pa-friesen:1969,ekman_pa,author,0,,
ekman_pa-friesen:1969,friesen_w,author,1,,
ekman_pa-friesen:1971,ekman_pa,author,0,,
ekman_pa-friesen:1971,friesen_w,author,1,,
ekman_pa-friesen:1975,ekman_pa,author,0,,
ekman_pa-friesen:1975,friesen_w,author,1,,
ekman_pa-friesen:1978,ekman_pa,author,0,,
ekman_pa-friesen:1978,friesen_w,author,1,,
ekman_pa-friesen:1982,ekman_pa,author,0,,
ekman_pa-friesen:1982,friesen_w,author,1,,
ekman_pa:1979,ekman_pa,author,0,,
ekman_pa:1980,ekman_pa,author,0,,
ekman_pa:1982,ekman_pa,editor,0,,
ekman_pa:1985,ekman_pa,author,0,,
ekman_pa:1992,ekman_pa,author,0,,
ekman_pa:1997,ekman_pa,author,0,,
ekman_pa:1999,ekman_pa,author,0,,
ekman_pa:1999a,ekman_pa,author,0,,
ekman_pa:2004,ekman_pa,author,0,,
ekroll-golz:2003,ekroll,author,0,,
ekroll-golz:2003,golz_j,author,1,,
eksner:2015,eksner,author,0,,
ekstein_h:1984,ekstein_h,author,0,,
ekstein_r:1941,ekstein_r,author,0,,
ekstein_r:1966,ekstein_r,author,0,,
ekstrom:1995,ekstrom,author,0,,
ekstrom:2002,ekstrom,author,0,,
ekstrom:2003,ekstrom,author,0,,
ekstrom:2004,ekstrom,author,0,,
ekstrom:2005,ekstrom,author,0,,
ekstrom:2005a,ekstrom,author,0,,
ekstrom:2010,ekstrom,author,0,,
ekstrom:2010a,ekstrom,author,0,,
ekstrom:2011,ekstrom,author,0,,
ekstrom:2015,ekstrom,author,0,,
ekstrom:2016,ekstrom,author,0,,
ekstrom:2019,ekstrom,author,0,,
ekstrom:2019a,ekstrom,author,0,,
ekstrom:2021,ekstrom,author,0,,
