bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
erasmus_j:2016,erasmus_j,author,0,,
erbasi_b:2018,erbasi_b,author,0,,
erbi_m:2017,erbi_m,author,0,,
erde_el:1975,erde_el,author,0,,
erde_el:1976,erde_el,author,0,,
erde_el:1978,erde_el,author,0,,
erdei_l:1977,erdei_l,author,0,,
erdem-safri:2017,erdem,author,0,,
erdem-safri:2017,safri_m,author,1,,
erdi-aradi:1999,erdi,author,0,,
erdi-aradi:1999,aradi_i,author,1,,
erdmann_g:1994,erdmann_g,author,0,,
erdmann_p:2015,erdmann_p,author,0,,
erdoes-etal:1984,erdoes,author,0,,
erdoes-etal:1984,hajnal,author,1,,
erdoes-etal:1984,mate_at,author,2,,
erdoes-etal:1984,rado_r,author,3,,
erdoes-hajnal:1971,erdoes,author,0,,
erdoes-hajnal:1971,hajnal,author,1,,
erdoes-hajnal:1974,erdoes,author,0,,
erdoes-hajnal:1974,hajnal,author,1,,
erdoes-tarski:1961,erdoes,author,0,,
erdoes-tarski:1961,tarski_a,author,1,,
erel_u:2020,erel_u,author,0,,
ereshefsky-pedroso:2013,ereshefsky,author,0,,
ereshefsky-pedroso:2013,pedroso,author,1,,
ereshefsky-pedroso:2016,ereshefsky,author,0,,
ereshefsky-pedroso:2016,pedroso,author,1,,
ereshefsky-reydon:2015,ereshefsky,author,0,,
ereshefsky-reydon:2015,reydon,author,1,,
ereshefsky:1988,ereshefsky,author,0,,
ereshefsky:1989,ereshefsky,author,0,,
ereshefsky:1991,ereshefsky,author,0,,
ereshefsky:1992,ereshefsky,editor,0,,
ereshefsky:1994,ereshefsky,author,0,,
ereshefsky:1997,ereshefsky,author,0,,
ereshefsky:1998,ereshefsky,author,0,,
ereshefsky:1999,ereshefsky,author,0,,
ereshefsky:2007,ereshefsky,author,0,,
ereshefsky:2007a,ereshefsky,author,0,,
ereshefsky:2007b,ereshefsky,author,0,,
ereshefsky:2007c,ereshefsky,author,0,,
ereshefsky:2008,ereshefsky,author,0,,
ereshefsky:2010,ereshefsky,author,0,,
ereshefsky:2012,ereshefsky,author,0,,
ergas_o-todd:2016,ergas_o,editor,0,,
ergas_o-todd:2016,todd_s,editor,1,,
erginel:2004,erginel,author,0,,
erginel:2009,erginel,author,0,,
erginel:2013,erginel,author,0,,
erginel:2016,erginel,author,0,,
erginel:2017,erginel,author,0,,
erginel:2019,erginel,author,0,,
erhard_c-keiling:2021,erhard_c,editor,0,,
erhard_c-keiling:2021,keiling_t,editor,1,,
erhard_c-keiling:2021a,erhard_c,author,0,,
erhard_c-keiling:2021a,keiling_t,author,1,,
erhard_c:2014,erhard_c,author,0,,
erhard_c:2021,erhard_c,author,0,,
erhardt_f:1920,erhardt_f,author,0,,
erhardt_g:2014,erhardt_g,author,0,,
eribon:2001,eribon,editor,0,,
erickson_rp:2008,erickson_rp,author,0,,
erickson_sa:1983,erickson_sa,author,0,,
ericsson_ak-simon:1984,ericsson_ak,author,0,,
ericsson_ak-simon:1984,simon_ha,author,1,,
ericsson_lo:1980,ericsson_lo,author,0,,
ericsson_n-irons:1995,ericsson_n,author,0,,
ericsson_n-irons:1995,irons_j,author,1,,
eriksen_eo:2011,eriksen_eo,author,0,,
erikson_r:1993,erikson_r,author,0,,
eriksson_a:2015,eriksson_a,editor,0,,
eriksson_b:2005,eriksson_b,author,0,,
eriksson_j-francen:2016,eriksson_j,author,0,,
eriksson_j-francen:2016,francen,author,1,,
eriksson_j-tiozzo:2016,eriksson_j,author,0,,
eriksson_j-tiozzo:2016,tiozzo_m,author,1,,
eriksson_j:2010,eriksson_j,author,0,,
eriksson_j:2010a,eriksson_j,author,0,,
eriksson_j:2011,eriksson_j,author,0,,
eriksson_j:2014,eriksson_j,author,0,,
eriksson_j:2015,eriksson_j,author,0,,
eriksson_j:2017,eriksson_j,author,0,,
eriksson_l-rabinowicz:2013,eriksson_l,author,0,,
eriksson_l-rabinowicz:2013,rabinowicz,author,1,,
eriksson_l:2008,eriksson_l,author,0,,
eriksson_lh-etal:1992,eriksson_lh,editor,0,,
eriksson_lh-etal:1992,hallnas_l,editor,1,,
eriksson_lh-etal:1992,schroederheister,editor,2,,
eriksson_lh-etal:1995,eriksson_lh,author,0,,
eriksson_lh-etal:1995,shahar_y,author,1,,
eriksson_lh-etal:1995,tu_sw,author,2,,
eriksson_lh-etal:1995,puerta_ar,author,3,,
eriksson_lh-etal:1995,musen_ma,author,4,,
eriksson_lh-etal:1998,eriksson_lh,editor,0,,
eriksson_lh-etal:1998,hallnas_l,editor,1,,
eriksson_lh-etal:1998,schroederheister,editor,2,,
erion:2001,erion,author,0,,
erismann_ch-schniewind:2008,erismann_ch,editor,0,,
erismann_ch-schniewind:2008,schniewind,editor,1,,
erismann_ch-schniewind:2008a,erismann_ch,author,0,,
erismann_ch-schniewind:2008a,schniewind,author,1,,
erismann_ch:2002,erismann_ch,author,0,,
erismann_ch:2002a,erismann_ch,author,0,,
erismann_ch:2004,erismann_ch,author,0,,
erismann_ch:2005a,erismann_ch,author,0,,
erismann_ch:2006,erismann_ch,author,0,,
erismann_ch:2007,erismann_ch,author,0,,
erismann_ch:2007a,erismann_ch,author,0,,
erismann_ch:2008,erismann_ch,author,0,,
erismann_ch:2008a,erismann_ch,author,0,,
erismann_ch:2009,erismann_ch,author,0,,
erismann_ch:2011,erismann_ch,author,0,,
erismann_ch:2011a,erismann_ch,author,0,,
erismann_ch:2011b,erismann_ch,author,0,,
erismann_ch:2011c,erismann_ch,author,0,,
erismann_ch:2012,erismann_ch,author,0,,
erismann_ch:2012a,erismann_ch,author,0,,
erismann_ch:2013,erismann_ch,author,0,,
erismann_ch:2014,erismann_ch,author,0,,
erismann_ch:2014a,erismann_ch,author,0,,
erismann_ch:2016,erismann_ch,author,0,,
erismann_ch:2016a,erismann_ch,author,0,,
erismann_ch:2017,erismann_ch,author,0,,
erismann_th:1953,erismann_th,author,0,,
erk_c:2022,erk_c,author,0,,
erkilic:2001,erkilic,author,0,,
erkue_f-gundel:1987,erkue_f,author,0,,
erkue_f-gundel:1987,gundel,author,1,,
erlach_k:1997,erlach_k,author,0,,
erlandson-sayward:1981,erlandson,author,0,,
erlandson-sayward:1981,sayward,author,1,,
erlandson:1978,erlandson,author,0,,
erlenbusch:2012,erlenbusch,author,0,,
erler_m-brisson:2007,erler_m,editor,0,,
erler_m-brisson:2007,brisson_l,editor,1,,
erler_m-etal:2021,erler_m,editor,0,,
erler_m-etal:2021,hessler_je,editor,1,,
erler_m-etal:2021,petrucci_fm,editor,2,,
erler_m-hessler:2013,erler_m,editor,0,,
erler_m-hessler:2013,hessler_je,editor,1,,
erler_m:1991,erler_m,author,0,,
erler_m:1992,erler_m,author,0,,
erler_m:1994,erler_m,author,0,,
erler_m:1995,erler_m,author,0,,
erler_m:1999,erler_m,author,0,,
erler_m:2002,erler_m,author,0,,
erler_m:2007,erler_m,editor,0,,
erler_m:2008,erler_m,author,0,,
erler_m:2009,erler_m,author,0,,
erler_m:2009a,erler_m,author,0,,
erler_m:2009b,erler_m,author,0,,
erler_m:2009c,erler_m,author,0,,
erler_m:2011,erler_m,author,0,,
erler_m:2012,erler_m,author,0,,
erler_m:2013,erler_m,author,0,,
erler_m:2013a,erler_m,author,0,,
erman_e-moeller:2015,erman_e,author,0,,
erman_e-moeller:2015,moeller_n,author,1,,
erman_e-moeller:2020,erman_e,author,0,,
erman_e-moeller:2020,moeller_n,author,1,,
erman_e-moeller:2022,erman_e,author,0,,
erman_e-moeller:2022,moeller_n,author,1,,
erman_l-etal:1980,erman_l,author,0,,
erman_l-etal:1980,hayesroth_f,author,1,,
erman_l-etal:1980,lesser_vr,author,2,,
erman_l-etal:1980,reddy_dr,author,3,,
ermann-etal:1990,ermann,editor,0,,
ermann-etal:1990,williams_mb,editor,1,,
ermann-etal:1990,gutierrez_c,editor,2,,
ermann-etal:1997,ermann,editor,0,,
ermann-etal:1997,williams_mb,editor,1,,
ermann-etal:1997,shauf_ms,editor,2,,
erni_f:2023,erni_f,author,0,,
erni_f:2023a,erni_f,author,0,,
erni_f:2023b,erni_f,author,0,,
ernst_cw:2010,ernst_cw,author,0,,
ernst_gerh-etal:2009,ernst_gerh,editor,0,,
ernst_gerh-etal:2009,steinbrenner_j,editor,1,,
ernst_gerh-etal:2009,scholz_or,editor,2,,
ernst_gerh-huettemann:2010,ernst_gerh,editor,0,,
ernst_gerh-huettemann:2010,huettemann,editor,1,,
ernst_gerh-huettemann:2010a,ernst_gerh,author,0,,
ernst_gerh-huettemann:2010a,huettemann,author,1,,
ernst_gerh-marani:2013,ernst_gerh,editor,0,,
ernst_gerh-marani:2013,marani_l,editor,1,,
ernst_gerh-niebergall:2006,ernst_gerh,editor,0,,
ernst_gerh-niebergall:2006,niebergall,editor,1,,
ernst_gerh:2002,ernst_gerh,author,0,,
ernst_gerh:2003,ernst_gerh,author,0,,
ernst_gerh:2004,ernst_gerh,author,0,,
ernst_gerh:2008,ernst_gerh,author,0,,
ernst_gerh:2009,ernst_gerh,editor,0,,
ernst_gerh:2009a,ernst_gerh,author,0,,
ernst_germ:1991,ernst_germ,author,0,,
ernst_germ:2016,ernst_germ,author,0,,
ernst_m:2017,ernst_m,author,0,,
ernst_u:2000,ernst_u,author,0,,
ernst_w:1909,ernst_w,author,0,,
ernst_z:2007,ernst_z,author,0,,
ernst_z:2007a,ernst_z,author,0,,
ernst_z:2008,ernst_z,author,0,,
ernst_z:2011,ernst_z,author,0,,
erogul:2022,erogul,author,0,,
erol-etal:1992,erol,author,0,,
erol-etal:1992,nau_ds,author,1,,
erol-etal:1992,subramanian_vs,author,2,,
erol-etal:1995,erol,author,0,,
erol-etal:1995,nau_ds,author,1,,
erol-etal:1995,subramanian_vs,author,2,,
eronen:2011,eronen,author,0,,
eronen:2015,eronen,author,0,,
erpenbeck:1991,erpenbeck,author,0,,
errazuriz:2014,errazuriz,author,0,,
errera_a:1959,errera_a,author,0,,
ershov-etal:1998,ershov,editor,0,,
ershov-etal:1998,goncharov_ss,editor,1,,
ershov-etal:1998,nerode,editor,2,,
ershov-etal:1998,remmel_jb,editor,3,,
ershov-etal:1998,marek_ww,editor,4,,
ershov-etal:1998a,ershov,editor,0,,
ershov-etal:1998a,goncharov_ss,editor,1,,
ershov-etal:1998a,nerode,editor,2,,
ershov-etal:1998a,remmel_jb,editor,3,,
ershov-etal:1998a,marek_ww,editor,4,,
ershov:1977,ershov,author,0,,
ersov:1974,ersov,author,0,,
ertel:1977,ertel_s,author,0,,
ertel_c:1933,ertel_c,author,0,,
erteschikshir-rapaport:2004,erteschikshir,author,0,,
erteschikshir-rapaport:2004,rapoport_tr,author,1,,
erteschikshir-rapaport:2005,erteschikshir,editor,0,,
erteschikshir-rapaport:2005,rapoport_tr,editor,1,,
erteschikshir-rapoport:2005,erteschikshir,author,0,,
erteschikshir-rapoport:2005,rapoport_tr,author,1,,
erteschikshir-rapoport:2010,erteschikshir,author,0,,
erteschikshir-rapoport:2010,rapoport_tr,author,1,,
erteschikshir:1986,erteschikshir,author,0,,
ertl:1998,ertl,author,0,,
ertl:2011,ertl,author,0,,
ertl:2013,ertl,author,0,,
ertl:2018,ertl,author,0,,
ertl:2018a,ertl,author,0,,
ertola:2009,ertola,author,0,,
ertz:2017,ertz,author,0,,
ervintripp:1976,ervintripp,author,0,,
ervintripp:1979,ervintripp,author,0,,
ervintripp:1981,ervintripp,author,0,,
ervintripp:1987,ervintripp,author,0,,
erwin_dh:2010,erwin_dh,author,0,,
erwin_e:1968,erwin_e,author,0,,
erwin_e:1971,erwin_e,author,0,,
erwin_e:1978,erwin_e,author,0,,
erwin_e:1984,erwin_e,author,0,,
erwin_e:1988,erwin_e,author,0,,
erwin_e:1988a,erwin_e,author,0,,
erwin_e:1993,erwin_e,author,0,,
erwin_e:1994,erwin_e,author,0,,
