bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
etchegaray-hamou:2022,etchegaray,editor,0,,
etchegaray-hamou:2022,hamou,editor,1,,
etchegaray:2013,etchegaray,author,0,,
etchegoyen:2004,etchegoyen,author,0,,
etchemendy_j:1981,etchemendy_j,author,0,,
etchemendy_j:1983,etchemendy_j,author,0,,
etchemendy_j:1988,etchemendy_j,author,0,,
etchemendy_j:1988a,etchemendy_j,author,0,,
etchemendy_j:1990,etchemendy_j,author,0,,
etchemendy_j:1999,etchemendy_j,author,0,,
etchemendy_j:2008,etchemendy_j,author,0,,
etchemendy_m-wood:2011,etchemendy_m,author,0,,
etchemendy_m-wood:2011,wood_r,author,1,,
etcheverry-etal:2001,etcheverry,author,0,,
etcheverry-etal:2001,lopisteguy,author,1,,
etcheverry-etal:2001,dagorret_p,author,2,,
etherington-crawford:1996,etherington,author,0,,
etherington-crawford:1996,crawford_jm,author,1,,
etherington-etal:1985,etherington,author,0,,
etherington-etal:1985,mercer_re,author,1,,
etherington-etal:1985,reiter_r,author,2,,
etherington-etal:1989,etherington,author,0,,
etherington-etal:1989,borgida,author,1,,
etherington-etal:1989,brachman,author,2,,
etherington-etal:1989,kautz,author,3,,
etherington-etal:1989a,etherington,author,0,,
etherington-etal:1989a,forbus,author,1,,
etherington-etal:1989a,ginsberg_ml,author,2,,
etherington-etal:1989a,israel_dj,author,3,,
etherington-etal:1989a,lifschitz_v,author,4,,
etherington-etal:1991,etherington,author,0,,
etherington-etal:1991,kraus_s,author,1,,
etherington-etal:1991,perlis_da,author,2,,
etherington-reiter:1983,etherington,author,0,,
etherington-reiter:1983,reiter_r,author,1,,
etherington:1987,etherington,author,0,,
etherington:1987a,etherington,author,0,,
etherington:1988,etherington,author,0,,
etienne_a:1994,etienne_a,author,0,,
etienne_a:1998,etienne_a,author,0,,
etinson_a:2018,etinson_a,editor,0,,
etinson_a:2018a,etinson_a,author,0,,
etinson_a:2018b,etinson_a,author,0,,
etinson_a:2018c,etinson_a,author,0,,
etlin:2000,etlin,author,0,,
etoundibibegele:2014,etoundibibegele,author,0,,
etxeberria_u-giannakidoou:2010,etxeberria_u,author,0,,
etxeberria_u-giannakidoou:2010,giannakidou,author,1,,
etzi-etal:2014,etzi,author,0,,
etzi-etal:2014,spence_c,author,1,,
etzi-etal:2014,gallace_a,author,2,,
etzion:1991,etzion,author,0,,
etzioni_a:2005,etzioni_a,author,0,,
etzioni_a:2006,etzioni_a,author,0,,
etzioni_a:2012,etzioni_a,author,0,,
etzioni_a:2014,etzioni_a,author,0,,
etzioni_o-etal:1992,etzioni_o,author,0,,
etzioni_o-etal:1992,hanks_s,author,1,,
etzioni_o-etal:1992,draper_d,author,2,,
etzioni_o-etal:1992,lesh_n,author,3,,
etzioni_o-etal:1992,williamson_m,author,4,,
etzioni_o-etal:1994,etzioni_o,author,0,,
etzioni_o-etal:1994,golden_k,author,1,,
etzioni_o-etal:1994,weld_ds,author,2,,
etzioni_o-etal:1997,etzioni_o,author,0,,
etzioni_o-etal:1997,golden_k,author,1,,
etzioni_o-etal:1997,weld_ds,author,2,,
etzioni_o:1989,etzioni_o,author,0,,
etzioni_o:1991,etzioni_o,author,0,,
etzioni_o:1993,etzioni_o,author,0,,
etzioni_o:1993a,etzioni_o,author,0,,
etzkorn_f:1963,etzkorn_f,author,0,,
etzkorn_gj:1981,etzkorn_gj,author,0,,
etzkorn_gj:1991,etzkorn_gj,author,0,,
etzkorn_gj:1994,etzkorn_gj,author,0,,
etzkorn_gj:1996,etzkorn_gj,author,0,,
etzkorn_gj:2002,etzkorn_gj,author,0,,
etzkorn_gj:2006,etzkorn_gj,author,0,,
