bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ey:1951,ey,author,0,,
ey:1978,ey,author,0,,
eyal_n-etal:2013,eyal_n,editor,0,,
eyal_n-etal:2013,hurstmajno,editor,1,,
eyal_n-etal:2013,norheim_of,editor,2,,
eyal_n-etal:2013,wikler,editor,3,,
eyal_n-etal:2020,eyal_n,editor,0,,
eyal_n-etal:2020,hurstmajno,editor,1,,
eyal_n-etal:2020,murray_cj,editor,2,,
eyal_n-etal:2020,schroeder_sa,editor,3,,
eyal_n-etal:2020,wikler,editor,4,,
eyal_n-hurst:2015,eyal_n,author,0,,
eyal_n-hurst:2015,hurstmajno,author,1,,
eyal_n:2017,eyal_n,author,0,,
eyal_n:2018,eyal_n,author,0,,
eyers:2014,eyers,author,0,,
eykman:1982,eykman,author,0,,
eykman:1982a,eykman,author,0,,
eykman:1984,eykman,author,0,,
eykman:1984a,eykman,author,0,,
eykman:1985,eykman,author,0,,
eykman:1988,eykman,author,0,,
eykman:1988a,eykman,author,0,,
eykman:1990,eykman,author,0,,
eykman:1992,eykman,author,0,,
eykman:1995,eykman,author,0,,
eykman:1997,eykman,author,0,,
eykman:2000,eykman,author,0,,
eylon-heyd:2008,eylon,author,0,,
eylon-heyd:2008,heyd_d,author,1,,
eysenck_mw:1990,eysenck_mw,editor,0,,
eyssidieuxvaissermann:2000,eyssidieuxvaissermann,author,0,,
