bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ezcurdia-hansberg:2003,ezcurdia,editor,0,,
ezcurdia-hansberg:2003,hansberg,editor,1,,
ezcurdia-stainton:2013,ezcurdia,editor,0,,
ezcurdia-stainton:2013,stainton_r,editor,1,,
ezcurdia:1995,ezcurdia,author,0,,
ezcurdia:1996,ezcurdia,author,0,,
ezcurdia:1996a,ezcurdia,author,0,,
ezcurdia:1998,ezcurdia,author,0,,
ezcurdia:2000,ezcurdia,author,0,,
ezcurdia:2001,ezcurdia,author,0,,
ezcurdia:2004,ezcurdia,author,0,,
ezcurdia:2004a,ezcurdia,author,0,,
ezcurdia:2017,ezcurdia,author,0,,
ezcurdia:2017a,ezcurdia,author,0,,
eze:1999,eze,author,0,,
ezeiza-etal:1998,ezeiza,author,0,,
ezeiza-etal:1998,alegria_i,author,1,,
ezeiza-etal:1998,arriola_jm,author,2,,
ezeiza-etal:1998,urizar_r,author,3,,
ezeiza-etal:1998,aduriz,author,4,,
ezorsky:1960,ezorsky,author,0,,
ezorsky:1969,ezorsky,author,0,,
ezorsky:1991,ezorsky,author,0,,
ezquerro-larrazabal:1992,ezquerro,editor,0,,
ezquerro-larrazabal:1992,larrazabal,editor,1,,
ezquerro-martinezmanrique:2004,ezquerro,author,0,,
ezquerro-martinezmanrique:2004,martinezmanrique,author,1,,
ezquerro-martinezmanrique:2004a,ezquerro,author,0,,
ezquerro-martinezmanrique:2004a,martinezmanrique,author,1,,
ezra:2002,ezra,author,0,,
ezra:2015,ezra,author,0,,
ezrahi:1986,ezrahi,author,0,,
ezrahi:2012,ezrahi,author,0,,
