bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
fabb_n:2014,fabb_n,author,0,,
fabbianelli-etal:2011,fabbianelli,editor,0,,
fabbianelli-etal:2011,goubet,editor,1,,
fabbianelli-etal:2011,rudolph_op,editor,2,,
fabbianelli-luft:2014,fabbianelli,editor,0,,
fabbianelli-luft:2014,luft,editor,1,,
fabbianelli-luft:2014a,fabbianelli,author,0,,
fabbianelli-luft:2014a,luft,author,1,,
fabbianelli:2000,fabbianelli,author,0,,
fabbianelli:2008,fabbianelli,author,0,,
fabbianelli:2011,fabbianelli,author,0,,
fabbianelli:2014,fabbianelli,author,0,,
fabbianelli:2018,fabbianelli,author,0,,
fabbianelli:2018a,fabbianelli,author,0,,
fabbri_n-favino:2018,fabbri_n,editor,0,,
fabbri_n-favino:2018,favino_f,editor,1,,
fabbri_n:2016,fabbri_n,author,0,,
fabbribertoletti:1994,fabbribertoletti,author,0,,
fabbrichesi_r-marietti:2006,fabbrichesi_r,editor,0,,
fabbrichesi_r-marietti:2006,marietti_s,editor,1,,
fabbrichesi_r:1994,fabbrichesi_r,author,0,,
fabbrichesi_r:2011,fabbrichesi_r,author,0,,
fabbrichesi_r:2017,fabbrichesi_r,author,0,,
faber_r-etal:2010,faber_r,editor,0,,
faber_r-etal:2010,henning_bg,editor,1,,
faber_r-etal:2010,combs_c,editor,2,,
faber_r-etal:2014,faber_r,editor,0,,
faber_r-etal:2014,hustwit_jr,editor,1,,
faber_r-etal:2014,phelps_h,editor,2,,
faber_r-etal:2017,faber_r,editor,0,,
faber_r-etal:2017,bell_jea,editor,1,,
faber_r-etal:2017,petek_j,editor,2,,
faber_r-fackenthal:2013,faber_r,editor,0,,
faber_r-fackenthal:2013,fackenthal,editor,1,,
faber_r-henning:2010,faber_r,author,0,,
faber_r-henning:2010,henning_bg,author,1,,
faber_r:2010,faber_r,author,0,,
faber_r:2013,faber_r,author,0,,
faber_r:2019,faber_r,author,0,,
faber_rj:1984,faber_rj,author,0,,
fabian_m:2022,fabian_m,author,0,,
fabian_r:1996a,fabian_r,author,0,,
fabiani_a:1982,fabiani_a,author,0,,
fabiani_d:1998,fabiani_d,author,0,,
fabre_c-lazar:2014,fabre_c,editor,0,,
fabre_c-lazar:2014,lazar_s,editor,1,,
fabre_c-lazar:2014a,fabre_c,author,0,,
fabre_c-lazar:2014a,lazar_s,author,1,,
fabre_c:2006,fabre_c,author,0,,
fabre_c:2006a,fabre_c,author,0,,
fabre_c:2009,fabre_c,author,0,,
fabre_c:2012,fabre_c,author,0,,
fabre_c:2014,fabre_c,author,0,,
fabre_c:2016,fabre_c,author,0,,
fabre_c:2016a,fabre_c,author,0,,
fabre_c:2022,fabre_c,author,0,,
fabre_m:2009,fabre_m,author,0,,
fabre_m:2017,fabre_m,author,0,,
fabre_pa:1992,fabre_pa,author,0,,
fabre_th:1995,fabre_th,editor,0,,
fabregas-etal:2012,fabregas,author,0,,
fabregas-etal:2012,marin_ra,author,1,,
fabregas-etal:2012,mcnally_l,author,2,,
fabriciushansen-saebo:2004,fabriciushansen,author,0,,
fabriciushansen-saebo:2004,saebo,author,1,,
fabriciushansen:1980,fabriciushansen,author,0,,
fabriciushansen:1983,fabriciushansen,author,0,,
fabriciushansen:1991,fabriciushansen,author,0,,
fabriciushansen:1991a,fabriciushansen,author,0,,
fabrigar-etal:2005,fabrigar,author,0,,
fabrigar-etal:2005,macdonald_tk,author,1,,
fabrigar-etal:2005,wegener_dt,author,2,,
fabris_a-etal:1997,fabris_a,editor,0,,
fabris_a-etal:1997,fioravanti_g,editor,1,,
fabris_a-etal:1997,moriconi,editor,2,,
fabris_a:2016,fabris_a,author,0,,
fabro:1969,fabro,editor,0,,
fabro:1969a,fabro,author,0,,
facchini:2003,facchini,author,0,,
fache_y:2016,fache_y,author,0,,
facione:1972,facione,author,0,,
fackenheim_el:1967,fackenheim_el,author,0,,
fackenthal:2022,fackenthal,editor,0,,
