bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
fiadeiro-maibaum:1994,fiadeiro,author,0,,
fiadeiro-maibaum:1994,maibaum_t,author,1,,
fiadeiro:1999,fiadeiro,editor,0,,
fiala_a:2006,fiala_a,author,0,,
fiala_a:2009,fiala_a,author,0,,
fiala_a:2012,fiala_a,author,0,,
fiala_a:2015,fiala_a,editor,0,,
fiala_a:2015a,fiala_a,author,0,,
fiala_a:2015b,fiala_a,author,0,,
fiala_a:2018,fiala_a,editor,0,,
fiala_a:2018a,fiala_a,author,0,,
fiala_a:2018b,fiala_a,author,0,,
fiala_a:2022,fiala_a,author,0,,
fiala_b-etal:2014,fiala_b,author,0,,
fiala_b-etal:2014,arico,author,1,,
fiala_b-etal:2014,nichols_s,author,2,,
fiala_f:1947,fiala_f,author,0,,
fialova_l:2017,fialova_l,author,0,,
fiasse:2002,fiasse,author,0,,
ficara:2006,ficara,author,0,,
ficara:2013,ficara,author,0,,
ficara:2014,ficara,editor,0,,
ficara:2014a,ficara,author,0,,
ficara:2015,ficara,author,0,,
ficara:2019,ficara,author,0,,
fichant-marion:2005,fichant,editor,0,,
fichant-marion:2005,marion_jl,editor,1,,
fichant:1971,fichant,author,0,,
fichant:1994,fichant,author,0,,
fichant:1998,fichant,author,0,,
fichant:2008,fichant,author,0,,
fichant:2013,fichant,author,0,,
fichera:1994,fichera,author,0,,
fichot:2003,fichot,author,0,,
fichot:2014,fichot,author,0,,
fichte:1914,fichte,author,0,,
ficino:1975,ficino,author,0,,
ficino:2014,ficino,author,0,"Ficin, Marcile",
ficino:2018,ficino,author,0,"Ficin, Marcile",
fickers:2012,fickers,author,0,,
fiddaman-rodriguezpereyra:2018,fiddaman,author,0,,
fiddaman-rodriguezpereyra:2018,rodriguezpereyra,author,1,,
fiddick_l:2006,fiddick_l,author,0,,
fiddler:2017,fiddler,author,0,,
fidora_a:2016,fidora_a,author,0,,
fiebich-etal:2017,fiebich,author,0,,
fiebich-etal:2017,gallagher_s,author,1,,
fiebich-etal:2017,hutto,author,2,,
fiebich:2014,fiebich,author,0,,
fiebich:2015,fiebich,author,0,,
fiedler_a:1998,fiedler_a,author,0,,
fiedler_a:1999,fiedler_a,author,0,,
fiedler_h:1997,fiedler_h,author,0,,
fiedler_k:2004,fiedler_k,author,0,,
field_a:2000,field_a,author,0,,
field_c:2019,field_c,author,0,,
field_gc:1927,field_gc,author,0,,
field_gc:1928,field_gc,author,0,,
field_gc:1929,field_gc,author,0,,
field_gc:1930,field_gc,author,0,,
field_gc:1931,field_gc,author,0,,
field_gc:1934,field_gc,author,0,,
field_gc:1950,field_gc,author,0,,
field_h:1972,field_h,author,0,,
field_h:1973,field_h,author,0,,
field_h:1975,field_h,author,0,,
field_h:1977,field_h,author,0,,
field_h:1978,field_h,author,0,,
field_h:1978a,field_h,author,0,,
field_h:1980,field_h,author,0,,
