bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
fraade:2007,fraade,author,0,,
fracchia-lewontin:1999,fracchia,author,0,,
fracchia-lewontin:1999,lewontin,author,1,,
frackowiak:2004,frackowiak,editor,0,,
fraczak-etal:1998,fraczak,author,0,,
fraczak-etal:1998,lapalme_g,author,1,,
fraczak-etal:1998,zock,author,2,,
fradet:2004,fradet,author,0,,
fraengsmyr_t:1989,fraengsmyr_t,author,0,,
fraengsmyr_t:2012,fraengsmyr_t,author,0,,
fraenkel_aa-barhillel:1958,fraenkel_aa,author,0,,
fraenkel_aa-barhillel:1958,barhillel,author,1,,
fraenkel_aa-etal:1973,fraenkel_aa,author,0,,
fraenkel_aa-etal:1973,barhillel,author,1,,
fraenkel_aa-etal:1973,levy_az,author,2,,
fraenkel_aa:1922,fraenkel_aa,author,0,,
fraenkel_aa:1922a,fraenkel_aa,author,0,,
fraenkel_aa:1922b,fraenkel_aa,author,0,,
fraenkel_aa:1922c,fraenkel_aa,author,0,,
fraenkel_aa:1923,fraenkel_aa,author,0,,
fraenkel_aa:1923a,fraenkel_aa,author,0,,
fraenkel_aa:1924,fraenkel_aa,author,0,,
fraenkel_aa:1925,fraenkel_aa,author,0,,
fraenkel_aa:1927,fraenkel_aa,author,0,,
fraenkel_aa:1930,fraenkel_aa,author,0,,
fraenkel_aa:1935,fraenkel_aa,author,0,,
fraenkel_aa:1937,fraenkel_aa,author,0,,
fraenkel_aa:1949,fraenkel_aa,author,0,,
fraenkel_aa:1953,fraenkel_aa,author,0,,
fraenkel_aa:1958,fraenkel_aa,author,0,,
fraenkel_aa:1960,fraenkel_aa,author,0,,
fraenkel_aa:1968,fraenkel_aa,author,0,,
fraenkel_c-etal:2011,fraenkel_c,editor,0,,
fraenkel_c-etal:2011,perinetti_d,editor,1,,
fraenkel_c-etal:2011,smithruiu,editor,2,,
fraenkel_c-etal:2011a,fraenkel_c,author,0,,
fraenkel_c-etal:2011a,perinetti_d,author,1,,
fraenkel_c-etal:2011a,smithruiu,author,2,,
fraenkel_c:2009,fraenkel_c,author,0,,
fraenkel_c:2009a,fraenkel_c,author,0,,
