bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
glackin:2017,glackin,author,0,,
gladkich:1979,gladkich,author,0,,
gladkova_ol-etal:2015,gladkova_ol,author,0,,
gladkova_ol-etal:2015,dimarco_c,author,1,,
gladkova_ol-etal:2015,harris_ra,author,2,,
gladziejewski_p:2016,gladziejewski_p,author,0,,
glaeser_el:2006,glaeser_el,author,0,,
glaeser_m:2017,glaeser_m,author,0,,
glaeser_m:2019,glaeser_m,author,0,,
glaister:2000,glaister,author,0,,
glaister:2002,glaister,author,0,,
glannon:1993,glannon,author,0,,
glannon:1994,glannon,author,0,,
glannon:1995,glannon,author,0,,
glannon:1999,glannon,author,0,,
glannon:2005,glannon,author,0,,
glannon:2006,glannon,author,0,,
glannon:2011,glannon,author,0,,
glannon:2012,glannon,author,0,,
glannon:2013,glannon,author,0,,
glannon:2015,glannon,editor,0,,
glannon:2015a,glannon,author,0,,
glannon:2018,glannon,author,0,,
glannon:2019,glannon,author,0,,
glanzberg-king:2020,glanzberg,author,0,,
glanzberg-king:2020,king_jc,author,1,,
glanzberg-siegel:2006,glanzberg,author,0,,
glanzberg-siegel:2006,siegel_s,author,1,,
glanzberg:2000,glanzberg,author,0,,
glanzberg:2001,glanzberg,author,0,,
glanzberg:2001a,glanzberg,author,0,,
glanzberg:2002,glanzberg,author,0,,
glanzberg:2003,glanzberg,author,0,,
glanzberg:2003a,glanzberg,author,0,,
glanzberg:2004,glanzberg,author,0,,
glanzberg:2004a,glanzberg,author,0,,
glanzberg:2004b,glanzberg,author,0,,
glanzberg:2005,glanzberg,author,0,,
glanzberg:2005a,glanzberg,author,0,,
glanzberg:2005b,glanzberg,author,0,,
glanzberg:2005c,glanzberg,author,0,,
glanzberg:2006,glanzberg,author,0,,
glanzberg:2006a,glanzberg,author,0,,
glanzberg:2007,glanzberg,author,0,,
glanzberg:2007a,glanzberg,author,0,,
glanzberg:2008,glanzberg,author,0,,
glanzberg:2009,glanzberg,author,0,,
glanzberg:2009a,glanzberg,author,0,,
glanzberg:2011,glanzberg,author,0,,
glanzberg:2013a,glanzberg,author,0,,
glanzberg:2014,glanzberg,author,0,,
glanzberg:2015,glanzberg,author,0,,
glanzberg:2015a,glanzberg,author,0,,
glanzberg:2015b,glanzberg,author,0,,
glanzberg:2018,glanzberg,editor,0,,
glanzberg:2018a,glanzberg,author,0,,
glas_e:1993,glas_e,author,0,,
glas_e:1993a,glas_e,author,0,,
glas_e:1999,glas_e,author,0,,
glas_e:1999a,glas_e,author,0,,
glas_e:2000,glas_e,author,0,,
glas_e:2001,glas_e,author,0,,
glas_e:2001a,glas_e,author,0,,
glas_e:2002,glas_e,author,0,,
glas_e:2007,glas_e,author,0,,
glas_g:2013,glas_g,author,0,,
glasbey:1996,glasbey,author,0,,
glasbey:1996a,glasbey,author,0,,
glasbey:1998,glasbey,author,0,,
glasbey:1998a,glasbey,author,0,,
glasbey:2004,glasbey,author,0,,
glaser_gw:1991,glaser_gw,author,0,,
glaser_i:1978,glaser_i,author,0,,
glasgow_j-etal:2019,glasgow_j,author,0,,
glasgow_j-etal:2019,haslanger,author,1,,
glasgow_j-etal:2019,jeffers_c,author,2,,
glasgow_j-etal:2019,spencer_q,author,3,,
glasgow_j:2007,glasgow_j,author,0,,
glasgow_j:2008,glasgow_j,author,0,,
glasgow_j:2009,glasgow_j,author,0,,
glasgow_j:2010,glasgow_j,author,0,,
glasgow_j:2010a,glasgow_j,author,0,,
glasgow_j:2013,glasgow_j,author,0,,
glasgow_j:2016,glasgow_j,author,0,,
glasgow_j:2017,glasgow_j,author,0,,
glasgow_j:2020,glasgow_j,author,0,,
glasgow_ja-etal:1995,glasgow_ja,editor,0,,
glasgow_ja-etal:1995,narayanan_nh,editor,1,,
glasgow_ja-etal:1995,chandrasekaran,editor,2,,
glasgow_ja:1993,glasgow_ja,author,0,,
glasgow_wd:1968,glasgow_wd,author,0,,
glashoff_k:2010,glashoff_k,author,0,,
glashow:1999,glashow,author,0,,
glasman_m:2022,glasman_m,author,0,,
glasner:1997,glasner,author,0,,
glasner:2015,glasner,author,0,,
glass_b:1963,glass_b,author,0,,
glass_dh-mccartney:2015,glass_dh,author,0,,
glass_dh-mccartney:2015,mccartney_m,author,1,,
glass_dh:2005,glass_dh,author,0,,
glass_dh:2017,glass_dh,author,0,,
glass_jm:2006,glass_jm,author,0,,
glass_mr:2016,glass_mr,author,0,,
glassen_p:1957,glassen_p,author,0,,
glassen_p:1958,glassen_p,author,0,,
glassen_p:1960,glassen_p,author,0,,
glasser_h:2011,glasser_h,author,0,,
glasser_jw-price:1982,glasser_jw,author,0,,
glasser_jw-price:1982,price_hj,author,1,,
glassey_a:1981,glassey_a,author,0,,
glassford:2007,glassford,author,0,,
