bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
gu_j:1992,gu_j,author,0,,
gu_j:1992a,gu_j,author,0,,
gu_t-wang:2016,gu_t,author,0,,
gu_t-wang:2016,wang_ya,author,1,,
gu_x:2019,gu_x,author,0,,
gu_y:1999,gu_y,author,0,,
guagliardo:1994,guagliardo,author,0,,
guala-hindriks:2015,guala,author,0,,
guala-hindriks:2015,hindriks,author,1,,
guala:2007,guala,author,0,,
guala:2009,guala,author,0,,
guala:2012,guala,author,0,,
guala:2012a,guala,author,0,,
guala:2013,guala,author,0,,
guala:2015,guala,author,0,,
guala:2016,guala,author,0,,
guallart:2015,guallart,author,0,,
gualmini-etal:2008,gualmini,author,0,,
gualmini-etal:2008,halsey_s,author,1,,
gualmini-etal:2008,hacquard,author,2,,
gualmini-etal:2008,fox_d,author,3,,
guan_c:2014,guan_c,author,0,,
guan_jw-bell:1998,guan_jw,author,0,,
guan_jw-bell:1998,bell_da,author,1,,
guaraldo:2020,guaraldo,author,0,,
guaraldo:2021,guaraldo,author,0,,
guardiano-longobardi:2016,guardiano,author,0,,
guardiano-longobardi:2016,longobardi,author,1,,
guardo:2012,guardo,author,0,,
guardo:2012a,guardo,author,0,,
guardo:2014,guardo,author,0,,
guardo:2022,guardo,author,0,,
guariglia:1981,guariglia,author,0,,
guarini_m:1996,guarini_m,author,0,,
guarini_m:2000,guarini_m,author,0,,
guarino-etal:1994,guarino,author,0,,
guarino-etal:1994,carrara,author,1,,
guarino-etal:1994,giaretta,author,2,,
guarino-etal:2001,guarino,editor,0,,
guarino-etal:2001,smith_ba,editor,1,,
guarino-etal:2001,welty_c,editor,2,,
guarino-guizzardi:unpub,guarino,author,0,,
guarino-guizzardi:unpub,guizzardi_g,author,1,,
guarino-poli:1993,guarino,editor,0,,
guarino-poli:1993,poli,editor,1,,
guarino-welty:2002,guarino,author,0,,
guarino-welty:2002,welty_c,author,1,,
guarino:1992,guarino,author,0,,
guarino:1994,guarino,author,0,,
guarino:1998,guarino,author,0,,
guarino:1998a,guarino,author,0,,
guarino:2014,guarino,author,0,,
guaspari:1983,guaspari,author,0,,
guasparri:2013,guasparri,author,0,,
guasti:2016,guasti,author,0,,
guastini:1984,guastini,author,0,,
guastini:1988,guastini,author,0,,
guastini:1997,guastini,author,0,,
guastini:2011,guastini,author,0,,
guattari-spire:2005,guattari,author,0,,
guattari-spire:2005,spire_an,author,1,,
guattari:2005,guattari,author,0,,
guay_a-pradeu:2016,guay_a,editor,0,,
guay_a-pradeu:2016,pradeu,editor,1,,
guay_a-pradeu:2016a,guay_a,author,0,,
guay_a-pradeu:2016a,pradeu,author,1,,
guay_a-pradeu:2016b,guay_a,author,0,,
guay_a-pradeu:2016b,pradeu,author,1,,
guay_a:2012,guay_a,editor,0,,
guay_r:2005,guay_r,author,0,,
guay_r:2019,guay_r,editor,0,,
gubeljic_m-etal:2000,gubeljic_m,author,0,,
gubeljic_m-etal:2000,link_si,author,1,,
gubeljic_m-etal:2000,muellerheimo,author,2,,
gubeljic_m-etal:2000,osburg_g,author,3,,
gubelmann_r:2016,gubelmann_r,author,0,,
gubser_m:2005,gubser_m,author,0,,
gubser_m:2011,gubser_m,author,0,,
guccione:1980,guccione,author,0,,
guccione:1980a,guccione,author,0,,
guchet:2001,guchet,author,0,,
guchet:2005,guchet,author,0,,
guckes:2004,guckes,author,0,,
gudder:1976,gudder,author,0,,
gudder:1981,gudder,author,0,,
gudder:1981a,gudder,author,0,,
gudder:2006,gudder,author,0,,
guder_dl:2016,guder_dl,author,0,,
gudjonsson-roberts:1985,gudjonsson,author,0,,
gudjonsson-roberts:1985,roberts_jc,author,1,,
gudmarsdottir_s:2016,gudmarsdottir_s,author,0,,
gueldemann:2005,gueldemann,author,0,,
guelev:1999,guelev,author,0,,
guelke:2020,guelke,author,0,,
guellec:2004,guellec,author,0,,
guellouz:1994,guellouz,editor,0,,
gueltekin:2009,gueltekin,author,0,,
guelzo:2004,guelzo,author,0,,
guen_oe:2015,guen_oe,author,0,,
guenancia:1980,guenancia,author,0,,
guenancia:1983,guenancia,author,0,,
guenancia:1986,guenancia,author,0,,
guenancia:1986a,guenancia,author,0,,
guenancia:1990,guenancia,author,0,,
guenancia:1994,guenancia,author,0,,
guenancia:1998,guenancia,author,0,,
guenancia:2000a,guenancia,author,0,,
guenancia:2002,guenancia,author,0,,
guenard:2004,guenard,author,0,,
guendogdu:2013,guendogdu,author,0,,
guenergun-feza:2011,guenergun,editor,0,,
guenergun-feza:2011,raina_d,editor,1,,
guenette:2004,guenette,author,0,,
guengoer:2023,guengoer,author,0,,
guenin:2012,guenin,author,0,,
guenoun:2014,guenoun,author,0,,
guenova:2013,guenova,author,0,,
guenter_a:2017,guenter_a,author,0,,
guenter_j-etal:1993,guenter_j,editor,0,,
guenter_j-etal:1993,kaiser_b,editor,1,,
guenter_j-etal:1993,zoll_c,editor,2,,
guentert_m:2018,guentert_m,author,0,,
guentert_m:2019,guentert_m,author,0,,
guentert_m:2020,guentert_m,author,0,,
guenther_a:1982,guenther_a,author,0,,
guenther_a:1984,guenther_a,author,0,,
guenther_h:1972,guenther_h,author,0,,
guenther_hc-rengakos:1997,guenther_hc,editor,0,,
guenther_hc-rengakos:1997,rengakos_a,editor,1,,
guenther_k:2001,guenther_k,author,0,,
guenther_k:2006,guenther_k,author,0,,
guenther_k:2016,guenther_k,author,0,,
guenther_li:2013,guenther_li,author,0,,
guenther_li:2017,guenther_li,author,0,,
guenther_m:2002,guenther_m,author,0,,
guenther_m:2004,guenther_m,author,0,,
guenther_m:2005,guenther_m,author,0,,
guenther_s:1901,guenther_s,author,0,,
guenther_w:1947,guenther_w,author,0,,
guenthner-guenthnerreutter:1978,guenthner,editor,0,,
guenthner-guenthnerreutter:1978,guenthnerreutter,editor,1,,
guenthner-guenthnerreutter:1980,guenthner,author,0,,
guenthner-guenthnerreutter:1980,guenthnerreutter,author,1,,
guenthner-rohrer:1978,guenthner,editor,0,,
guenthner-rohrer:1978,rohrer_c,editor,1,,
guenthner-rohrer:1978a,guenthner,author,0,,
guenthner-rohrer:1978a,rohrer_c,author,1,,
guenthner-schmidt:1978,guenthner,editor,0,,
guenthner-schmidt:1978,schmidt_sj,editor,1,,
guenthner:1977,guenthner,author,0,,
guenthner:1978,guenthner,author,0,,
guenthner:1989,guenthner,author,0,,
guerard:1986,guerard,author,0,,
guerin_c:2009,guerin_c,author,0,,
guerin_c:2011,guerin_c,author,0,,
guerin_f:2015,guerin_f,author,0,,
guerin_m:1974,guerin_m,author,0,,
guerizoli:2006,guerizoli,author,0,,
guerizoli:2010,guerizoli,author,0,,
guerlac:1959,guerlac,author,0,,
guerlac:1959a,guerlac,author,0,,
guerlac:1959b,guerlac,author,0,,
guerlac:1963,guerlac,author,0,,
gueron-lecarme:2004,gueron,editor,0,,
gueron-lecarme:2004,lecarme_j,editor,1,,
gueron-lecarme:2004a,gueron,author,0,,
gueron-lecarme:2004a,lecarme_j,author,1,,
gueron-lecarme:2008,gueron,editor,0,,
gueron-lecarme:2008,lecarme_j,editor,1,,
gueron-lecarme:2008a,gueron,author,0,,
gueron-lecarme:2008a,lecarme_j,author,1,,
gueron:2004,gueron,author,0,,
gueron:2005,gueron,author,0,,
gueron:2008,gueron,author,0,,
gueron:2015,gueron,editor,0,,
gueron:2015a,gueron,author,0,,
gueron:2015b,gueron,author,0,,
gueron:2015c,gueron,author,0,,
gueroult-etal:1957,gueroult,author,0,,
gueroult-etal:1957,alquie,author,1,,
gueroult-etal:1957,beck_lm,author,2,,
gueroult-etal:1957,prenant_l,author,3,,
gueroult-etal:1957,hersch_j,author,4,,
gueroult-etal:1957,wahl_j,author,5,,
gueroult-etal:1957,brandeslein,author,6,,
gueroult-etal:1957,goldschmidt_v,author,7,,
gueroult-etal:1957,goldmann,author,8,,
gueroult-etal:1957a,gueroult,author,0,,
gueroult-etal:1957a,gouhier,author,1,,
gueroult-etal:1957a,prenant_l,author,2,,
gueroult-etal:1957a,perelman_c,author,3,,
gueroult-etal:1957a,beck_lm,author,4,,
gueroult-etal:1957a,alquie,author,5,,
gueroult-etal:1957a,hyppolite,author,6,,
gueroult-etal:1957a,lefebvre_r,author,7,,
gueroult-etal:1957a,boehm_r,author,8,,
gueroult-etal:1957a,hersch_j,author,9,,
gueroult:1938,gueroult,author,0,,
gueroult:1940,gueroult,author,0,,
gueroult:1953,gueroult,author,0,,
gueroult:1953a,gueroult,author,0,,
gueroult:1953b,gueroult,author,0,,
gueroult:1954,gueroult,author,0,,
gueroult:1955,gueroult,author,0,,
gueroult:1955a,gueroult,author,0,,
gueroult:1957,gueroult,author,0,,
gueroult:1958,gueroult,author,0,,
gueroult:1960,gueroult,author,0,,
gueroult:1962,gueroult,author,0,,
gueroult:1962a,gueroult,author,0,,
gueroult:1963,gueroult,author,0,,
gueroult:1964,gueroult,author,0,,
