bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
gyekye:1995,gyekye,author,0,,
gyemant_m:2015,gyemant_m,editor,0,,
gyemant_m:2015a,gyemant_m,author,0,,
gyenis_b-redei:2011,gyenis_b,author,0,,
gyenis_b-redei:2011,redei,author,1,,
gyenis_b-wronski:2017,gyenis_b,author,0,,
gyenis_b-wronski:2017,wronski,author,1,,
gyenis_z-etal:2017,gyenis_z,author,0,,
gyenis_z-etal:2017,hoferszabo,author,1,,
gyenis_z-etal:2017,redei,author,2,,
gyenis_z-redei:2014,gyenis_z,author,0,,
gyenis_z-redei:2014,redei,author,1,,
gyenis_z-redei:2015,gyenis_z,author,0,,
gyenis_z-redei:2015,redei,author,1,,
gyenis_z-redei:2017,gyenis_z,author,0,,
gyenis_z-redei:2017,redei,author,1,,
gyllensten_l:1989,gyllensten_l,author,0,,
gyllensten_l:1989a,gyllensten_l,author,0,,
gyngell:2016,gyngell,author,0,,
gyssens-etal:1994,gyssens,author,0,,
gyssens-etal:1994,jeavons_pg,author,1,,
gyssens-etal:1994,cohen_daa,author,2,,
gyungkim:2000,gyungkim,author,0,,
gyungkim:2020,gyungkim,author,0,,
gyungkim:2021,gyungkim,author,0,,
gyuris:1996,gyuris,author,0,,
