bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
hrachovec:2011,hrachovec,author,0,,
hrbacek-jech:1978,hrbacek,author,0,,
hrbacek-jech:1978,jech_t,author,1,,
hrbacek-jech:1984,hrbacek,author,0,,
hrbacek-jech:1984,jech_t,author,1,,
hrbacek-jech:1999,hrbacek,author,0,,
hrbacek-jech:1999,jech_t,author,1,,
hrbacek-simpson:1980,hrbacek,author,0,,
hrbacek-simpson:1980,simpson_sg,author,1,,
hrdy_sb:1986,hrdy_sb,author,0,,
hribek:2020,hribek,author,0,,
hrnjez:2017,hrnjez,author,0,,
hronszky-etal:1988,hronszky,editor,0,,
hronszky-etal:1988,feher_m,editor,1,,
hronszky-etal:1988,dajka_b,editor,2,,
hruschka:1995,hruschka,author,0,,
hruschka:2015,hruschka,author,0,,
hrusovsky_i:1961,hrusovsky_i,author,0,,
hrusovsky_i:1978,hrusovsky_i,author,0,,
hrycej:1990,hrycej,author,0,,
