bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
iacoboni:2011,iacoboni,author,0,,
iacona-marconi:2005,iacona,author,0,,
iacona-marconi:2005,marconi,author,1,,
iacona-voltolini:2002,iacona,author,0,,
iacona-voltolini:2002,voltolini,author,1,,
iacona:2002,iacona,author,0,,
iacona:2002a,iacona,author,0,,
iacona:2003,iacona,author,0,,
iacona:2005,iacona,author,0,,
iacona:2005a,iacona,author,0,,
iacona:2006,carrara,guesteditor,0,,
iacona:2006,iacona,author,0,,
iacona:2006,sacchi_e,guesteditor,1,,
iacona:2007,iacona,author,0,,
iacona:2008,iacona,author,0,,
iacona:2008a,iacona,author,0,,
iacona:2010,iacona,author,0,,
iacona:2010a,iacona,author,0,,
iacona:2010b,iacona,author,0,,
iacona:2011,iacona,author,0,,
iacona:2012,iacona,author,0,,
iacona:2012,paganini_e,guesteditor,0,,
iacona:2013,iacona,author,0,,
iacona:2014,iacona,author,0,,
iacona:2014a,iacona,author,0,,
iacona:2015,iacona,author,0,,
iacona:2015a,iacona,author,0,,
iacona:2016,iacona,author,0,,
iacona:2016a,iacona,author,0,,
iacona:2016b,iacona,author,0,,
iacona:2017,iacona,author,0,,
iacona:2022,iacona,author,0,,
iacono_am:2015,iacono_am,author,0,,
iacono_l:2008,iacono_l,author,0,,
iacono_l:2008a,iacono_l,author,0,,
iannaccone-tamburello:1990,iannaccone,editor,0,,
iannaccone-tamburello:1990,tamburello,editor,1,,
iannelli:2018,iannelli,author,0,,
iannone:2010,iannone,author,0,,
iannone:2016,iannone,author,0,,
iaquinto_s-spolaore:2019,iaquinto_s,author,0,,
iaquinto_s-spolaore:2019,spolaore_g,author,1,,
iaquinto_s:2014,iaquinto_s,author,0,,
iatridou-varlokosta:1997,iatridou,author,0,,
iatridou-varlokosta:1997,varlokosta_s,author,1,,
iatridou-zeijlsstra:2010,iatridou,author,0,,
iatridou-zeijlsstra:2010,zeijlstra,author,1,,
iatridou:1993,iatridou,author,0,,
iatridou:2000,iatridou,author,0,,
iatridou:2021,iatridou,author,0,,
