bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
iemhoff:2000,iemhoff,author,0,,
iemhoff:2001,iemhoff,author,0,,
iemhoff:2002,iemhoff,author,0,,
iemhoff:2015,iemhoff,author,0,,
iemhoff:2016,iemhoff,author,0,,
ierna-etal:2010,ierna,editor,0,,
ierna-etal:2010,jacobs_h,editor,1,,
ierna-etal:2010,mattens,editor,2,,
ierna:2008,ierna,author,0,,
ierna:2020,ierna,author,0,,
ierna:2021,ierna,author,0,,
ierna:2021a,ierna,author,0,,
ierodiakonou-etal:2019,ierodiakonou,editor,0,,
ierodiakonou-etal:2019,kalligas,editor,1,,
ierodiakonou-etal:2019,karasmanis_v,editor,2,,
ierodiakonou-hasper:2016,ierodiakonou,editor,0,,
ierodiakonou-hasper:2016,hasper_ps,editor,1,,
ierodiakonou-roux:2011,ierodiakonou,editor,0,,
ierodiakonou-roux:2011,roux_so,editor,1,,
ierodiakonou-zografidis:2010,ierodiakonou,author,0,,
ierodiakonou-zografidis:2010,zografidis,author,1,,
ierodiakonou:1990,ierodiakonou,author,0,,
ierodiakonou:1999,ierodiakonou,editor,0,,
ierodiakonou:1999a,ierodiakonou,author,0,,
ierodiakonou:2002,ierodiakonou,editor,0,,
ierodiakonou:2002a,ierodiakonou,author,0,,
ierodiakonou:2002b,ierodiakonou,author,0,,
ierodiakonou:2002c,ierodiakonou,author,0,,
ierodiakonou:2004,ierodiakonou,author,0,,
ierodiakonou:2005a,ierodiakonou,author,0,,
ierodiakonou:2006,ierodiakonou,author,0,,
ierodiakonou:2009,ierodiakonou,author,0,,
ierodiakonou:2010,ierodiakonou,author,0,,
ierodiakonou:2011,ierodiakonou,author,0,,
ierodiakonou:2011a,ierodiakonou,author,0,,
ierodiakonou:2011b,ierodiakonou,author,0,,
ierodiakonou:2013,ierodiakonou,author,0,,
ierodiakonou:2014,ierodiakonou,author,0,,
ierodiakonou:2015a,ierodiakonou,author,0,,
ierodiakonou:2016,ierodiakonou,author,0,,
ierodiakonou:2017,ierodiakonou,author,0,,
ierodiakonou:2021,ierodiakonou,author,0,,
ievers:2012,ievers,author,0,,
