bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ikaeheimo:2002,ikaeheimo,author,0,,
ikaeheimo:2014,ikaeheimo,author,0,,
ikechukwn:1993,ikechukwn,author,0,,
ikeda_s:2015,ikeda_s,author,0,,
ikere:1998,ikere,author,0,,
ikere:2004,ikere,author,0,,
ikere:2005,ikere,author,0,,
ikere:2008,ikere,author,0,,
ikere:2014,ikere,author,0,,
ikeuchi-horn:1981,ikeuchi,author,0,,
ikeuchi-horn:1981,horn_bkp,author,1,,
ikeuchi:1984,ikeuchi,author,0,,
ikeuchi:1993,ikeuchi,author,0,,
ikonen:2008,ikonen,author,0,,
