bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
ioannidis-etal:2022,ioannidis,author,0,,
ioannidis-etal:2022,vishne,author,1,,
ioannidis-etal:2022,hemmo,author,2,,
ioannidis-etal:2022,shenker_or,author,3,,
ioannidis-psillos:2017,ioannidis,author,0,,
ioannidis-psillos:2017,psillos,author,1,,
ioannidis-psillos:2022,ioannidis,author,0,,
ioannidis-psillos:2022,psillos,author,1,,
ioannou_m-kyriakidou:2014,ioannou_m,editor,0,,
ioannou_m-kyriakidou:2014,kyriakidou_m,editor,1,,
iocchi-etal:2000,iocchi,author,0,,
iocchi-etal:2000,nardi_d,author,1,,
iocchi-etal:2000,rosati_r,author,2,,
iocco_g:2020,iocco_g,author,0,,
iognaprat:2008,iognaprat,author,0,,
ionel:2020,ionel,author,0,,
ionescu:2008,ionescu,author,0,,
ionicioiu:2015,ionicioiu,author,0,,
ionin:2006,ionin,author,0,,
ioppolo-sedley:2007,ioppolo,editor,0,,
ioppolo-sedley:2007,sedley,editor,1,,
ioppolo-sedley:2007a,ioppolo,author,0,,
ioppolo-sedley:2007a,sedley,author,1,,
ioppolo:1980,ioppolo,author,0,,
ioppolo:1986,ioppolo,author,0,,
ioppolo:1988,ioppolo,author,0,,
ioppolo:1990,ioppolo,author,0,,
ioppolo:1991,ioppolo,author,0,,
ioppolo:1994,ioppolo,author,0,,
ioppolo:2007,ioppolo,author,0,,
ioppolo:2013,ioppolo,author,0,,
ioppolo:2013a,ioppolo,author,0,,
ioppolo:2016,ioppolo,author,0,,
ioppolo:2020,ioppolo,author,0,,
iordanskaja-etal:1991,iordanskaja,author,0,,
iordanskaja-etal:1991,kittredge,author,1,,
iordanskaja-etal:1991,polguere,author,2,,
iorio_m-stoecker:2015,iorio_m,editor,0,,
iorio_m-stoecker:2015,stoecker,editor,1,,
iorio_m:2001,bittner_r,guesteditor,0,,
iorio_m:2001,iorio_m,author,0,,
iorio_m:2001,stoecker,guesteditor,1,,
iorio_m:2003,iorio_m,author,0,,
iorio_m:2008,iorio_m,author,0,,
iorio_m:2010,iorio_m,author,0,,
iorio_m:2011,iorio_m,author,0,,
iorio_ma:1999,iorio_ma,author,0,,
ioup:1975,ioup,author,0,,
ioup:1977,ioup,author,0,,
iovino:1999,iovino,author,0,,
iovino:1999a,iovino,author,0,,
