bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
isaac_a:2013,isaac_a,author,0,,
isaac_a:2013a,isaac_a,author,0,,
isaac_a:2014,isaac_a,author,0,,
isaac_a:2014a,isaac_a,author,0,,
isaac_a:2017,isaac_a,author,0,,
isaac_a:2019,isaac_a,author,0,,
isaac_b:2009,isaac_b,author,0,,
isaac_mg-etal:2022,isaac_mg,author,0,,
isaac_mg-etal:2022,koch_st,author,1,,
isaac_mg-etal:2022,nefdt_r,author,2,,
isaac_mg:2015,isaac_mg,author,0,,
isaac_w:2020,isaac_w,author,0,,
isaacs_b:2020,isaacs_b,author,0,,
isaacs_n:1933,isaacs_n,author,0,,
isaacs_n:1951,isaacs_n,author,0,,
isaacs_n:1960,isaacs_n,author,0,,
isaacs_t:2006,isaacs_t,author,0,,
isaacs_t:2011,isaacs_t,author,0,,
isaacs_t:2014,isaacs_t,author,0,,
isaacs_y-iuliano:2018,isaacs_y,author,0,,
isaacs_y-iuliano:2018,iuliano_j,author,1,,
isaacs_y:2014,isaacs_y,author,0,,
isaacs_y:2016,isaacs_y,author,0,,
isaacson_d:1987,isaacson_d,author,0,,
isaacson_da:1992,isaacson_da,author,0,,
isaacson_da:1994,isaacson_da,author,0,,
isaacson_da:1994a,isaacson_da,author,0,,
isaacson_da:2011,isaacson_da,author,0,,
isac:2000,isac,author,0,,
isard_s:1975,isard_s,author,0,,
isaye:1952,isaye,author,0,,
ischi_s:2009,ischi_s,author,0,,
isele_em:1967,isele_em,author,0,,
iselibuechi:2001,iselibuechi,author,0,,
iselibuechi:2012,iselibuechi,author,0,,
iseminger:1966,iseminger,author,0,,
iseminger:1969,iseminger,author,0,,
iseminger:1976,iseminger,author,0,,
iseminger:1988,iseminger,author,0,,
iseminger:2004,iseminger,author,0,,
iseminger:2006,iseminger,author,0,,
iseminger:2008,iseminger,author,0,,
isen_am:1999,isen_am,author,0,,
isenberg:1944,isenberg,author,0,,
isenberg:1980,isenberg,author,0,,
isensee_j:2007,isensee_j,editor,0,,
iser_m:2017,iser_m,author,0,,
iser_w:1989,iser_w,author,0,,
ishai-sagi:1998,ishai,author,0,,
ishai-sagi:1998,sagi_d,author,1,,
isham-savvidou:2002,isham,author,0,,
isham-savvidou:2002,savvidou_k,author,1,,
isham:2006,isham,author,0,,
ishida_m:2015,ishida_m,author,0,,
ishida_y:1989,ishida_y,author,0,,
ishigami_s:2016,ishigami_s,author,0,,
