bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
iwakuma:2003,iwakuma,author,0,,
iwakuma:2009,iwakuma,author,0,,
iwakuma:2013,iwakuma,author,0,,
iwakuma:2016,iwakuma,author,0,,
iwan_st:2000,iwan_st,author,0,,
iwaniszewski:2011,iwaniszewski,author,0,,
iwanska-shapiro:2000,iwanska,editor,0,,
iwanska-shapiro:2000,shapiro_sc,editor,1,,
iwanska-zadrozny:1997,iwanska,author,0,,
iwanska-zadrozny:1997,zadrozny,author,1,,
iwanska:1992,iwanska,author,0,,
iwanska:1997,iwanska,author,0,,
iwanska:1997a,iwanska,author,0,,
iwanuma-oota:1996,iwanuma,author,0,,
iwanuma-oota:1996,oota_k,author,1,,
iwanus:1972,iwanus,author,0,,
iwasa:2010,iwasa,author,0,,
iwasa:2011,iwasa,author,0,,
iwasaki_s:1998,iwasaki_s,author,0,,
iwasaki_y-simon:1986,iwasaki_y,author,0,,
iwasaki_y-simon:1986,simon_ha,author,1,,
iwasaki_y-simon:1986a,iwasaki_y,author,0,,
iwasaki_y-simon:1986a,simon_ha,author,1,,
iwasaki_y-simon:1993,iwasaki_y,author,0,,
iwasaki_y-simon:1993,simon_ha,author,1,,
iwasaki_y-simon:1994,iwasaki_y,author,0,,
iwasaki_y-simon:1994,simon_ha,author,1,,
iwasaki_y:1995,iwasaki_y,author,0,,
iwata_n:2015,iwata_n,author,0,,
iwata_n:2016,iwata_n,author,0,,
iwata_s:2003,iwata_s,author,0,,
iwata_y:1991,iwata_y,author,0,,
iwata_y:2000,iwata_y,author,0,,
