bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
jeagle:1975,jeagle,author,0,,
jeancler_r:2024,jeancler_r,author,0,,
jeaneau_e:1987,jeaneau_e,author,0,,
jeangenevilmer:2004,jeangenevilmer,author,0,,
jeangenevilmer:2005,jeangenevilmer,author,0,,
jeangenevilmer:2009,jeangenevilmer,author,0,,
jeanmaire_h:1930,jeanmaire_h,author,0,,
jeanmart_g:2007,jeanmart_g,author,0,,
jeannerod:1997,jeannerod,author,0,,
jeannerod:2003,jeannerod,author,0,,
jeannerod:2006,jeannerod,author,0,,
jeannerod:2007,jeannerod,author,0,,
jeannot:1986,jeannot,author,0,,
jeanrond_wg:1991,jeanrond_wg,author,0,,
jeans_jh:1935,jeans_jh,author,0,,
jeans_jh:1943,jeans_jh,author,0,,
jeanson-etal:2005,jeanson,author,0,,
jeanson-etal:2005,champagne_p,author,1,,
jeanson-etal:2005,forest,author,2,,
jeantet_g:2018,jeantet_g,author,0,,
jeauneau_e:1963,jeauneau_e,author,0,,
jeauneau_e:2007,jeauneau_e,author,0,,
jeavons_js-crossley:1992,jeavons_js,author,0,,
jeavons_js-crossley:1992,crossley_jn,author,1,,
jeavons_js-crossley:1994,jeavons_js,author,0,,
jeavons_js-crossley:1994,crossley_jn,author,1,,
jeavons_pg-cooper:1996,jeavons_pg,author,0,,
jeavons_pg-cooper:1996,cooper_mc,author,1,,
jeavons_pg-etal:1998,jeavons_pg,author,0,,
jeavons_pg-etal:1998,cohen_daa,author,1,,
jeavons_pg-etal:1998,cooper_mc,author,2,,
jebeile-barberousse:2016,jebeile,author,0,,
jebeile-barberousse:2016,barberousse,author,1,,
jech_a:2013,jech_a,author,0,,
jech_a:2013a,jech_a,author,0,,
jech_a:2016,jech_a,author,0,,
jech_t:1971,jech_t,author,0,,
jech_t:1973,jech_t,author,0,,
jech_t:1974,jech_t,editor,0,,
jech_t:1977,jech_t,author,0,,
jech_t:1978,jech_t,author,0,,
jech_t:1978a,jech_t,author,0,,
jeck_ur:1994,jeck_ur,author,0,,
jeck_ur:1998,jeck_ur,author,0,,
jecker_ns:1988,jecker_ns,author,0,,
jecker_ns:2020,jecker_ns,author,0,,
jecklin:1949,jecklin,author,0,,
jecklin:1953,jecklin,author,0,,
jedan_c-strobach:2002,jedan_c,editor,0,,
jedan_c-strobach:2002,strobach,editor,1,,
jedan_c:2000,jedan_c,author,0,,
jedlicka:2014,jedlicka,author,0,,
jedlowski:1989,jedlowski,author,0,,
jedraszewski:1989,jedraszewski,author,0,,
jedrzejewski_f:2011,jedrzejewski_f,author,0,,
jedwab:2011,jedwab,author,0,,
