bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
jia_j:2009,jia_j,author,0,,
jiachang-xinhe:1996,jiachang,author,0,,
jiachang-xinhe:1996,xinhe,author,1,,
jian-shi:1999,jian,author,0,,
jian-shi:1999,shi_z,author,1,,
jiang_a:2012,jiang_a,author,0,,
jiang_a:2018,jiang_a,author,0,,
jiang_ti:1994,jiang_ti,author,0,,
jiang_yj:1994,jiang_yj,author,0,,
jibu-yasue:1995,jibu,author,0,,
jibu-yasue:1995,yasue,author,1,,
jibu-yasue:1997,jibu,author,0,,
jibu-yasue:1997,yasue,author,1,,
jigaboy_gm-etal:2016,jigaboy_gm,author,0,,
jigaboy_gm-etal:2016,maio_gr,author,1,,
jigaboy_gm-etal:2016,haddock_g,author,2,,
jigaboy_gm-etal:2016,tapper_k,author,3,,
jillions:2008,jillions,author,0,,
jimenez_ca:1995,jimenez_ca,author,0,,
jimenez_ca:1997,jimenez_ca,author,0,,
jimenez_er:2014,jimenez_er,author,0,,
jimenez_er:2017,jimenez_er,author,0,,
jimenez_m:2004,jimenez_m,author,0,,
jimenez_ma:2018,jimenez_ma,author,0,,
jimenez_ma:2020,jimenez_ma,author,0,,
jimenez_ma:2021,jimenez_ma,author,0,,
jimenez_p-torres:2000,jimenez_p,author,0,,
jimenez_p-torres:2000,torres_cr,author,1,,
jimenezandlopez:2006,jimenezlopez,author,0,,
jimenezfonseca:2017,jimenezfonseca,author,0,,
jimenezredondo:2001,jimenezredondo,author,0,,
jing_h:1998,jing_h,author,0,,
jing_h:2002,jing_h,author,0,,
jingshili-etal:2009,jingshili,author,0,,
jingshili-etal:2009,kwok_rbh,author,1,,
jingshili-etal:2009,foo,author,2,,
jinyan:1990,jinyan,author,0,,
jirku_p:1994,jirku_p,author,0,,
jirku_p:1995,jirku_p,author,0,,
jirku_p:1996,jirku_p,author,0,,
jirku_p:2001,jirku_p,author,0,,
jirsa:2012,jirsa,author,0,,
