bibkey,author_key,role,position,name_variant_latex,name_variant_unicode
jo_gs-etal:2000,jo_gs,author,0,,
jo_gs-etal:2000,jung_jj,author,1,,
jo_gs-etal:2000,koo_jh,author,2,,
jo_gs-etal:2000,hyu_sh,author,3,,
jo_h:2017,jo_h,author,0,,
jo_th-etal:2018,jo_th,editor,0,,
jo_th-etal:2018,chester_l,editor,1,,
jo_th-etal:2018,dippoliti,editor,2,,
jo_th-etal:2018a,jo_th,author,0,,
jo_th-etal:2018a,chester_l,author,1,,
jo_th-etal:2018a,dippoliti,author,2,,
jo_th-todorova:2018,jo_th,author,0,,
jo_th-todorova:2018,todorova,author,1,,
jo_th:2018,jo_th,author,0,,
joachim:1906,joachim,author,0,,
joachim:1907,joachim,author,0,,
joachim:1909,joachim,author,0,,
joachim:1914,joachim,author,0,,
joachim:1919,joachim,author,0,,
joachim:1919a,joachim,author,0,,
joachim:1931,joachim,author,0,,
joachim:1957,joachim,author,0,,
joachims:2002,joachims,author,0,,
joad:1917,joad,author,0,,
joad:1925,joad,author,0,,
joad:1927,joad,author,0,,
joad:1928,joad,author,0,,
joad:1928a,joad,author,0,,
joad:1929,joad,author,0,,
joad:1929a,joad,author,0,,
joad:1931,joad,author,0,,
joad:1931a,joad,author,0,,
joad:1933,joad,author,0,,
joaquin-biana:2021,joaquin,author,0,,
joaquin-biana:2021,biana_ht,author,1,,
joaquin:2017,joaquin,author,0,,
joardar:2011,joardar,author,0,,
joardar:2011a,joardar,author,0,,
joas-huebner:2016,joas,editor,0,,
joas-huebner:2016,huebner_dr,editor,1,,
joas-kilpinen:2006,joas,author,0,,
joas-kilpinen:2006,kilpinen,author,1,,
job_g-lankau:2003,job_g,author,0,,
job_g-lankau:2003,lankau_t,author,1,,
jobanputra-bhat:2001,jobanputra,author,0,,
jobanputra-bhat:2001,bhat_pr,author,1,,
jobe_ek:1976,jobe_ek,author,0,,
jobe_ek:1990,jobe_ek,author,0,,
jobe_ks:2020,jobe_ks,author,0,,
jobe_ks:2020a,jobe_ks,author,0,,
jochim:1965,jochim,author,0,,
joenssen_a:1995,joenssen_a,author,0,,
joensson_ak-ginsberg:1996,joensson_ak,author,0,,
joensson_ak-ginsberg:1996,ginsberg_ml,author,1,,
joensson_h-soderberg:2002,joensson_h,author,0,,
joensson_h-soderberg:2002,soederberg_b,author,1,,
joensson_ml-assarsson:2013,joensson_ml,author,0,,
joensson_ml-assarsson:2013,assarsson_e,author,1,,
joensson_ml-assarsson:2016,joensson_ml,author,0,,
joensson_ml-assarsson:2016,assarsson_e,author,1,,
joensson_ml-sjoedahl:2017,joensson_ml,author,0,,
joensson_ml-sjoedahl:2017,sjoedahl_j,author,1,,
joensson_ml:2013,joensson_ml,author,0,,
joensson_ml:2014,joensson_ml,author,0,,
joensson_ml:2017,joensson_ml,author,0,,
joerden:1991,joerden,author,0,,
joerden:1995,joerden,author,0,,
joerden:2009,joerden,author,0,,
joerden:2010,joerden,author,0,,
joerg_f:1997,joerg_f,author,0,,
joffe:2011,joffe,author,0,,
johann_ro:1963,johann_ro,author,0,,
johannesson_e-packalen:2016,johannesson_e,author,0,,
johannesson_e-packalen:2016,packalen,author,1,,
johannesson_k:2007,johannesson_k,author,0,,
johannesson_k:2014,johannesson_k,author,0,,
johannesson_ku:1989,johannesson_ku,author,0,,
johannsen_k:2017,johannsen_k,author,0,,
johanny:2024,johanny,author,0,,
johanny:2024a,johanny,author,0,,
johanny:2024b,johanny,author,0,,
johansen_a-etal:2013,johansen_a,author,0,,
johansen_a-etal:2013,darnell_f,author,1,,
johansen_a-etal:2013,franzen_e,author,2,,
johansen_be:2009,johansen_be,author,0,,
johansen_cf:1998,johansen_cf,author,0,,
johansen_ke:2002,johansen_ke,author,0,,
johansen_m:2014,johansen_m,author,0,,
johansen_m:2016,johansen_m,author,0,,
johansen_m:2021,johansen_m,author,0,,
johansen_m:2023,johansen_m,author,0,,
johansen_tk:1997,johansen_tk,author,0,,
johansen_tk:2000,johansen_tk,author,0,,
johansen_tk:2006,johansen_tk,author,0,,
johansen_tk:2007,johansen_tk,author,0,,
johansen_tk:2009,johansen_tk,author,0,,
johansen_tk:2010,johansen_tk,author,0,,
johansen_tk:2012,johansen_tk,author,0,,
johansen_tk:2013,johansen_tk,author,0,,
johansen_tk:2014,johansen_tk,author,0,,
johansen_tk:2015,johansen_tk,author,0,,
johansen_tk:2019,johansen_tk,author,0,,
johansen_tk:2020,johansen_tk,author,0,,
johansen_tk:2021,johansen_tk,author,0,,
johansen_tk:2021a,johansen_tk,author,0,,
johanson_aa:1986,johanson_aa,author,0,,
johanson_aa:1996,johanson_aa,author,0,,
johanson_ae:1994,johanson_ae,author,0,,
johansson_c:2000,johansson_c,author,0,,
johansson_inge:1937,johansson_inge,author,0,,
johansson_ingv-davis:2006,johansson_ingv,author,0,,
johansson_ingv-davis:2006,davis_ri,author,1,,
johansson_ingv-etal:2006,johansson_ingv,editor,0,,
johansson_ingv-etal:2006,klein_ber,editor,1,,
johansson_ingv-etal:2006,rothberghofer,editor,2,,
johansson_ingv-lynoe:2008,johansson_ingv,author,0,,
johansson_ingv-lynoe:2008,lynoe,author,1,,
johansson_ingv:1980,johansson_ingv,author,0,,
